,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
IBKR,0.19823313,0.15217936,,,2.0,1.329278,,10.0,16.085,,7.0,55.31,1.123,1536883200,70.373,0.768,0.783,,0.0,,-8.272,-15311253504,USD,,69757208,2.53,21.86166,,1310.0,,,0.84765,1310000000,0.06931,0.82111,Capital Markets,,,1514678400,,,,1,86400,,,1530316800,116000000,1577750400,4,688000000,0.63803,10.0,0.94,2,3.4386077,,0.06267,0.06267,1.123,hold,3.0,0.01676,0.15329,0.212,25.835,,Financial Services,10.0,75084400,0.0063,2623697,1534291200,2383149,0.0375,3.96,82.0,56.0,70.5,72.0,,,29763000320,396.394,4714999808,1851000064,1.609,,
IBTX,0.099001765,0.15217936,,,2.0,0.861266,,6.0,50.487,,9.0,66.3,,1536883200,,0.569,0.634,,0.0,,7.415,2499466240,USD,,23653471,5.49,12.076504,,924.0,,,0.0,298500000,0.21018,0.62576,Banks - Regional - US,,,1514678400,,,,1,86400,,,1530316800,100399000,1577750400,8,128194000,0.49678,7.0,1.44,2,1.3132094,,0.30053,0.30053,,buy,2.0,0.01089,0.07242,0.106,12.019,,Financial Services,9.0,30475100,0.053200003,1620603,1534291200,1313545,0.0774,7.88,85.0,76.0,80.31,80.75,,,448273984,14.713,915476992,337088992,3.57,,
ICAD,-0.3512931,0.15217936,,,,0.947316,,,0.647,,,2.91,1.579,1536883200,56.271,,,-6469000,-0.23629,-7.346,1.736,47518192,USD,,14189825,-0.07,-41.57143,-2416875,115.0,,,0.72783995,20213000,0.17054,0.22620001,Software - Application,,,1514678400,1345075200,1/5,,1,86400,,,1530316800,-15476000,1577750400,2,-5550000,-0.27406,,-0.53,2,4.4976816,,-0.56529,-0.56529,1.285,buy,2.0,-0.14751,-0.87891996,-0.039,1.655,,Technology,,16862700,0.0022,37374,1534291200,78122,0.0027,1.28,8.0,5.0,6.5,6.5,,,7791000,0.462,6070000,27377000,-0.935,,
ICBK,-0.16146183,0.15217936,,,2.0,0.089618,,10.0,20.629,,7.0,25.1,,1536883200,,0.897,0.871,,0.0,,5.157,250126304,USD,,5063247,2.2,11.409091,,136.0,,,0.0,44208000,0.23801,0.26255,Savings & Cooperative Banks,,,1514678400,,,,1,86400,,,1530316800,13256000,1577750400,7,16467000,0.45883,8.0,1.47,2,1.2167338,,0.28122,0.28122,,buy,2.4,0.00972,0.09661999,0.226,7.27,,Financial Services,3.0,6695820,0.0062,41574,1534291200,26808,0.0082,9.65,32.0,27.0,29.07,28.0,,,81044000,12.104,153766000,48499700,1.948,,
ICFI,0.3287921,0.15217936,,,1.0,0.059174,,4.0,33.75,,1.0,75.45,1.799,1536883200,38.347,0.127,0.141,111189000,0.0887,14.754,1.309,1640531072,USD,,18224730,4.26,17.711266,66202248,5500.0,,,0.36772,457437000,0.0337,0.92499,Business Services,,,1514678400,,,,1,86400,,,1530316800,66796000,1577750400,5,78821000,0.06692,2.0,1.96,2,2.2355554,,0.05328,0.05328,1.712,buy,1.8,0.04697,0.11054,0.058,66.982,,Industrials,5.0,18860300,0.0062,117732,1534291200,130653,0.0075,1.41,99.0,85.0,89.4,88.0,,,6322000,0.335,243644992,1253570048,3.481,,
ICHR,-0.27737755,0.15217936,,,5.0,,,6.0,9.586,,8.0,20.42,2.105,1536883200,76.615,1.841,1.844,104621000,0.12244,5.82,0.713,608843456,USD,,21226197,3.85,5.3038964,-2808125,1420.0,,,0.1753,105991000,0.01471,0.98769,Semiconductor Equipment & Materials,,,1514505600,,,,1,86400,,,1530230400,78254000,1577577600,5,61452000,0.10033,7.0,0.31,2,2.1301897,,0.09189,0.09189,0.961,buy,1.8,0.119890004,0.37535998,0.559,33.288,,Technology,8.0,24358700,0.31370002,7640422,1534291200,7419521,0.2916,6.71,48.0,28.0,35.0,32.0,,,63419000,2.604,185575008,854457024,2.954,,
ICLR,0.3239684,0.15217936,,,,0.1988,,,22.801,,,153.75,2.095,1536883200,28.18,0.101,0.109,430702016,0.19966,18.793,3.752,8094291456,USD,,53532509,6.8,22.610294,264236256,13650.0,,,0.50001997,731129000,0.01461,0.96856004,Diagnostics & Research,,,1514678400,1218585600,2/1,,1,86400,,,1530316800,295228000,1577750400,11,294335008,0.16888,,2.31,2,6.743125,,0.13686,0.13686,2.051,buy,2.3,0.11165,0.2603,0.489,39.887,,Healthcare,,54327900,0.015,814742,1534291200,1094856,0.0153,4.35,168.0,130.0,154.0,157.0,,,372996000,6.866,349073984,2157197056,5.38,,
ICON,-0.94940245,0.15217936,,,10.0,-0.105209,,5.0,-1.727,,7.0,0.3102,1.779,1536883200,,,,89169000,0.43662,8.079,3.527,720385216,USD,,56421934,0.4,,170697248,152.0,,,1.0,225833000,0.18239,0.28628,Apparel Manufacturing,,,1514678400,730512000,2/9,,1,86400,,,1530316800,-586380992,1577750400,1,22141000,0.42429,8.0,0.05,4,,,-2.84141,-2.84141,1.442,hold,3.0,0.04483,-2.4551601,-0.185,3.41,,Consumer Cyclical,1.0,68343696,0.090900004,6211416,1534291200,6264020,0.1103,5.58,0.7,0.7,0.7,0.7,,,71385000,1.043,717585984,204224000,-9.838,,
ICPT,1.1418977,0.15217936,,,2.0,1.842252,,2.0,4.958,,10.0,126.36,6.513,1536883200,247.858,,,-306017984,-1.9299899,-11.25,21.713,3442792448,USD,,21870475,-8.23,-15.353585,-150244000,507.0,,,0.98746,129585000,0.26805001,0.71032995,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-340656000,1577750400,15,-268918016,-1.9625101,7.0,1.34,2,25.486082,,-2.14845,-2.14845,6.289,buy,2.3,-0.31865,-2.15414,0.411,6.053,,Healthcare,5.0,29564700,0.1244,3676614,1534291200,4004133,0.205,11.18,253.0,57.0,133.6,120.0,,,538337984,18.209,363300000,158559008,-13.004,,
ICUI,0.49308515,0.15217936,,,2.0,0.838504,,7.0,61.441,,3.0,282.75,4.443,1536883200,2.53,,,311457984,0.21541001,17.335,3.734,5399217664,USD,,16527530,10.02,28.218561,246625120,6802.0,,,0.42618,492395000,0.1966,0.75049,Medical Instruments & Supplies,,,1514678400,1016409600,3/2,,1,86400,,,1530316800,85770000,1577750400,2,242244000,0.16521999,5.0,2.03,2,4.601976,,0.059320003,0.059320003,2.773,buy,2.3,0.09909,0.072119996,0.087,71.614,,Healthcare,5.0,20467500,0.018,367994,1534291200,466020,0.023699999,2.01,350.0,310.0,330.0,330.0,,,327596992,16.006,0,1445853056,3.992,,
IDCC,0.06688964,0.15217936,,,1.0,0.7464,,1.0,29.317,,4.0,80.0,9.357,1536883200,28.174,-0.795,-0.796,290044992,0.63104,6.802,4.292,1972908928,USD,,34286123,1.23,65.04065,271935488,350.0,,,0.751,421781000,0.01402,0.77739,Telecom Services,,,1514678400,,,,1,86400,,,1530316800,128669000,1577750400,4,328440000,0.50565,1.0,3.7,2,2.7287922,,0.27994,0.27994,9.186,strong_buy,1.5,0.084,0.13562,-0.488,13.248,,Communication Services,3.0,34811400,0.0418,1455346,1534291200,1548806,0.0497,8.19,104.0,87.0,97.5,99.5,,,1100561024,31.615,291947008,459628000,3.618,,
IDRA,-0.5285088,0.15217936,,,2.0,1.626096,,3.0,3.131,,4.0,8.91,6.961,1536883200,,,,-60968000,0.0,-2.504,202.242,152692592,USD,,19492348,-2.75,-3.24,-24266876,62.0,,,0.0,-18519000,0.12665,0.39749,Biotechnology,,,1514678400,1532908800,1/8,,1,86400,,,1530316800,-65582000,1577750400,6,-52036000,-81.67815,4.0,,2,2.845736,,0.0,0.0,6.682,buy,1.7,-0.42148,-0.82009006,-0.128,0.032,,Healthcare,8.0,27173900,0.0161,436563,1534291200,184991,0.0231,0.66,32.0,14.0,18.33,15.5,,,94046000,3.461,0,755000,-2.808,,
IDSY,-0.08399999,0.15217936,,,,0.718368,,,1.847,,,6.95,1.619,1536883200,,,,-2417000,-0.04792,-45.48,2.179,109925808,USD,,5726962,0.25,27.8,-4936750,117.0,,,0.47804,20927000,0.24464001,0.48766997,Communication Equipment,,,1514678400,,,,1,86400,,,1530316800,-3566000,1577750400,5,-5083000,-0.067719996,,11.45,2,3.7628586,,-0.070700005,-0.070700005,0.908,buy,1.6,-0.041199997,-0.15090999,0.383,3.003,,Technology,,17750000,0.0087,154432,1534291200,45539,0.0108,13.13,10.3,8.5,9.38,9.5,,,3818000,0.223,0,50441000,-0.212,,
IDTI,0.72744024,0.15217936,,,2.0,1.777646,,1.0,4.863,,1.0,47.01,5.661,1536883200,78.652,0.917,0.838,214750000,0.24555,28.946,7.108,6216101376,USD,,128271621,2.1,22.385714,155466496,1821.0,,,0.59773,496184000,0.00791,1.06088,Semiconductors,,,1522540800,811382400,2/1,,1,86400,,,1530403200,1870000,1585699200,11,241496000,0.17029,2.0,1.78,2,9.666872,,0.00214,0.00214,4.851,hold,2.7,0.06978,0.00266,0.162,6.64,,Technology,6.0,128827000,0.0627,8072133,1534291200,5620647,0.0687,1.86,49.0,32.0,43.64,49.0,,,346259008,2.677,495948992,874566976,0.014,,
IDXG,0.04729724,0.15217936,,,,3.819076,,,1.367,,,1.54,2.612,1536883200,,,,-9400000,-0.49783,-3.666,1.825,34462956,USD,,28152829,-0.21,-7.3333335,-11124375,75.0,,,0.54803,8539000,0.00453,0.16014,Diagnostics & Research,,,1514678400,1482969600,1/10,,1,86400,,,1530316800,-13358000,1577750400,5,-11718000,-0.68123,,-0.3,2,1.1265545,,-0.71147,-0.71147,2.411,buy,1.8,-0.15299,-0.35672,0.427,0.719,,Healthcare,,28194300,0.0986,2780185,1534291200,2576047,0.0999,3.47,4.5,2.25,3.3,3.0,,,10084000,0.358,0,18882000,-0.513,,
IDXX,0.5822358,0.15217936,,,1.0,0.580352,,3.0,-0.475,,2.0,249.66,0.955,1536883200,,0.295,0.273,540801984,0.25552,40.732,10.408,22027814912,USD,,85297295,4.83,51.68944,251144368,8000.0,,,0.55847,1097382000,0.01781,0.94438004,Diagnostics & Research,,,1514678400,1434412800,2/1,,1,86400,,,1530316800,306910016,1577750400,5,385537984,0.21586001,6.0,2.59,2,,,0.14501001,0.14501001,0.63,buy,1.9,0.18084,,0.141,24.238,,Healthcare,8.0,86591000,0.0136,1180570,1534291200,1433342,0.0154,2.84,275.0,259.0,264.8,260.0,,,174559008,2.016,1040129984,2116504960,3.446,,
