,payoutChange,divGrowth,payoutAvg,debtEquityAvg,netMarginAvg,roicAvg
AAON,0.05244833956380598,0.12495932574254232,0.2491618489024731,0.2661360033982329,0.13366699933208004,2.4350439832897464
AAPL,-0.0032743097217923602,0.04699708705393594,0.24885070540002482,1.5802718161292422,0.21708330950079927,0.30306857601680165
ABB,0.024567169162866203,-0.01934564254712423,0.7672710462915919,1.8645339489338195,0.05837105885141153,1.9520996719334873
ABBV,-0.11969148866890555,0.15707304062095714,0.6794469250601862,12.86431473770765,0.21512725715910622,20.63215436117988
ABC,-0.3701264753973102,0.14341700446606365,-0.25235879178958187,25.089856647888002,0.0036958507380465237,15.763601455484768
ABT,1.4836435652095095,0.11440612365739396,1.7672817129938565,1.3187194665468713,0.10043744530867049,1.4405862303704453
ACGL,0.45987075328968147,0.3065786243965556,0.05188781466521262,2.8905359994553237,0.13394867769406313,0.0453836197042751
ACN,0.04833420461441984,0.08332781192287435,0.3956216624239011,1.6593423625655872,0.107417905582312,47.54154374386218
ACTG,-0.5809028390354253,0.015775390390990074,-0.1589267414831663,0.08695380909819284,-0.4316171507513249,0.26426201934308274
ADI,0.07054237111679285,0.09981635664982173,0.709384482557188,0.6716399685412258,0.1990351204837605,0.35701946431641773
ADM,0.2162386186705475,0.054236489234604855,0.4591056273754604,1.245132326622165,0.024682295701882514,0.3718625443591024
ADP,0.013726299074131884,0.04692112940382106,0.620880139607178,8.937853306783685,0.12985442753816462,178.74828704408046
ADTN,0.3924622481130333,-0.044755648633767166,0.7390213571787808,0.35112870756805076,0.040714804445771545,0.21659224484079695
AEP,0.5769682685966337,0.058587974184249735,0.9865844665378019,2.54396113620515,0.09523638042575848,3.6512854982789467
AES,0.8653683275417047,0.35349825087456277,0.1240943779431082,10.643380515679503,-0.05727082093311006,1.8107953607913938
AET,0.3226731818805921,0.25130891144155565,0.20226001575549937,2.567841560910864,0.03569840839769709,0.23676586347532413
AFL,-0.09857433963756368,0.0035553849933523582,0.21667123486452503,5.19823044623324,0.14990025766791984,0.03881184671767482
AFSI,-0.4665450287790527,0.42312832060804184,0.030562922249589158,8.045961444019731,0.038099511848262324,0.016985627337820223
AGN,-6.3160688375438285,1.237845582454648,-0.07451354328652521,0.7366537335256687,0.35913812344697754,0.0188981733219545
AGNC,-1.2939141511958885,-0.14484671479588318,2.7389264250251966,6.976777332386525,0.7932932061970334,0.055639536369737674
AGO,0.1163703683430843,-0.026601830663615544,0.08079743998220822,1.228315577739158,0.5266979637253945,0.0955245836002131
AGR,0.3993926643324217,0.11138819617622613,1.1691858716053873,1.0668116811324377,0.0771422011543643,1.9122252076209085
AHL,-0.3148635135687163,0.01665905732617871,0.13162574564153792,3.2535333189032194,0.029723390239290468,0.021603404244919546
AIG,-0.4609223054724548,0.21089266005382235,-0.4468438025133314,5.5653988375903625,-0.03388335253002789,0.010223030010122721
AIZ,0.8030167725588466,0.1651438615633897,0.37196319316209275,6.114217679434938,0.05669939734913856,0.05003351862048428
ALGT,0.2732384993881783,0.4244302405764824,0.16696668333720444,2.79633665165962,0.15524222578820937,0.933531520780179
ALK,0.10529545106743605,0.3071895424836601,0.14349754940883,1.997860203560515,0.13968975578583914,0.9554006968641114
ALL,0.06112237438696625,0.04394971266340253,0.26587924294983,4.541914704048514,0.06501628573123912,0.051193907660454896
AMAT,-0.33448465062420835,-0.038567836025445223,0.24562511268033171,1.0355786641169213,0.17925666038011476,1.4512068256686383
AMG,-0.12834793543572923,0.0,0.08273714144018464,1.0228983023348703,0.23988055233253247,0.26206540068940487
AMGN,1.1554019881965885,0.22270082346980727,0.8112966044306075,1.770064058712433,0.2476043987790618,0.2847934144873317
AMRB,0.2176469431861666,0.0,0.2838881492266671,6.888550583062471,0.22207047681151573,0.032091601696811314
AMSF,0.030815293787157694,0.23979548355733538,0.1697224979706321,2.4023683036190726,0.16498659377365366,0.10063712318769275
AMTD,0.09208978563179038,0.12998385038823032,0.4218485928185569,4.471610686759274,0.25093645054186836,0.1488015524155576
AMX,0.6332014766826072,-0.006808163503157161,0.8809019223220083,7.460398790956849,0.025598349374132485,2.4302064439529816
ANCX,0.16727465836816421,0.22912755018053343,0.4527308204388163,8.828361348198646,0.20322342344099184,0.11530803490677695
ANTM,0.037740785454899485,0.14607012453238166,0.2389546103560991,1.6442512513169296,0.034706133167434434,0.2384123463635077
AON,0.15148922120542818,0.10211136734221937,0.2590827187578029,3.9994816101691693,0.13903005152993966,3.941562470219555
APD,0.07429495292927346,0.07877461856166838,0.6451771993121178,1.240607087671563,0.20462876077669498,0.9530511208766758
APOG,-0.03399965181248329,0.10745614357196083,0.19298850738872556,0.7617361170512561,0.06783551263445044,9.21718385378245
ARCB,0.650623543505768,0.29229048576144046,0.24558353875432892,1.1271957034089917,0.014952461069385197,0.8518644907462116
ARCH,0.7551498974207275,3.4928560213534308,0.03764577682785671,-0.40571236011212614,-0.12709212056427285,-2.169846369852731
ARCO,-0.47062440687157436,-0.75,-0.24226754207580423,3.2746546856089123,0.016302508126737062,0.0
ARGO,0.35185337785992854,0.20952945732681416,0.16020778198805086,3.2690666627803675,0.07702008961944341,0.04211621318051718
ARII,-0.01932376086038697,-0.03649114133638964,0.29685633764657965,1.5702377306554058,0.18730407472452507,3.6791442334939077
ASML,0.11103209485618411,0.25398328026546463,0.23508962115158427,0.6252347284058989,0.24417071776385393,1.528795273813307
ASTE,0.03687272172652541,0.0021411330293282425,0.2305017138669695,0.2906252202164885,0.03777738014081059,4.356536553848058
