,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
FNV,-0.21869528,0.15987647,,,2.0,0.27322,,9.0,25.246,,5.0,61.77,8.367,1535673600,,0.153,0.175,521000000,0.77645,21.935,17.032,11428147200,USD,,183208969,1.15,53.713043,-510062496,32.0,,,0.81207,533000000,0.020130001,0.77752,Gold,,,1514678400,,,,1,86400,,,1530316800,221700000,1577750400,6,491100000,0.39716998,7.0,8.52,2,2.4467242,,0.33040002,0.33040002,6.251,hold,2.8,0.0353,0.047810003,-0.015,3.61,,Basic Materials,3.0,186179008,0.0123000005,2290209,1532995200,2361803,,4.04,93.0,68.0,81.27,82.32,,,72100000,0.387,0,671000000,1.179,,
FRC,0.02265501,0.15987647,,,1.0,0.443362,,4.0,43.876,,1.0,100.28,,1534291200,,0.132,0.124,,0.0,,9.304,25818507264,USD,,160837669,5.48,18.29927,,4242.0,,,0.0,2551743000,0.010299999,1.09733,Banks - Regional - US,,,1514678400,,,,1,86400,,,1530316800,750220992,1577750400,19,855596992,0.38132,2.0,1.76,2,2.285532,,0.28943002,0.28943002,,buy,2.5,0.009190001,0.10339,0.174,17.287,,Financial Services,3.0,164651008,0.0639,10385807,1531440000,9901713,,13.51,120.0,94.0,103.47,102.0,,,4010646016,24.658,11936076800,2774893056,4.569,,
FRO,-0.09347445,0.15987647,,,,1.485495,,,6.688,,,5.23,1.34,1534291200,179.475,,,167280000,0.25579,16.676,4.265,2789535744,USD,,76478723,-0.26,-20.115385,-372162496,128.0,,,0.27294,229811000,,,Shipping & Ports,,,1514678400,1454457600,1/5,,1,86400,,,1530316800,-309003008,1577750400,7,34294000,0.04912,,1.46,2,0.78199756,,-0.4725,-0.4725,0.959,hold,3.1,0.0062,-0.23764999,0.112,3.851,,Industrials,,169808992,0.028399998,4820963,1531440000,5248554,0.0553,13.12,7.0,3.5,5.03,5.0,,,117154000,0.69,2038753024,653977024,-1.82,,
FSB,0.19019306,0.15987647,,,2.0,1.071671,,7.0,24.037,,8.0,40.4,,1535673600,,0.062,0.146,,0.0,,7.185,807316864,USD,,13226251,3.13,12.907349,,326.0,,,0.0,107454000,0.0794,0.65309,Banks - Regional - US,,,1514678400,1354579200,1/40,,1,86400,,,1530316800,31225000,1577750400,5,37172000,0.45839,5.0,1.4,2,1.6807423,,0.28030002,0.28030002,,hold,2.8,0.00828,0.098290004,0.097,8.386,,Financial Services,2.0,14487700,0.0801,1160629,1532995200,1383277,0.089899994,11.75,44.0,37.0,39.4,39.0,,,188538000,13.014,410448992,112363000,2.242,,
FTI,0.089541316,0.15987647,,,10.0,0.796309,,4.0,28.39,,1.0,30.13,1.293,1534291200,29.63,-0.345,-0.359,1816999936,0.13062,6.299,0.823,11444654080,USD,,429901112,1.53,19.69281,-584000000,37000.0,,,0.18554,2532300000,0.26549,0.0,Oil & Gas Equipment & Services,,,1514678400,1301616000,2/1,,1,86400,,,1530316800,167900000,1577750400,25,-568800000,0.089320004,9.0,1.47,2,1.0612892,,0.01207,0.01207,1.09,buy,2.1,0.027449999,0.0144299995,-0.23,29.93,,Energy,9.0,452961984,0.0179,8145150,1531440000,10137028,0.0177,2.32,46.0,25.0,36.76,37.0,,,5615399936,12.277,3865999872,13909999616,0.358,,
G,0.09126425,0.15987647,,,2.0,0.685921,,4.0,6.828,,2.0,30.59,1.516,1535673600,96.04,-0.083,-0.063,414592992,0.14493,16.194,2.347,6713950720,USD,,130337440,1.95,15.68718,255590624,80000.0,,,0.3732,1053225000,0.00567,0.62164,Business Services,,,1514678400,,,,1,86400,,,1530316800,270096000,1577750400,11,293238016,0.10933,2.0,1.71,2,4.480082,,0.09441,0.09441,1.289,buy,2.5,0.060100004,0.20926,0.086,14.902,,Industrials,2.0,189948992,0.020599999,3914393,1532995200,4174409,0.0321,5.44,38.0,28.5,34.27,35.0,,,341686016,1.799,1245090944,2860709888,1.381,,
GCAP,0.07343745,0.15987647,,,2.0,0.834329,,3.0,7.883,,3.0,6.9,1.38,1535673600,38.071,3.714,3.817,,0.0,,-2.488,-834795584,USD,,21746125,0.71,9.71831,,708.0,,,0.71109,193692000,0.26143998,0.758,Capital Markets,,,1514678400,,,,1,86400,,,1530316800,12014000,1577750400,3,59145000,0.068909995,4.0,0.6,2,0.8753013,,0.22941999,0.22941999,1.364,buy,2.5,0.00907,0.040289998,-0.081,7.407,,Financial Services,7.0,44642200,0.1297,5788272,1532995200,6218078,0.2067,17.47,10.0,7.5,8.58,8.25,,,1280678016,28.688,135288992,335508000,1.694,,
GG,-0.20894372,0.15987647,,,2.0,0.434067,,7.0,16.158,,4.0,10.23,1.007,1535673600,20.02,,,1295000064,0.38564998,8.913,3.437,11542870016,USD,,863681720,0.64,15.984375,365624992,7079.0,,,0.45831,1546000000,0.12245,0.00545,Gold,,,1514678400,1022630400,2/1,,1,86400,,,1530316800,289000000,1577750400,20,1255000064,-0.15873,4.0,2.03,2,0.63312286,,0.08606,0.08606,0.538,buy,2.1,-0.015369999,0.02071,-0.035,3.866,,Basic Materials,1.0,869273984,0.0176,14101098,1532995200,11877248,,2.28,27.0,12.0,17.33,17.83,,,159000000,0.183,2812000000,3358000128,0.331,,
GGG,0.18418431,0.15987647,,,1.0,0.729369,,2.0,4.258,,3.0,48.15,2.651,1535673600,42.686,0.109,0.117,444652000,0.28043,18.536,5.198,8242262528,USD,,164983736,1.99,24.19598,248872368,3500.0,,,0.53924,793049000,0.010720001,0.8732,Diversified Industrials,,,1514505600,1514419200,3/1,,1,86400,,,1530230400,286502016,1577577600,8,372950016,0.25081,2.0,2.06,2,11.308126,,0.18069,0.18069,1.498,hold,2.9,0.1766,0.42029,0.119,9.441,,Industrials,3.0,167150000,0.021,3501740,1532995200,3358249,0.0211,6.52,53.0,44.0,48.38,48.5,,,109854000,0.657,303844000,1585588992,1.639,,
GLOG,0.1153847,0.15987647,,,,1.421998,,,11.241,,,19.0,1.2,1535673600,168.252,,,366563008,0.66333,14.416,9.563,5284382720,USD,,40495128,1.0,19.0,-382487008,184.0,,,0.7435,394593000,0.48735002,0.4816,Shipping & Ports,,,1514678400,,,,1,86400,,,1530316800,19888000,1577750400,11,246316992,0.40389,,2.18,2,1.6902411,,0.0542,0.0542,1.131,buy,1.8,0.028350001,0.06182,0.072,6.847,,Industrials,,80814096,0.042600002,3432163,1532995200,3409484,0.072399996,9.5,25.0,16.0,21.63,22.0,,,340368992,4.212,3134650880,552606976,0.246,,
