,payoutRatio,debtEquityRatio,netMargin,roic,dividendsPaid,Underyling
0,0.2507064479430438,0.2510433089121766,0.1344859241126071,0.0,13663000,AAON
1,0.23748501199040767,0.24590816812207986,0.1390083260195272,0.0,12676000,AAON
2,0.2592940867739678,0.3014565331604422,0.12750674786410582,2.4350439832897464,11857000,AAON
3,0.2186693237918384,0.304006112869774,0.12392723435544255,2.6275534441805224,9656000,AAON
4,0.264089677566131,1.7999060031183092,0.21092420845075338,0.24675188853044577,12769000000,AAPL
5,0.26593998292730975,1.5082924623193943,0.211867983064288,0.27647961087235895,12150000000,AAPL
6,0.2165224557066337,1.432616982950023,0.22845773698735639,0.38597422864760006,11561000000,AAPL
7,0.2815995950392306,1.0783974468161404,0.21614376760852322,0.37132147529969234,11126000000,AAPL
8,0.7388160867600543,1.8835953843039341,0.06449638610398695,2.4264919941775838,1635000000,ABB
9,0.8609794628751974,1.889137737961926,0.05613692798864846,1.5561497326203209,1635000000,ABB
10,0.7020175892395241,1.8208687245355983,0.054479862461599166,1.8736572890025576,1357000000,ABB
11,0.7097147262914418,1.723338865326695,0.06512678885262366,2.2245762711864407,1841000000,ABB
12,0.773592013561876,12.887777123798312,0.1881556563651829,4.131599378881988,4107000000,ABBV
13,0.6243910633294137,13.257765314926662,0.23219439893907481,3.0981970379909853,3717000000,ABBV
14,0.640357698289269,12.447401774397973,0.22503171617306095,54.666666666666664,3294000000,ABBV
15,1.5,14.793915040183697,0.08887775551102205,46.610169491525426,2661000000,ABBV
16,0.878694263671382,16.106871963190393,0.002380011062280761,0.0,320270000,ABC
17,0.2020247505303135,14.796674092844759,0.00972374568100881,20.324589371980675,288477000,ABC
18,-1.837795389570441,44.366023887628856,-0.0010162045291499996,11.20261353898886,253919000,ABC
19,0.7820770885752836,10.003216313156683,0.00229348500637627,0.0,214469000,ABC
20,3.8763102725366876,1.4613716542059099,0.01741511500547645,2.707182320441989,1849000000,ABT
21,1.0992857142857142,1.5556042457882948,0.0671366230278617,1.0536977491961415,1539000000,ABT
22,0.326249152159168,0.9391824996464099,0.21676059789267335,0.5608786214732059,1443000000,ABT
23,0.5875656742556917,0.9090402304190282,0.11280683558057984,3.9724896836313617,1342000000,ABT
24,0.07434625483224012,2.7833232070785074,0.11004740220795664,0.04636388117488993,46041000,ACGL
25,0.04052036989453444,3.1444243516980546,0.15519868015546348,0.05164292347635722,28070000,ACGL
26,0.04079681926886328,2.74386043958941,0.1365999507187693,0.03814405446157814,21938000,ACGL
27,0.026293364335324892,2.564564871328479,0.2091706103453281,0.05680129997911533,21938000,ACGL
28,0.43502733844022423,1.4503294438323044,0.0988559830189696,23.96038598273235,1498734000,ACN
29,0.3337098834307905,1.6438381620650615,0.12504718663354006,23.872228397879987,1372179000,ACN
30,0.4181277654006886,1.8838594817993959,0.09835054709442635,94.79201685097419,1276787000,ACN
31,0.40077878686302015,2.0315847687601347,0.09804210957298941,61.72078979606543,1178890000,ACN
32,0.0,0.044542831998532116,0.33913335983609066,0.0,0,ACTG
33,0.0,0.1075345740975718,-0.3540756651975455,0.26426201934308274,0,ACTG
34,-0.1589267414831663,0.10878402119847459,-1.2799091468925199,0.0,25434000,ACTG
35,-0.37921216435202715,0.0978168033964972,-0.5045157248082154,0.0,25039000,ACTG
36,0.8279292521646346,1.080520669111178,0.14239032262927698,0.0,602119000,ADI
37,0.5955685742934601,0.5429476202073015,0.251844780907515,0.32975627558529785,513180000,ADI
38,0.7046556212134693,0.3914516163051978,0.20287025791448962,0.3842826530475376,491059000,ADI
39,0.7217711180321617,0.4417483186374148,0.21967534600472707,0.3559600493868805,454225000,ADI
40,0.45768025078369906,1.1788347075847758,0.02622147695140396,0.0,730000000,ADM
41,0.5480844409695075,1.313923018692133,0.020514547845892277,0.32911646586345383,701000000,ADM
42,0.37155219037317466,1.242639253589586,0.027310862308351305,0.4146086228547509,687000000,ADM
43,0.2775800711743772,1.2448020434227332,0.027684388123298972,0.5795175797219951,624000000,ADM
44,0.6562808489634748,9.720516822754076,0.12162872022692821,241.95238095238096,1063700000,ADP
45,0.5741317641629168,8.348755343223536,0.14001841709882226,222.7685185185185,995200000,ADP
46,0.6322278056951424,8.744287754373438,0.12791614528874337,71.52396166134186,943600000,ADP
47,0.6386230636833047,5.885827181033586,0.1327878593957124,36.0954954954955,927600000,ADP
48,0.728523489932886,0.3438024064541655,0.03574748837906733,0.3823326781625499,17368000,ADTN
49,0.49910585029379206,0.39147308645991696,0.055323572782479374,0.19636053229617736,17583000,ADTN
50,0.9894347313096643,0.31811062979007,0.03107335217576792,0.0710835240636635,18449000,ADTN
51,0.44704168534289557,0.34549455113084754,0.070824609885287,0.16749148517104318,19947000,ADTN
52,0.616072362229426,2.5381691912287416,0.12399432087079981,3.463060153411385,1178300000,AEP
53,1.8281224422982485,2.6468701500258667,0.037295254607725224,3.6024258760107815,1116800000,AEP
54,0.515558595085731,2.446844067360843,0.1244195657987504,3.888370465414674,1055400000,AEP
55,0.6079691516709511,2.5398092769408214,0.09975211556543294,4.033793370308268,993300000,AEP
56,-0.2730404823428079,11.467342799188641,-0.11025641025641025,1.3874151758173967,317000000,AES
57,-0.25663716814159293,10.865783822476736,-0.08317385543942293,1.5778717406624383,290000000,AES
58,0.9019607843137255,9.597014925373134,0.021617802896503002,2.4670991658943464,276000000,AES
59,0.18725617685305593,7.388342696629214,0.047692880178615726,2.1320610687022903,144000000,AES
60,0.30619747899159666,2.5233632862644417,0.0314528785000413,0.2680734241266082,583000000,AET
