,payoutRatio,debtEquityRatio,netMargin,roic,dividendsPaid,Underyling
2018-06-30,3.2363805039968137,-2.717077183276132,0.03322785864732918,0.0,10067904,ABT.TO
2017-06-30,-1.9140600305745483,-2.8302304618586787,-0.05428294205001505,0.0,9476850,ABT.TO
2016-06-30,0.9519484756516864,-3.6231269866021547,0.10955907051951819,0.1439164814916045,9261204,ABT.TO
2015-06-30,2.1973436150885264,-12.410246890874673,0.04928242856827091,0.20396681703092157,10141389,ABT.TO
2017-12-31,-0.12828096118299445,-7.7177881173944165,-0.16652302388574242,-0.09150943396226414,34700000,AIM.TO
2016-12-31,-2.0693815987933637,-21.92960559161258,-0.037685443073949866,-0.12711381341440242,137200000,AIM.TO
2015-12-31,1389.0,26.385131358300725,4.064049418840933e-05,0.06171057380007217,138900000,AIM.TO
2014-12-31,-3.555831265508685,10.14050854888207,-0.016323720025923527,0.0032017075773745998,143300000,AIM.TO
2017-12-31,0.1934032160693705,0.38897850242246657,0.6022077535776845,0.03588993706322853,5286000,ALS.TO
2017-04-30,-0.0802269293620695,0.3569803621525121,-2.574354089772592,0.0,5204000,ALS.TO
2016-04-30,-0.1245060316139767,0.2852379508942104,-3.4330596215637272,0.0,4789000,ALS.TO
2015-04-30,-0.02141604051504419,0.3647487863053832,-11.268556508765386,0.0,647000,ALS.TO
2017-12-31,1.5399380271991736,3.5376904697360376,0.008190694136300539,0.0,17891000,BDT.TO
2016-12-31,1.2917766578673706,3.9972671582113644,0.01572583384280959,0.0,32297000,BDT.TO
2015-12-31,1.5034447444372032,3.295088682259452,0.01486843216321084,0.0,32297000,BDT.TO
2014-12-31,0.8912713524850291,2.5095188532218717,0.02655783696945889,0.0,32297000,BDT.TO
2017-10-31,0.3758414360508601,16.58338734606372,0.24890626454435447,0.0489544574574712,2010000000,BMO.TO
2016-10-31,0.4800951968844656,16.784707778702163,0.22799921073401735,0.04520501822546881,2219000000,BMO.TO
2015-10-31,0.488558352402746,16.637222928527997,0.23273153325877402,0.042955506101294935,2135000000,BMO.TO
2014-10-31,0.4327799859714753,17.691139321459406,0.2421583059676141,0.04762550651904851,1851000000,BMO.TO
2017-12-31,15.950119712689546,1.2058382001332655,0.013283225290073624,27.22,39971000,BNE.TO
2016-12-31,-1.649347420758235,1.110671835005443,-0.15056520437191195,-7.629858112276373,39807000,BNE.TO
2015-12-31,-7.005176211453745,0.9865442552512986,-0.04935989780109266,1.473264835395261,63607000,BNE.TO
2014-12-31,2.9154820567064834,0.6419100815808614,0.12840465637070753,14.248932965101682,113007000,BNE.TO
2017-10-31,0.47432854465958774,14.972603220261691,0.3214084959447523,0.04649247822644497,3797000000,BNS.TO
2016-10-31,0.5055500913306168,15.922764304840761,0.29730971676831813,0.05542319305529345,3598000000,BNS.TO
2015-10-31,0.48560022811519815,16.359743302434552,0.31727507124440224,0.044862532412264206,3406000000,BNS.TO
2014-10-31,0.4617451562720973,16.82319581897031,0.32286196977306975,0.04973208842686175,3265000000,BNS.TO
2018-03-31,1.7611332923832923,4.979956300897735,0.012966429054995818,0.10698946635770246,22937000,CF.TO
2017-03-31,0.2906857727737973,7.917232412401814,0.04401871976839428,0.06694669649924592,11076000,CF.TO
2016-03-31,-0.08042770544897634,4.897949247457229,-0.4610067349723438,-0.044855205111480494,28831000,CF.TO
2015-03-31,-2.5541565533980584,3.5553069905614754,-0.015200515600013374,0.04538987723223404,33674000,CF.TO
2017-10-31,0.30325601191742924,18.26482659552637,0.3041227105041745,0.06219326451176172,1425000000,CM.TO
2016-10-31,0.41005847953216373,21.25685297258811,0.30570652173913043,0.06658042817411551,1753000000,CM.TO
2015-10-31,0.49021252796420584,21.697249508840866,0.2732900267481849,0.05535679182229212,1753000000,CM.TO
2014-10-31,0.5139838408949658,22.522174209688423,0.25897312087558344,0.06672804146208401,1654000000,CM.TO
2017-12-31,0.6665315881184909,0.6243673925916179,0.13239018004678213,0.7321183372862314,16448000000,CNU.TO
2016-12-31,22.218210361067506,0.6677023100601248,0.004361579754601227,-0.09933256346518957,14153000000,CNU.TO
2015-12-31,1.0085448977575817,0.7209622812084727,0.11798712083685423,0.3099705226258764,20419000000,CNU.TO
2014-12-31,0.33581953188591174,0.7461578988962356,0.22039452006648558,0.717278412686595,20216000000,CNU.TO
2017-12-31,0.38189288546096734,2.7879512248418252,0.08952412680218487,0.0,84768000,CSU.TO
2016-12-31,0.4099350046425255,3.116773659097417,0.09730617960873113,13.904303067737287,84768000,CSU.TO
2015-12-31,0.4782451706084131,3.860383892410505,0.09641904598193231,0.0,84768000,CSU.TO
2014-12-31,0.8222079962753884,4.515604373612079,0.061759589395594915,0.0,84768000,CSU.TO
2017-12-30,0.2308843537414966,2.1157165712361063,0.05470825983073934,4.123025210084034,169700000,CTC.TO
2016-12-31,0.235390823494246,1.9368849471510146,0.052763977604289886,3.764705882352941,157500000,CTC.TO
2016-01-02,0.2308158932362754,1.8417564374674622,0.0536988175510603,4.163527054108217,152200000,CTC.TO
2015-01-03,0.23410596026490066,1.8375862424055196,0.04846384067913567,2.154045307443366,141400000,CTC.TO
2017-10-31,0.3985393410844233,10.921274837264264,0.33823331345121505,0.12270437722650046,91077000,CWB.TO
2016-10-31,0.43819974200124223,11.015549050571968,0.32546507228122556,0.09597861012124118,82545000,CWB.TO
2015-10-31,0.22961184006199242,11.717647111523725,0.5602943431464945,0.09680621347692889,74670000,CWB.TO
2014-10-31,0.32130018821258893,12.075312060296062,0.4118912957462541,0.10785081935772264,73918000,CWB.TO
