,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
RBB,0.32727277,0.15718329,,,2.0,,,7.0,17.299,,8.0,28.2,,1534291200,,-0.129,0.106,,0.0,,6.432,487730496,USD,,9218666,2.39,11.799163,,242.0,,,0.0,74420000,0.19992,0.34317002,Banks - Regional - US,,,1514678400,,,,1,86400,,,1530316800,29782000,1577750400,3,-24355000,0.61553,5.0,,2,1.6301521,,0.39273998,0.39273998,,buy,1.7,0.01778,0.124469995,-0.064,4.803,,Financial Services,1.0,16544600,0.0234,386516,1531440000,442523,0.028499998,10.76,36.0,35.0,35.33,35.0,,,73388000,4.436,93071000,75831000,1.757,,
RBNC,0.21434784,0.15718329,,,2.0,0.37839,,6.0,17.621,,9.0,29.5,,1534291200,,-0.33,-0.022,,0.0,,7.53,395974080,USD,,9384207,1.57,18.789808,,167.0,,,0.0,39181000,0.12749,0.28963,Banks - Regional - US,,,1514678400,,,,1,86400,,,1530316800,8881000,1577750400,3,-11447000,0.26878,6.0,,2,1.6741388,,0.16889,0.16889,,hold,2.7,0.0054699997,0.046290003,0.619,5.276,,Financial Services,3.0,11527100,0.0202,233414,1531440000,222835,0.0233,15.59,32.0,27.0,29.67,30.0,,,36898000,3.201,114609000,52586000,0.882,,
RDN,0.20913887,0.15718329,,,1.0,2.038249,,3.0,15.012,,1.0,20.51,1.415,1534291200,36.962,,,776017984,0.62541,5.59,3.496,4337625600,USD,,212097923,2.73,7.5128207,675086976,1887.0,,,0.79844004,957601000,0.0049799997,0.95092005,Insurance - Specialty,,,1514678400,993081600,2/1,,1,86400,,,1530316800,395392992,1577750400,12,454984992,0.57711,1.0,0.53,2,1.3662404,,0.31866,0.31866,0.981,buy,2.0,0.07486,0.12931,0.054,5.763,,Financial Services,1.0,213290000,0.0098,2097838,1531440000,1675237,0.0097,1.21,28.0,20.5,24.04,24.0,,,1218043008,5.711,1183218944,1240812032,1.802,,
RE,-0.08190501,0.15718329,,,1.0,0.138122,,9.0,201.696,,6.0,214.01,2.175,1534291200,7.687,-0.714,-0.715,,0.0,,1.177,8524759040,USD,,30503899,23.9,8.954393,-582636032,1276.0,,,0.01864,491800000,0.2534,0.98620003,Insurance - Reinsurance,,,1514678400,,,,1,86400,,,1530316800,209840992,1577750400,10,660979008,0.01502,8.0,0.32,2,1.0610522,,0.029260002,0.029260002,1.27,hold,2.6,0.0029300002,0.025179999,0.235,178.55,,Financial Services,9.0,40855400,0.022,900501,1531440000,859196,0.0286,2.8,290.0,235.0,248.7,241.5,,,912684032,22.339,633504000,7240189952,5.137,,
RELL,0.5163512,0.15718329,,,,1.113729,,,10.444,,,8.85,4.602,1534291200,,,,6346000,0.03888,9.032,0.351,57316192,USD,,8655106,,,-4673375,421.0,,,0.33749,55082000,0.00232,0.63184,Electronics Distribution,,,1527897600,515721600,3/2,,1,86400,,,1527897600,2326000,1591056000,,2952000,0.020539999,,1.31,2,0.8473765,,0.02342,0.02342,2.784,sell,5.0,0.012940001,0.01739,0.218,12.65,,Technology,,10824800,0.0017,21929,1531440000,15361,0.002,1.05,,,,,,,60465000,4.672,0,163212000,0.295,,
RF,0.43535423,0.15718329,,,1.0,1.367733,,5.0,13.422,,2.0,19.15,,1534291200,,0.271,0.187,,0.0,,5.509,32048441344,USD,,1099162778,1.58,12.120253,,20326.0,,,0.0,5569000000,0.00471,0.78208,Banks - Regional - US,,,1514678400,1088640000,12346/10000,,1,86400,,,1530316800,1376000000,1577750400,25,1788999936,0.36462003,4.0,1.56,2,1.426762,,0.24669,0.24669,,hold,2.6,0.0115600005,0.088149995,0.037,5.08,,Financial Services,7.0,1102470016,0.0186,20490329,1531440000,17973515,0.0207,1.78,22.0,17.0,20.42,20.5,,,2104000000,1.908,11713000448,5816999936,1.194,,
RGA,0.0443269,0.15718329,,,1.0,0.655333,,7.0,135.093,,1.0,141.85,0.848,1534291200,41.013,-0.116,-0.12,1216040960,0.0954,9.017,0.86,10964990976,USD,,63186659,13.39,10.593727,1084329984,2640.0,,,0.15248999,2028166000,0.0104600005,0.94574,Insurance - Reinsurance,,,1514678400,,,,1,86400,,,1530316800,1749083008,1577750400,9,1909922048,0.09274,3.0,1.39,2,1.0500175,,0.13721,0.13721,0.624,hold,2.7,0.01253,0.21108,0.021,198.047,,Financial Services,3.0,63656400,0.0275,1747756,1531440000,1492371,0.0272,4.01,172.0,131.0,153.0,150.0,,,1556877056,24.457,3527848960,12747368448,26.609,,
RGLD,-0.19492185,0.15718329,,,1.0,0.566527,,5.0,32.163,,2.0,74.53,2.448,1534291200,16.393,0.36,0.331,328524992,0.71922994,15.684,11.281,5152687616,USD,,64998755,2.33,31.987125,384407872,23.0,,,0.81644994,372935000,0.00847,0.80487,Gold,,,1530316800,,,,1,86400,,,1530316800,-113134000,1593475200,13,328824000,-0.16318001,2.0,1.1,2,2.317259,,-0.24768,-0.24768,2.241,buy,2.2,-0.01613,-0.0535,0.065,6.996,,Basic Materials,2.0,65505100,0.033299997,2179912,1531440000,1993661,0.0337,4.37,105.0,80.0,96.42,99.0,,,88750000,1.355,351027008,456774016,-1.733,,
RICK,0.21902013,0.15718329,,,10.0,0.838201,,9.0,16.077,,6.0,30.72,1.235,1534291200,82.736,0.392,0.403,45166000,0.27493,9.301,2.557,420100864,USD,,8313385,2.46,12.487804,3395875,2130.0,,,0.84683996,122084000,0.074710004,0.51791,Restaurants,,,1506729600,921542400,1/2,,1,86400,,,1530316800,22146000,1569801600,2,25608000,0.22750999,9.0,0.35,2,1.9108043,,0.1348,0.1348,0.717,buy,2.0,0.075,0.14955,0.139,16.903,,Consumer Cyclical,7.0,9718710,0.0098,95687,1531440000,85603,0.0106,2.58,38.0,34.0,36.0,36.0,,,13171000,1.355,131255000,164282000,2.279,,
RIG,0.19848156,0.15718329,,,5.0,1.941884,,1.0,26.759,,1.0,11.43,1.492,1534291200,77.9,,,1076999936,0.38923,11.253,4.38,12119269376,USD,,427551377,-0.59,-19.372883,515000000,4500.0,,,0.43441,1384000000,0.07406,0.77913004,Oil & Gas Drilling,,,1514678400,1196121600,6996/10000,,1,86400,,,1530316800,-2872999936,1577750400,21,706000000,0.08457,2.0,-0.08,2,0.42714602,,-1.03831,-1.03831,1.113,hold,2.7,0.0060799997,-0.21523,0.111,6.58,,Energy,4.0,461648992,0.1673,77265464,1531440000,71484417,0.18120001,6.41,16.0,8.0,12.61,13.0,,,2524999936,5.467,9630000128,2767000064,-6.835,,
