,auditRisk,boardRisk,compensationRisk,fullTimeEmployees,industry,overallRisk,sector,shareHolderRightsRisk,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn,currentPrice,currentRatio,debtToEquity,earningsGrowth,ebitda,ebitdaMargins,financialCurrency,freeCashflow,grossMargins,grossProfits,maxAge_finData,numberOfAnalystOpinions,operatingCashflow,operatingMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,totalCash,totalCashPerShare,totalDebt,totalRevenue
AAPL,1,2,6,100000,Consumer Electronics,1,Technology,1,0.5120537,0.15280128,,,1.256531,,23.735,,1536883200,0.321,14.439,4.442,1133937557504,,4574761009,13.71,16.60981,,,0.00068000006,0.61332,,,1506729600,1402272000,7/1,,1,,,1530316800,56120000512,1569801600,1.83,4,9.594291,,0.21983999,,4829929984,0.0097,46818683,1534291200,42160518,0.0092,1.5,,,11.038,,,227.7205,1.307,99.696,0.401,78533001216,0.30764,USD,41444749312,0.38267,88186000000,86400,36,73032998912,0.26599002,0.21983999,1.099,buy,2.0,0.12222999,0.45373002,0.173,50.626,300.0,175.0,234.77,237.5,70969999360,14.694,114600001536,255273992192
INTC,1,4,8,104200,Semiconductors,4,Technology,3,0.23945093,0.15280128,,,0.950961,,15.191,,1536883200,0.783,7.823,3.422,226639708160,,4609201710,4.27,11.181499,,,0.00043000001,0.68587,,,1514592000,965001600,2/1,,1,,,1530316800,13288999936,1577664000,1.13,3,3.1429794,,0.20065,,4610999808,0.0155,71521358,1534291200,80130799,0.0153,3.28,,,2.773,,,47.745,1.571,40.176,0.81,28971999232,0.43745,USD,6632000000,0.61933,39124000000,86400,31,27202000896,0.30891,0.20065,0.96,hold,2.6,0.10309,0.19166,0.149,14.173,70.0,38.0,55.26,56.0,12225000448,2.651,28142000128,66230001664
