Symbol	Description
IKM.V	Ikkuma Resources Corp
ILA.V	Ilookabout Corp
ILC.V	International Lithium Corp
ILI.V	Infinite Lithium Corp.
IMA.V	I-Minerals Inc
IMEX.V	Imex Systems Inc
IMIN.V	Imining Blockchain & Cryptocurrency Inc.
IMR.V	Imetal Resources Inc
IMT.V	International Montoro Res. Inc
INP.V	Input Capital Corp
INX.V	Intouch Insight Ltd
IO.V	Inca One Gold Corp
IOM.V	Assure Holdings Corp
ION.V	Alset Minerals Corp
IOT.V	Innovotech Inc
IOU.V	Iou Financial Inc
IPA.V	Immunoprecise Antibodies Ltd
IPC.V	Iplayco Corporation Ltd
IPD.V	International Parkside Products Inc
IPG.V	Imperial Mining Group Ltd
IPT.V	Impact Silver Corp
IQ.V	Airiq Inc
IRC.V	Ironside Resources Inc
IRI.V	Iemr Resources Inc
IRO.V	Inter-Rock Minerals Inc
IRR.V	Inform Resources Corp
ISD.V	Isign Media Solutions Inc
ISO.V	Isoenergy Ltd
ISS.V	International Samuel Exploration Corp
ITG.V	Intact Gold Corp
ITM.V	Intema Solutions Inc
ITR.V	Integra Resources Corp.
ITT.V	Internet of Things Inc
IVC.V	Interconnect Ventures Corp
IVF.H.V	Invictus Financial Inc
IVI.V	Ivrnet Inc
IVS.V	Inventus Mining Corp
IVX.V	Inventronics Limited
IXI.V	Indigo Exploration Inc
IZ.V	International Zeolite Corp.
IZN.V	Inzinc Mining Ltd
IZZ.V	International Prospect Ventures Ltd
JADE.V	Jade Leader Corp.
JAEG.V	Jaeger Resources Corp.
JAX.V	Jaxon Mining Inc
JCO.V	Jericho Oil Corp
JEC.V	Jura Energy Corp
JET.V	Canada Jetlines Ltd
JET.WT.V	Canada Jetlines Ltd Wts
JET.WT.A.V	Canada Jetlines Ltd Wts A
JFC.V	Jaguar Financial Corp
JG.V	Japan Gold Corp
JLR.H.V	Jiulian Resources Inc
JNX.V	Junex Inc
JOR.V	Jourdan Resources Inc
JP.V	Jackpot Digital Inc
JP.WT.V	Jackpot Digital Inc Wts
JSE.V	Jadestone Energy Inc
JSP.V	Jasper Mining Corp
JTC.V	Jemtec Inc
JTR.V	Greenspace Brands Inc
JTR.WT.V	Greenspace Brands Inc Wts
JUGR.V	Juggernaut Exploration Ltd.
JWCA.V	James E. Wagner Cultivation Corp.
KALY.V	Kalytera Therapeutics Inc
KALY.WT.V	Kalytera Therapeutics Inc Wts
KAP.V	Kapuskasing Gold Corp
KAR.V	Karmin Exploration Inc
KASH.V	Hashchain Technologyinc
KAY.H.V	Karsten Energy Corp
KBG.V	Kings Bay Resources Corp
KBLT.V	Cobalt 27 Capital Corp
KBY.V	Kona Bay Technologies Inc
KC.V	Kutcho Copper Corp
KCC.V	Kincora Copper Limited
KDA.V	Kda Group Inc
KEN.V	Kenadyr Mining Holdings Corp
KES.V	Kesselrun Resources Ltd
KFG.V	Kfg Resources Ltd
KG.V	Klondike Gold Corp
KGC.V	Kestrel Gold Inc
KGF.V	King George Financial Corp
KGL.V	Kilo Goldmines Ltd
KHRN.V	Khiron Life Sciences Corp
KLE.H.V	Kingsland Energy Corp
KLM.V	Kermode Resources Ltd
KMAX.V	Organimax Nutrient Corp.
KMC.H.V	Kmt Hansa Corp
KMT.V	Komet Resources Inc
KNE.V	Kane Biotech Inc
KNG.V	Kingsmen Resources Ltd
KNO.H.V	Cellstop Systems Inc
KNT.V	K92 Mining Inc
KS.V	Klondike Silver Corp
KSI.V	Kneat.Com Inc
KTN.V	Kootenay Silver Inc
KTN.WT.V	Kootenay Silver Inc Wts
KTO.V	K2 Gold Corp
KTR.V	Kintavar Exploration Inc
KUB.V	Cub Energy Inc
KUR.H.V	Kure Technologies Inc
KUT.V	Redishred Capital Corp
KUU.V	Kuuhubb Inc
KYS.H.V	Kaymus Resources Inc
KZD.V	Kaizen Discovery Inc
LA.V	Los Andes Copper Limited
LAB.V	Labrador Gold Corp.
LAD.V	New Carolin Gold Corp
LAT.V	Latin American Minerals Inc
LBC.V	Libero Copper Corporation
LBI.V	Lions Bay Capital Inc
LBL.V	Lattice Biologics Ltd
LBY.V	Liberty One Lithium Corp
LDI.V	Lithoquest Diamonds Inc.
LEM.V	Leading Edge Materials Corp
LEN.V	Lund Enterprises Corp
LEP.V	Lithium Energy Products Inc
LEXI.V	Lithium Energi Exploration Inc
LFC.P.V	22 Capital Corp
LG.V	Lgc Capital Ltd
LHR.V	Lakeview Hotel Invest Corp
LHR.DB.C.V	Lakeview Hotel Invest Corp Ser C Debs
LI.V	American Lithium Corp
LIC.V	Lico Energy Metals Inc
LIO.V	Lion One Metals Limited
LIT.V	Argentina Lithium and Energy Corp
LITH.V	Lithium Chile Inc.
LIVE.V	Globalive Technology Inc.
LJ.V	Lucky Minerals Inc
LKY.V	Lucky Minerals Inc
LL.V	Canada Rare Earth Corp
LLC.V	Lorraine Copper Corp
LLG.V	Mason Graphite Inc
LM.V	Lingo Media Corp
LMD.V	Led Medical Diagnostics Inc
LME.V	Laurion Mineral Exploration Inc
LMG.V	Lincoln Mining Corp
LMR.V	Lomiko Metals Inc
LNC.V	Lithion Energy Corp
LND.V	Inspira Financial Inc
LNE.H.V	Loon Energy Corporation
LOOP.V	Loopshare Ltd
LOT.V	Tomagold Corp
LPC.V	Lorne Park Capital Partners Inc
LPK.V	Lupaka Gold Corp
LPS.V	Legend Power Systems Inc
LR.V	Luminex Resources Corp
LRA.V	Lara Exploration Ltd
LRT.DB.G.V	Lanesborough REIT 5.0 Pct Ser G Debs
LRT.UN.V	Lanesborough R.E. Investment Trust
LSC.V	Lsc Lithium Corp
LSC.RT.V	Lsc Lithium Corporation RTS
LTE.V	Lite Access Technologies Inc
LTV.V	Leonovus Inc
LTX.V	Labrador Technologies Inc
LTY.V	Liberty Biopharma Inc
LUKY.V	Luckystrike Resources Ltd
LUM.V	Lumina Gold Corp
LVWL.V	Livewell Canada Inc.
LX.H.V	Lincoln Ventures Ltd
LXE.V	Leucrotta Exploration Inc
LXG.V	Lexagene Holdings Inc
M.V	Mosaic Capital Corp
M.DB.V	Mosaic Capital Corp 7.0 Pct Debs
MAC.V	Themac Resources Group Limited
MAD.V	Miranda Gold Corp
MAE.V	Maritime Resources Corp
MAH.V	Marksmen Energy Inc
MAI.V	Minera Alamos Inc
MAP.V	Maple Peak Investments Inc
MAS.V	Mas Gold Corp.
MAZ.H.V	Mazarin Inc
MBI.V	Med Biogene Inc
MBO.V	Mobio Technologies Inc
MBR.H.V	Mbmi Resources Inc
MC.V	M2 Cobalt Group
MCA.H.V	Milner Consolidated Silver Mines Ltd
MCF.V	Pinedale Energy Limited
MCG.V	Mountain China Resorts Holding Ltd
MCI.V	Minnova Corp
MCLD.V	Universal Mcloud Corp
MCM.A.V	Matachewan Cons Mines
MCN.V	Metron Capital Corp
MCO.V	Magnolia Colombia Ltd
MCR.V	Macro Enterprises Inc
MCS.V	Mcchip Resources Inc
MCU.V	Mega Copper Ltd.
MCX.V	Mcorpcx Inc
MD.V	Midland Exploration Inc
MDL.V	Medallion Resources Ltd
MDV.V	Megastar Development Corp
MDX.V	Medx Health Corp
MED.V	Medgold Resources Corp
MEK.V	Metals Creek Resources Corp
META.V	National Access Cannabis Corp
MEX.V	Mexican Gold Corp
MEZ.H.V	Mezzotin Minerals Inc
MFM.V	Marifil Mines Ltd
MFS.V	Medifocus Inc
MFX.V	Minfocus Exploration Corp
MGC.H.V	Midasco Capital Corp
MGG.V	Minaurum Gold Inc
MGI.V	Magnum Goldcorp Inc
MGM.V	Maple Gold Mines Ltd.
MGM.WT.V	Maple Gold Mines Ltd Wts
MGR.P.V	Magna Gold Corp
MGZ.H.V	Mangazeya Mining Ltd
MHI.V	Mineral Hill Industries Ltd
MINE.V	Inomin Mines Inc
MIR.V	Medmira Inc
MIRA.P.V	Mira X Acquisition Corp
MIT.V	The Mint Corp
MJS.V	Majestic Gold Corp
MK.H.V	Mk2 Ventures Ltd
MKA.V	Mkango Resources Ltd
MKR.V	Melkior Resources Inc
MKT.V	Deepmarkit Corp
ML.V	Millennial Lithium Corp
ML.WT.V	Millennial Lithium Corp Wts
MLG.V	ML Gold Corp
MLN.V	Marlin Gold Mining Ltd
MLR.V	Melior Resources Inc
MLY.V	American Cumo Mining Corp
MMA.V	Midnight Sun Mining Corp
MMG.V	Metallic Minerals Corp
MML.P.V	Magnitude Mining Ltd
MMM.V	Minco Gold Corp
MMN.V	Monarca Minerals Inc
MMS.V	Macarthur Minerals Limited
MMV.V	Mineral Mountain Resources Ltd
MMX.V	Maverix Metals Inc
MMY.V	Monument Mining Limited
MN.V	Manganese X Energy Corp
MNO.V	Meridian Mining Societas Europaea
MNX.V	Manitex Capital Inc
MNY.V	Montan Mining Corp
MOL.V	Molori Energy Inc
MON.V	Montero Mining and Exploration Ltd
MOO.V	Mooncor Oil and Gas Corp
MOON.V	Blue Moon Zinc Corp
MOS.V	Mobi724 Global Solutions Inc
MOX.V	Morien Resources Corp
MPH.V	Medicure Inc
MPT.V	Midpoint Holdings Ltd
MQR.V	Monarques Gold Corp
MQX.V	Marquee Energy Ltd
MRI.V	Meridius Resources Ltd
MRL.V	Margaux Resources Ltd
MRO.V	Millrock Resources Inc
MRZ.V	Mirasol Resources Ltd
MSP.V	Minaean SP Construction Corp
MSR.V	Minsud Resources Corp
MTA.V	Metalla Royalty & Streaming Ltd
MTB.V	Mountain Boy Minerals Ltd
MTC.V	Metalcorp Ltd
MTH.V	Mammoth Resources Corp
MTLO.V	Martello Technologies Group Inc.
MTO.V	Metanor Res Inc
MTS.V	Metallis Resources Inc
MTT.V	Magna Terra Minerals Inc
MTU.V	Manitou Gold Inc
MTX.V	Metalex Ventures Ltd
MU.H.V	Monster Uranium Corp
MUN.V	Mundoro Capital Inc
MUR.V	Murchison Minerals Ltd
MVI.H.V	Monitor Ventures Inc
MVN.V	Madalena Energy Inc
MVP.V	Mediavalet Inc
MVY.V	Moovly Media Inc
MWI.UN.V	Maplewood International REIT
MWX.V	Mineworx Technologies Ltd
MXX.V	Matrrix Energy Technologies Inc
MZZ.V	Val Dor Mining Corp
N.V	Namaste Technologies Inc.
N.WT.V	Namaste Technologies Inc. Wts
NAM.V	New Age Metals Inc
NAN.V	North American Nickel Inc
NAP.V	Napier Ventures Inc
NAR.V	North Arrow Minerals Inc
NBR.V	Nubian Resources Ltd
NBVA.V	Nubeva Technologies Ltd.
NBY.V	Niobay Metals Inc
NCI.V	Ntg Clarity Networks Inc
NCX.V	Northisle Copper and Gold Inc
NDR.V	New Dimension Resources Ltd
NDVA.V	Indiva Limited
NDVA.WT.V	Indiva Limited Wts
NED.V	New Destiny Mining Corp.
NEE.V	Northern Vertex Mining Corp
NEM.V	New Era Minerals Inc
NER.V	Newmac Resources Inc
NEV.V	Nevada Sunrise Gold Corp
NFD.A.V	Northfield Capital Corp Cl.A Rv
NGC.V	Northern Graphite Corp
NGE.V	Nevada Exploration Inc
NGH.H.V	Nexia Health Technologies Inc
NGZ.V	NRG Metals Inc
NIC.V	Pure Nickel Inc
NIM.V	Nicola Mining Inc
NINE.V	Delta 9 Cannabis Inc
NINE.WT.V	Delta 9 Cannabis Inc Wts
NIO.V	Niocan Inc
NIP.V	Nippon Dragon Resources Inc
NIR.V	Noble Iron Inc
NKW.V	Naikun Wind Energy Group Inc
NL.V	Northern Lion Gold Corp
NLC.V	NEO Lithium Corp
NLH.V	Nova Leap Health Corp
NM.V	Northern Empire Resources Corp
NMG.V	Noble Metal Group Inc
NMI.V	Namibia Critical Metals Inc.
NNA.V	New Nadina Explorations Limited
NNN.V	Nickel One Resources Inc
NNO.V	Nano One Materials Corp
NNP.V	Newnorth Projects Ltd
NNX.V	Nickel North Exploration Corp
NOB.V	Noble Mineral Exploration Inc
NOL.H.V	Knol Resources Corp
NOR.V	Nordic Gold Corp.
NOT.V	Noront Resources Ltd
NOU.V	Nouveau Monde Graphite Inc
NPA.V	Alphinat Inc
NRG.V	Newrange Gold Corp
NRM.V	Noram Ventures Inc
NRN.V	Northern Shield Resources Inc
NRTH.V	48North Cannabis Corp
NSP.V	Naturally Splendid Enterprises Ltd
NSX.V	Nsgold Corp
NTE.V	Network Media Group Inc
NTN.H.V	Newton Energy Corporation
NTQ.V	Novateqni Corp
NTRL.V	Sweet Natural Trading Co.
NTS.V	Nanotech Security Corp
NTY.V	92 Resources Corp
NU.V	Neutrisci International Inc
NUAG.V	New Pacific Metals Corp
NUG.V	Nulegacy Gold Coporation
NVH.V	Novoheart Holdings Inc
NVI.V	Novra Technologies Inc
NVM.V	Nevada Clean Magnesium Inc
NVO.V	Novo Resources Corp
NVT.V	Nortec Minerals Corp
NVV.V	Norvista Capital Corp
NVX.V	Nv Gold Corp
NVY.V	Navy Resources Corp
NW.V	New World Resources Corp
NWE.V	New West Energy Services Inc
NWX.V	Newport Exloration Ltd
NXG.V	Nexgenrx Inc
NXN.V	Nxgold Ltd
NXO.V	Nexoptic Technology Corp
NXR.UN.V	Nexus Real Estate Investment Trust
NXS.V	Nexus Gold Corp
NXT.V	Natcore Technology Inc
NZ.V	New Zealand Energy Corp
NZN.V	Nevada Zinc Corp
NZP.V	Chatham Rock Phosphate Limited
NZZ.V	Nitinat Minerals Corp
OCC.P.V	Owl Capital Corp
OCN.V	Oceanus Resources Corp
OCO.V	Oroco Resource Corp
OEC.V	Oracle Energy Corp
OEE.V	Memex Inc
OG.V	Organic Garage Ltd
OGI.V	Organigram Holdings Inc
OGI.DB.V	Organigram Holdings Inc 6.00 Pct Debs
OGI.WT.A.V	Organigram Holdings Inc Wts
OGO.V	Organto Foods Inc
OIC.V	Origin Gold Corporation
OK.V	Ok2 Minerals Ltd
OLA.V	Orla Mining Ltd
OLV.V	Olivut Resources Ltd
OM.V	Osisko Metals Incorporated
OML.V	Omni-Lite Industries Canada Inc
OMM.V	Omineca Mining and Metals Ltd
ONE.V	01 Communique Laboratory Inc
ONV.V	Oronova Energy Inc
OOO.V	Otis Gold Corp
OOR.V	Opus One Resources Inc
OPW.V	Opawica Explorations Inc
ORC.B.V	Orca Exploration Group Inc Cl B
ORE.V	Orezone Gold Corp
ORG.V	Orca Gold Inc
ORM.V	Orford Mining Corporation
ORO.V	New Oroperu Resources Inc
ORS.V	Orestone Mining Corp
ORX.V	Orefinders Resources Inc
OS.V	Osprey Gold Development Ltd
OSI.V	Osino Resources Corp
OSS.V	Onesoft Solutions Inc
OSU.V	Orsu Metals Corp
OVT.V	Oculus Visiontech Inc
OWL.P.V	Two Owls Ventures Corp
OY.V	Oyster Oil and Gas Ltd
OYL.V	Cgx Energy Inc
PA.V	Palamina Corp
PAC.V	Pacton Gold Inc
PAD.V	Pan Andean Minerals Ltd
PAL.V	Parallel Mining Corp
PAM.V	Power Americas Minerals Corp
PAN.V	Pangolin Diamonds Corp
PAS.V	Pascal Biosciences Inc
PAT.V	Patriot One Technologies Inc
PAT.WT.V	Patriot One Technology Inc Wts
PAT.WT.A.V	Patriot One Technologies Inc Wts A
PAT.WT.B.V	Patriot One Technologies Inc Wts B
PBM.V	Pacific Bay Minerals Ltd
PBR.V	Para Resources Inc
PBX.V	Powerband Solutions Inc
PCI.V	Perlite Canada Inc
PCO.V	Phoenix Canada Oil Co.Ltd.
PCQ.V	Petrolympic Ltd
PCR.V	Pinecrest Resources Ltd
PDH.V	Premier Diversified Holdings Inc
PDP.V	Pediapharm Inc
PDQ.V	Petrodorado Energy Ltd
PE.V	Pure Energy Minerals Limited
PEA.V	Pieridae Energy Ltd.
PEEK.V	Peeks Social Ltd
PEH.V	Primeline Energy Holdings Inc
PEI.V	Prospera Energy Inc.
PEMC.V	Pacific Empire Minerals Corp
PEO.V	People Corp
PER.V	Peruvian Metals Corp.
PERU.V	Chakana Copper Corp.
PEX.V	Pacific Ridge Exploration Ltd
PFC.V	Petrofrontier Corp
PFM.V	Prontoforms Corp
PGC.V	Plato Gold Corp
PGE.V	Group Ten Metals Inc
PGM.V	Pure Gold Mining Inc
PGV.V	Prodigy Ventures Inc
PGX.V	Prosper Gold Corp
PGZ.V	Pan Global Resources Inc
PHD.V	Providence Gold Mines Inc
PHI.V	Philippine Metals Inc
PHM.V	Protech Home Medical Corp.
PJT.V	Partner Jet Corp
PJX.V	Pjx Resources Inc
PKT.V	Parkit Enterprise Inc
PLA.V	Plata Latina Minerals Corp
PLAN.V	Progressive Planet Solutions Inc.
PLU.V	Plateau Energy Metals Inc.
PLX.V	Point Loma Resources Ltd
PLY.V	Playfair Mining Ltd
PML.V	Panoro Minerals Ltd
PMX.V	Proam Exploration Corp
PN.P.V	Platform 9 Capital Corp
PNG.V	Kraken Robotics Inc.
PNN.V	Pennine Petroleum Corp
PNO.V	Pentanova Energy Corp
PNO.WT.V	Pentanova Energy Corp Wts
POC.V	Pacific Iron Ore Corp
POE.V	Pan Orient Energy Corp
POG.V	Perisson Petroleum Corp
POI.H.V	Pounce Technologies Inc
POND.V	Pond Technologies Holdings Inc.
POOL.V	Pool Safe Inc
POR.V	Portofino Resources Inc
PORE.V	Powerore Inc
PP.V	Pacific Silk Road Res Group Inc.
PPE.H.V	Pacific Paradym Energy Inc
PPM.V	Pacific Imperial Mines Inc
PPV.H.V	P and P Ventures Inc
PPX.V	Ppx Mining Corp
PQE.V	Petroteq Energy Inc
PRB.V	Probe Metals Inc
PRED.P.V	Predator Blockchain Capital Corp
PRG.V	Precipitate Gold Corp
PRO.V	Pershimex Resources Corp.
PROS.V	Prosmart Enterprises Inc
PRS.V	Prism Resources Inc
PRV.UN.V	Pro Real Estate Investment Trust
PRZ.V	Prize Mining Corp
PSH.V	Petroshale Inc
PSL.V	Prospero Silver Corp
PST.V	Pistol Bay Mining Inc
PTE.V	Pioneering Technology Corp
PTF.V	Pender Growth Fund Inc
PTK.V	Poet Technologies Inc
PTP.V	Petrichor Energy Inc
PTU.V	Purepoint Uranium Group Inc
PTV.H.V	Petro Vista Energy Corp
PUC.V	Pancontinental Resources Corp.
PUL.V	Pulse Oil Corp
PUL.WT.V	Pulse Oil Corp Wts
PUMA.V	Puma Exploration Inc
PURE.V	Pure Global Cannabis Inc.
PVF.PR.U.V	Partners Value Investments Series 1 Pref
PVF.UN.V	Partners Value Investments  LP
PVF.WT.V	Partners Value Investments Warrants
PWM.V	Power Metals Corp
PX.V	Pelangio Exploration Inc
PXI.V	Planet Ventures Inc
PYR.V	Pyrogenesis Canada Inc
QAI.H.V	Cairo Resources Inc
QBC.P.V	Quantum Blockchain Technologies Ltd
QGR.V	Q Gold Resources Ltd
QI.V	Q Investments Ltd.
QIC.V	Quantum International Income Corp
QIS.V	Quorum Information Technologies Inc
QIT.V	Quinto Resources Inc
QMC.V	Qmc Quantum Minerals Corp
QMX.V	Qmx Gold Corp
QNC.V	Quantum Numbers Corp
QOC.P.V	Quendale Capital Corp
QPT.V	Quest Pharmatech Inc
QRO.V	Quadro Resources Inc
QST.V	Questor Technology Inc
QTA.V	Quaterra Resources Inc
QUIS.V	Quisitive Technology Solutions Inc
QYOU.V	Qyou Media Inc
RAB.V	Rambler Metals and Mining Plc
RAK.V	Rackla Metals Inc
RAU.H.V	Regency Gold Corp
RB.H.V	Russell Breweries Inc
RBE.V	Rockbridge Resources Inc.
RBX.V	Robex Resources Inc
RCG.V	Resource Capital Gold Corp
RCK.V	Rock Tech Lithium Inc
RCLF.V	Rockcliff Metals Corporation
RCT.V	Rochester Resources Ltd
RDK.H.V	Redhawk Resources Inc
RDR.P.V	Rider Investment Capital Corp
RDS.V	Radisson Mining Resources Inc
RDU.V	Radius Gold Inc
REG.V	Regulus Resources Inc
REKO.V	Reko International Group Inc
REL.V	Roughrider Exploration Limited
REN.V	Renaissance Gold Inc
REW.V	Rewardstream Solutions Inc
REX.V	Orex Minerals Inc
REZ.V	Redzone Resources Ltd
RFC.V	Rifco Inc
RG.V	Romios Gold Resources Inc
RGC.V	Redstar Gold Corp
RGD.V	Reunion Gold Corp
RGI.V	Reco International Group Inc
RGM.V	Remington Resources Inc.
RGZ.H.V	Randsburg International Gold Corp
RHC.V	Rhc Capital Corp
RHT.V	Reliq Health Technologies Inc
RHV.P.V	Rainy Hollow Ventures Inc
RII.H.V	Richco Investors Inc Mv
RIO.V	Rio2 Limited
RJX.A.V	Rjk Explorations Ltd Cl.A Sv
RK.V	Rockhaven Resources Ltd
RKR.V	Rokmaster Resources Corp
RLV.V	Relevium Technologies Inc
RM.V	Routemaster Capital Inc
RMD.V	Richmond Minerals Inc
RMI.V	Ridgestone Mining Inc
RMK.V	Red Moon Resources Inc
RML.V	Rusoro Mining Ltd
RMO.V	Rainy Mountain Royalty Corp
RNP.V	Royalty North Partners Ltd
RNP.WT.V	Royalty North Partners Ltd Wts
ROCK.V	Rockridge Resources Ltd.
ROE.V	Renaissance Oil Corp
ROE.WT.V	Renaissance Oil Corp Wts
ROE.WT.A.V	Renaissance Oil Corp Wts A
ROE.WT.B.V	Renaissance Oil Corp Wts B
ROI.V	Route1 Inc
ROS.V	Roscan Minerals Corp
ROT.V	Rotation Minerals Ltd
ROVR.V	Rover Metals Corp
ROX.V	Canstar Resources Inc
RP.V	Replicel Life Sciences Inc
RPC.V	Raise Production Inc
RPP.V	Regent Pacific Properties Inc
RPX.V	Red Pine Exploration Inc
RRI.V	Riverside Resources Inc
RRL.V	Relentless Resources Ltd
RRL.RT.V	Relentless Resources Ltd RTS
RRR.UN.V	R and R Real Estate Investment Trust
RRS.V	Rogue Resources Inc
RSS.V	Resaas Services Inc
RST.V	Rosita Mining Corp
RSV.V	Resolve Ventures Inc
RSY.V	Rsi International Systems Inc
RTH.V	Rathdowney Resources Ltd
RTI.V	Radient Technologies Inc
RTM.V	Rt Minerals Corp
RTN.V	Return Energy Inc
RUF.DB.U.V	Pure Multi Family REIT LP 6.5 Pct Dbs
RUF.U.V	Pure Multi Family REIT LP
RUF.UN.V	Pure Multi Family REIT LP CAD
RUG.V	Rugby Mining Limited
RUM.V	Rocky Mountain Liquor Inc
RUM.DB.A.V	Rocky Mountain Liquor Inc 7.5 Pct Debs
RUN.V	Running Fox Resource Corp
RUP.V	Rupert Resources Ltd
RVG.V	Revival Gold Inc
RVL.V	Revelo Resources Corp
RVV.V	Revive Therapeutics Ltd
RW.V	Renoworks Software Inc
RWR.V	Rockwealth Resources Corp
RX.V	Biosyent Inc
RYO.V	Rio Silver Inc
RYP.H.V	Ripper Oil and Gas Inc
RYR.V	Royal Road Minerals Limited
RYU.V	Ryu Apparel Inc
RZE.V	Razor Energy Corp
RZL.V	Rizal Resources Corp
RZZ.V	Abitibi Royalties Inc
SA.V	Southern Arc Minerals Inc
SAC.P.V	Savanna Capital Corp
SAE.V	Sable Resources Ltd
SAH.V	Sahara Energy Ltd
SAIS.V	Sarment Holding Limited
SAT.V	Asian Television Network Int Ltd
SAY.V	Sparta Capital Ltd
SB.V	Stratabound Minerals Corp
SBCC.P.V	Spirit Banner Capital Corp
SBEL.P.V	Sanibel Ventures Corp
SBG.H.V	Spirit Bear Capital Corp
SBM.V	Sirona Biochem Corp
SBO.H.V	Schwabo Capital Corp
SBS.H.V	Sebastiani Ventures Corp
SBW.V	Strongbow Exploration Inc
SC.H.V	Serrano Resources Ltd
SCA.V	Savary Gold Corp
SCR.V	Thescore Inc
SCZ.V	Santacruz Silver Mining Ltd
SDC.V	Solidusgold Inc
SDE.V	Standard Exploration Ltd
SDR.V	Stroud Resources Ltd
SDX.V	Sdx Energy Inc
SDZ.V	Security Devices International Inc
SEB.V	Smart Employee Benefits Inc
SEI.V	Sintana Energy Inc
SEK.V	Secova Metals Corp
SEW.V	Seaway Energy Services Inc.
SFI.V	Solution Financial Inc
SFR.V	Sandfire Resources America Inc.
SFT.V	Softrock Minerals Ltd
SFX.V	Sphinx Resources Ltd
SGA.V	Samco Gold Limited
SGC.V	Solstice Gold Corp
SGE.V	Strategem Capital Corp
SGI.V	Superior Gold Inc
SGM.V	Sutter Gold Mining Inc
SGMA.V	Sigma Lithium Resources Corp.
SGN.V	Scorpio Gold Corp
SGU.V	Signature Resources Ltd
SGW.V	Shoal Games Ltd
SGZ.V	Sego Resources Inc
SHJ.V	Shoshoni Gold Ltd
SHL.V	Spruce Ridge Resources Ltd
SHM.V	Synstream Energycorp
SIC.V	Sokoman Iron Corp
SIE.V	Sienna Resources Inc
SIL.V	Silvercrest Metals Inc
SIL.WT.V	Silvercrest Metals Inc Wts
SIM.V	Siyata Mobile Inc
SIQ.V	Siq Mountain Industries Inc.
SIR.V	Serengeti Resources Inc
SJL.V	Saint Jean Carbon Inc
SJR.A.V	Shaw Communications Inc
SKE.V	Skeena Resources Limited
SKP.V	Strikepoint Gold Inc
SLAU.V	Sandy Lake Gold Inc
SLK.V	Silk Road Energy Inc
SLL.V	Standard Lithium Ltd
SMB.V	Simba Essel Energy Inc
SMD.V	Strategic Metals Ltd
SME.V	Sama Resources Inc Ressources Sama Inc
SMM.V	Silver Mountain Mines Inc
SMN.V	San Marco Resources Inc
SMO.V	Sonoro Metals Corp
SMS.V	Sustainco Inc
SMY.V	Search Minerals Inc
SN.V	Sennen Potash Corp
SNF.V	Sunora Foods Inc
SNG.V	Silver Range Resources Ltd
SNM.V	Shamaran Petroleum Corp
SNR.V	Senator Minerals Inc
SNS.V	Select Sands Corp
SNV.V	Sonoro Energy Ltd
SNX.H.V	Sixonine Ventures Corp
SOC.V	Sonora Gold & Silver Corp
SOCK.V	Smooth Rock Ventures Corp.
SOG.V	Strategic Oil and Gas Ltd
SOI.V	Sirios Resources Inc
SOIL.V	Saturn Oil and Gas Inc
SOLR.V	Solar Alliance Energy Inc
SPA.V	Spanish Mountain Gold Ltd
SPD.V	Silver Predator Corp
SPI.V	Canadian Spirit Resources Inc
SPK.V	Sunset Pacific Petroleum Ltd
SPN.V	Snipp Interactive Inc
SPP.V	Spot Coffee Canada Ltd
SPS.A.V	Sportscene Group Inc
SPX.V	Stellar Africagold Inc
SQD.V	Sqi Diagnostics Inc
SQG.V	Spackman Equities Group Inc
SRA.V	Stria Lithium Inc
SRC.V	Stakeholder Gold Corp
SRCH.V	Searchlight Resources Inc.
SRE.V	Saville Resources Inc
SRG.V	Srg Graphite Inc
SRI.V	Sparton Resources Inc
SRJ.V	Spearmint Resources Inc
SRL.V	Salazar Resources Limited
SSA.V	Spectra Inc
SSC.V	Smartcool Systems Inc
SSE.V	Silver Spruce Resources Inc
SSG.V	Sigma Industries Inc
SSP.V	Sandspring Resources Ltd
SSS.V	Sunvest Minerals Corp
SSV.V	Southern Silver Exploration Corp
STA.V	Sanatana Resources Inc
STAR.V	Five Star Diamonds Limited
STC.V	Sangoma Technologies Corp
STE.V	Starr Peak Exploration Ltd
STH.V	Stelmine Canada Ltd
STI.V	Strategic Resources Inc
STMP.V	Stamper Oil & Gas Corp.
STS.V	South Star Mining Corp
STUS.A.V	Starlight US Multi Family No 5
STUS.U.V	Starlight US Multi Family No 5 USD
SUI.H.V	Superior Mining International Corp
SUNM.V	Sun Metals Corp.
SUP.V	Northern Superior Resources Inc
SUR.V	Surge Exploration Inc.
SURG.V	Surge Copper Corp.
SUVA.A.V	Starlight US Multi Family No 1
SUVA.U.V	Starlight US Multi Family No 1 USD
SVA.V	Sernova Corp
SVE.V	Silver One Resources Inc
SVG.V	Silver Grail Resources Ltd
SVI.V	Storagevault Canada Inc
SVS.V	Solarvest Bioenergy Inc
SWA.V	Sarama Resources Ltd
SXE.V	Strata X Energy Ltd
SXL.V	Slam Exploration Inc
SY.V	Symbility Solutions Inc
SYH.V	Skyharbour Resources Ltd
SYZ.V	Sylogist Ltd
SZM.V	Scozinc Mining Ltd
TAC.V	Tasca Resources Ltd
TAE.H.V	Transamerican Energy Inc
TAL.V	Petrotal Corp.
TAN.V	Tanager Energy Inc
TBP.V	Tetra Bio Pharma Inc
