,ticker,numOfFirmsHoldingInTop10,numOfHolders,priorQDate,recQDate,priorQShares,recQShares,fundNumPercentChange,fundsCreatingNewPos,fundsAddingPos,fundsClosingPos,fundsReducingPos
allFirms,EAD,2.0,64.0,2018-03-31,2018-06-30,17866000.0,19846000.0,11.08,16.0,7.0,17.0,
hedgeFunds,EAD,1.0,5.0,2018-03-31,2018-06-30,4967000.0,6502000.0,30.92,1.0,2.0,3.0,
allFirms,EDEN,,,,,,,,,,,
hedgeFunds,EDEN,,,,,,,,,,,
allFirms,EED,,,,,,,,,,,
hedgeFunds,EED,,,,,,,,,,,
allFirms,EEM,114.0,1041.0,2018-03-31,2018-06-30,566076000.0,464185000.0,-18.0,80.0,394.0,124.0,390.0
hedgeFunds,EEM,22.0,80.0,2018-03-31,2018-06-30,60749000.0,26568000.0,-56.27,15.0,22.0,21.0,32.0
allFirms,EEV,,,,,,,,,,,
hedgeFunds,EEV,,,,,,,,,,,
allFirms,EFA,211.0,1231.0,2018-03-31,2018-06-30,855948000.0,810674000.0,-5.29,66.0,513.0,69.0,478.0
hedgeFunds,EFA,11.0,77.0,2018-03-31,2018-06-30,19791000.0,15542000.0,-21.47,5.0,32.0,13.0,26.0
allFirms,EFAV,42.0,318.0,2018-03-31,2018-06-30,64346000.0,68135000.0,5.89,29.0,139.0,107.0,
hedgeFunds,EFAV,1.0,13.0,2018-03-31,2018-06-30,2185000.0,1973000.0,-9.69,4.0,4.0,4.0,
allFirms,EFV,24.0,301.0,2018-03-31,2018-06-30,89923000.0,72345000.0,-19.55,114.0,36.0,97.0,
hedgeFunds,EFV,1.0,10.0,2018-03-31,2018-06-30,5757000.0,6216000.0,7.99,6.0,1.0,1.0,
allFirms,EMAG,,,,,,,,,,,
hedgeFunds,EMAG,,,,,,,,,,,
allFirms,EMAN,0.0,27.0,2018-03-31,2018-06-30,10119000.0,9871000.0,-2.45,5.0,5.0,,
hedgeFunds,EMAN,0.0,2.0,2018-03-31,2018-06-30,6211000.0,6135000.0,-1.23,2.0,1.0,,
allFirms,EMLP,10.0,187.0,2018-03-31,2018-06-30,56051000.0,56919000.0,1.55,21.0,72.0,18.0,75.0
hedgeFunds,EMLP,0.0,7.0,2018-03-31,2018-06-30,1054000.0,1260000.0,19.56,1.0,3.0,2.0,2.0
allFirms,EMMF,,,,,,,,,,,
hedgeFunds,EMMF,,,,,,,,,,,
allFirms,EMX,,,,,,,,,,,
hedgeFunds,EMX,,,,,,,,,,,
allFirms,ENSV,0.0,26.0,2018-03-31,2018-06-30,9666000.0,10446000.0,8.07,9.0,6.0,,
