,ticker,numOfFirmsHoldingInTop10,numOfHolders,priorQDate,recQDate, priorQShares , recQShares ,fundNumPercentChange,fundsCreatingNewPos,fundsAddingPos,fundsClosingPos,fundsReducingPos
hedgeFunds,IDEV,,,,,,,,,,,
allFirms,IDIV,,,,,,,,,,,
hedgeFunds,IDIV,,,,,,,,,,,
allFirms,IECS,,,,,,,,,,,
hedgeFunds,IECS,,,,,,,,,,,
allFirms,IEFA,154,703,3/31/2018,6/30/2018,694105000,714334000,2.91,77,391,39,151
hedgeFunds,IEFA,9,41,3/31/2018,6/30/2018," 11,034,000.00 "," 11,359,000.00 ",2.95,4,26,2,5
allFirms,IEMG,131,771,3/31/2018,6/30/2018,676031000,707574000,4.67,70,404,64,222
hedgeFunds,IEMG,5,49,3/31/2018,6/30/2018," 20,172,000.00 "," 21,928,000.00 ",8.71,7,26,5,12
allFirms,IETC,,,,,,,,,,,
hedgeFunds,IETC,,,,,,,,,,,
allFirms,IEV,6,180,3/31/2018,6/30/2018,14951000,12986000,-13.14,52,55,,
hedgeFunds,IEV,1,13,3/31/2018,6/30/2018," 1,215,000.00 "," 1,229,000.00 ",1.12,3,6,,
allFirms,IJH,221,1076,3/31/2018,6/30/2018,161528000,169982000,5.23,65,476,44,346
hedgeFunds,IJH,9,54,3/31/2018,6/30/2018," 5,899,000.00 "," 2,166,000.00 ",-63.27,7,21,3,15
allFirms,IJR,217,1130,3/31/2018,6/30/2018,278166000,310976000,11.8,86,543,33,327
hedgeFunds,IJR,8,58,3/31/2018,6/30/2018," 2,496,000.00 "," 4,174,000.00 ",67.18,10,29,2,14
allFirms,ILF,0,129,3/31/2018,6/30/2018,12992000,13169000,1.36,21,25,40,54
hedgeFunds,ILF,0,15,3/31/2018,6/30/2018," 1,611,000.00 "," 1,007,000.00 ",-37.49,7,2,2,4
allFirms,ILTB,,,,,,,,,,,
hedgeFunds,ILTB,,,,,,,,,,,
allFirms,IMH,,,,,,,,,,,
hedgeFunds,IMH,,,,,,,,,,,
allFirms,IMO,2,197,3/31/2018,6/30/2018,161283000,147436000,-8.59,26,56,14,70
hedgeFunds,IMO,0,29,3/31/2018,6/30/2018," 2,540,000.00 "," 3,764,000.00 ",48.2,13,5,3,9
allFirms,IMOM,2,5,3/31/2018,6/30/2018,2441000,2579000,5.63,2,,,
hedgeFunds,IMOM,1,1,3/31/2018,6/30/2018," 1,493,000.00 "," 1,519,000.00 ",1.78,1,,,
allFirms,IMUC,0,17,3/31/2018,6/30/2018,2399000,1797000,-25.11,2,5,4,
hedgeFunds,IMUC,0,2,3/31/2018,6/30/2018," 1,794,000.00 "," 1,214,000.00 ",-32.29,1,1,1,
allFirms,INDA,10,287,3/31/2018,6/30/2018,115773000,116038000,0.23,26,98,29,95
hedgeFunds,INDA,2,29,3/31/2018,6/30/2018," 11,330,000.00 "," 9,394,000.00 ",-17.08,5,11,8,12
allFirms,INDS,,,,,,,,,,,
hedgeFunds,INDS,,,,,,,,,,,
