,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
ENGH.TO,0.52806604,0.15864205,,,2.0,-0.171511,,9.0,12.436,,9.0,80.38,2.084,1536019200,0.587,0.415,0.436,82279000,0.24111,24.775,5.974,2038470528,CAD,,21808112,2.4,33.491665,83616872,1504.0,,,0.69567,225021000,,,Software - Application,,,1509408000,1095206400,2/1,,1,86400,,,1532995200,57093000,1572480000,5,103319000,0.20096001,9.0,5.71,2,6.463493,,0.1673,0.1673,2.006,buy,2.4,0.09194,0.18357,0.048,12.578,,Technology,7.0,27191700,0.0039,106893,1533081600,128805,,3.54,95.0,80.0,86.8,89.0,,,178439008,6.555,1987000,341252000,2.101,,
ENT.TO,-0.16279066,0.15864205,,,,0.041697,,,0.33,,,0.17,2.17,1536019200,431.458,,,11209000,0.070300005,15.721,1.105,176221120,CAD,,55066557,-0.04,-4.25,-3567375,550.0,,,0.15887,24923000,,,Trucking,,,1514678400,,,,1,86400,,,1530316800,-16211000,1577750400,2,-4965000,-0.05875,,,2,0.5151515,,-0.10167,-0.10167,1.896,buy,2.0,-0.02568,-0.36875,0.223,1.455,,Industrials,,109784000,0.0,500,1533081600,293,,0.05,0.27,0.15,0.21,0.21,,,17000,0.0,156476992,159451008,-0.15,,
EQB.TO,0.30343926,0.15864205,,,2.0,0.948429,,1.0,69.029,,1.0,69.53,,1536019200,,-0.039,-0.035,,0.0,,23.751,8298710016,CAD,,10966386,10.69,6.5042095,,609.0,,,0.0,347845000,,,Specialty Finance,,,1514678400,,,,1,86400,,,1530316800,151256000,1577750400,8,-2263484928,0.60777,1.0,0.29,2,1.0072578,,0.44652998,0.44652998,,buy,2.4,0.00748,0.13723,0.02,21.179,,Financial Services,2.0,16520600,0.0378,624337,1533081600,691217,,24.07,86.0,70.0,75.38,74.0,,,958099968,57.994,8052920832,349406016,9.1,,
ER.TO,-0.45454544,0.15864205,,,,2.143226,,,0.357,,,0.18,5.414,1536019200,,,,-3170347,0.0,-10.38,,32906718,CAD,,216022570,-0.03,-6.0000005,-12062137,40.0,,,0.0,,,,Industrial Metals & Minerals,,,1509408000,,,,1,86400,,,1532995200,-2354039,1572480000,6,-2287537,0.0,,,2,0.5042017,,0.0,0.0,5.293,buy,2.0,-0.024519999,-0.03066,,,,Basic Materials,,221546000,0.0054,1227371,1533081600,1162500,,9.08,1.0,0.48,0.77,0.8,,,6971508,0.031,0,,-0.013,,
ERF.TO,0.34608686,0.15864205,,,2.0,3.423665,,2.0,6.976,,2.0,15.57,1.257,1536019200,39.335,-0.904,-0.904,403087008,0.40689,10.054,4.091,4052504832,CAD,,244881213,1.89,8.238095,-38492124,404.0,,,0.67186,572319000,,,Oil & Gas E&P,,,1514678400,,,,1,86400,,,1530316800,73444000,1577750400,17,550974976,0.14179,3.0,0.43,2,2.2319381,,0.07414,0.07414,1.14,buy,1.8,0.03156,0.04417,0.438,4.072,,Energy,7.0,245294000,0.0239,5869263,1533081600,5881525,,6.43,26.0,18.0,21.71,21.0,,,360422016,1.469,672204032,990651008,0.302,,
ERO.TO,Infinity,0.15864205,,,,,,,1.074,,,11.06,0.891,,155.347,,,39644000,0.27111,24.425,6.622,968290624,USD,,51254195,0.79,14.0,,1661.0,,,0.18763,12945000,,,Copper,,,1514678400,,,,1,86400,,,1530316800,10788000,1577750400,7,41716000,0.00884,,63.51,2,10.297952,,0.11576,0.11576,0.407,buy,1.7,,,0.453,1.987,,Basic Materials,,84488600,,,,,,,10.08,8.46,8.94,8.85,,,17092000,0.202,141192000,146228000,0.204,,
ESI.TO,-0.07647902,0.15864205,,,2.0,2.662399,,8.0,10.289,,3.0,6.37,0.452,1536019200,48.446,,,209004992,0.20122999,8.332,1.677,1741498112,CAD,,112899183,-0.57,-11.175439,108756376,3910.0,,,0.24369,,,,Oil & Gas Drilling,,,1514678400,1148860800,2/1,,1,86400,,,1530316800,-53417000,1577750400,9,110219000,-0.15499,7.0,-4.59,2,0.6191078,,-0.05143,-0.05143,0.323,hold,2.7,-0.03391,-0.03199,0.133,6.594,,Energy,7.0,157075008,0.010299999,1610201,1533081600,2469719,,11.81,9.5,5.75,7.53,7.0,,,33234000,0.212,781843008,1038654976,-0.339,,
ESN.TO,-0.25396824,0.15864205,,,,1.913835,,,1.153,,,0.47,3.281,1536019200,11.671,,,18194000,0.09571999,4.895,0.469,89055120,CAD,,139361552,0.06,7.8333335,-10101250,470.0,,,0.17547001,31924000,,,Oil & Gas Equipment & Services,,,1514678400,,,,1,86400,,,1530316800,1149000,1577750400,6,6835000,0.016649999,,-19.8,2,0.40763226,,0.00604,0.00604,1.493,buy,2.2,0.009190001,0.0070599997,0.372,1.34,,Energy,,141856992,0.0005,65400,1533081600,67500,,1.04,1.2,0.65,0.89,0.85,,,251000,0.002,19087000,190084992,0.008,,
ESP.TO,-0.27956986,0.15864205,,,,-0.024401,,,1.172,,,1.33,6.514,1536019200,,,,-4408693,-0.14735,-4.446,0.655,19600874,CAD,,27680401,0.02,66.5,-5350447,174.0,,,0.74074,24759139,,,Software - Application,,,1514678400,,,,1,86400,,,1530316800,-7137300,1577750400,7,-7293794,-0.18879,,,2,1.1348122,,-0.23854999,-0.23854999,6.349,buy,1.9,-0.06731,-0.15717,-0.1,0.832,,Technology,,35425300,0.0015,59638,1533081600,65294,,2.52,2.9,1.55,2.5,2.6,,,31312322,0.879,0,29919140,-0.199,,
ETX.TO,0.038461566,0.15864205,,,,-0.089301,,,0.017,,,0.27,1.522,1536019200,3403.801,,,6436000,0.34098,46.554,15.874,299622464,USD,,198492120,-0.02,-13.500001,-68961248,,,,0.29552,3422000,,,Utilities - Independent Power Producers,,,1514678400,,,,1,86400,,,1530316800,27223000,1577750400,1,2978000,-0.08906,,-0.92,2,15.882353,,1.4422799,1.4422799,0.631,hold,3.0,-0.00373,,-0.097,0.056,,Utilities,,334094016,0.0,500,1527811200,1000,,0.0,0.27,0.27,0.27,0.27,,,16352000,0.049,224752992,18875000,0.081,,
