,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
AAV.TO,-0.53756475,0.15217936,,,2.0,1.255182,,6.0,7.031,,8.0,3.6,1.552,1537142400,19.111,,,163552000,0.83239996,5.434,4.523,888732992,CAD,,183561546,0.17,21.17647,-134490880,29.0,,,0.63463,,,,Oil & Gas E&P,,,1514678400,,,,1,86400,,,1530316800,29260000,1577750400,15,171095008,0.25577,6.0,-27.34,2,0.5120182,,0.14892,0.14892,0.762,buy,2.2,0.019340001,0.022669999,-0.316,1.056,,Energy,3.0,185942000,0.080699995,15023574,1534377600,14895363,,18.41,6.5,3.25,5.43,5.75,,,3846000,0.021,250188992,196482000,0.153,,
ABT.TO,-0.054088056,0.15217936,,,2.0,1.442919,,3.0,-1.406,,6.0,7.49,0.607,1537142400,,,,5996211,0.064050004,43.556,2.79,261172528,USD,,24605051,0.16,46.8125,19870880,495.0,,,0.84432,79046749,,,Software - Application,,,1530316800,1199232000,2/1,,1,86400,,,1530316800,3110853,1593475200,7,12549655,0.030739998,4.0,,2,,,0.03323,0.03323,0.58,hold,2.7,0.01842,,0.038,2.339,,Technology,6.0,40269800,0.0577,2319818,1534377600,2301761,,77.57,8.07,5.76,6.58,6.15,,,34329304,0.854,0,93621832,0.078,,
ABX.TO,-0.2796232,0.15217936,,,2.0,0.618074,,6.0,8.016,,1.0,14.29,2.118,1537142400,57.554,,,3531000064,0.45721,6.512,2.977,22992474112,USD,,1163960747,0.62,23.048388,1308999936,18421.0,,,0.35529998,3095000000,,,Gold,,,1514678400,,,,1,86400,,,1530316800,-261000000,1577750400,17,1770000000,0.30273,2.0,-5.67,2,1.7826847,,-0.033800002,-0.033800002,1.055,hold,2.9,0.05738,-0.03458,-0.207,6.621,,Basic Materials,3.0,1167160064,0.0057,6655931,1534377600,5634601,,2.34,18.0,11.0,14.11,14.0,,,2084999936,1.786,6392000000,7722999808,-0.23,,
AC.TO,0.043593645,0.15217936,,,2.0,0.758162,,2.0,14.341,,3.0,27.6,1.111,1537142400,179.37,,,2268000000,0.13260001,4.333,0.575,9827460096,CAD,,271328787,3.56,7.752809,-594625024,29400.0,,,0.26508,4451000000,,,Airlines,,,1514678400,,,,1,86400,,,1530316800,1492999936,1577750400,14,2846000128,0.07343,1.0,0.59,2,1.9245521,,0.087290004,0.087290004,0.954,buy,1.7,0.04267,0.58502996,0.108,62.537,,Industrials,1.0,272443008,0.0101,2745039,1534377600,2543970,,2.51,42.0,22.5,33.68,33.5,,,4670000128,17.141,7008000000,17104000000,5.425,,
ACB.TO,3.0982456,0.15217936,,,2.0,-0.934978,,10.0,2.743,,9.0,12.41,2.923,1537142400,13.0,,,-67848000,-1.2292199,-181.743,223.402,12330877952,CAD,,920515185,0.12,103.416664,-286644384,,,,0.78844,43519000,,,Drug Manufacturers - Specialty & Generic,,,1530316800,,,,1,86400,,,1530316800,71936000,1593475200,5,-81667000,-1.4513401,10.0,,2,4.5242434,,1.30328,1.30328,2.175,buy,1.8,-0.04484,0.07769,2.226,0.12,,Healthcare,9.0,960961984,0.0186,17547407,1534377600,23960625,,0.65,15.0,6.5,10.9,11.0,,,148380992,0.154,203211008,55196000,0.15,,
ACQ.TO,-0.43917787,0.15217936,,,2.0,1.919012,,9.0,17.339,,8.0,13.63,1.102,1537142400,243.483,,,88831000,0.02895,17.127,0.496,1521416576,CAD,,23955355,1.45,9.4,-164770368,4000.0,,,0.16558,518629000,,,Auto & Truck Dealerships,,,1514678400,,,,1,86400,,,1530316800,-7328000,1577750400,9,40943000,0.02237,9.0,0.38,2,0.7860891,,-0.00239,-0.00239,0.222,hold,2.9,0.024249999,-0.0066500003,-0.016,112.039,,Consumer Cyclical,6.0,27392300,0.0556,1526195,1534377600,1643068,,2.28,18.0,9.0,13.97,15.0,,,43483000,1.587,1206363008,3068704000,-0.268,,
AD.TO,-0.006310761,0.15217936,,,2.0,0.728701,,8.0,16.838,,9.0,20.29,1.746,1537142400,13.359,0.921,0.904,83193000,0.62896997,9.731,6.121,809582336,CAD,,34906835,1.73,11.728324,105678328,14.0,,,1.0,,,,Credit Services,,,1514678400,,,,1,86400,,,1530316800,9641000,1577750400,8,81316000,0.62698,8.0,1.49,2,1.2050126,,0.07289,0.07289,0.771,buy,2.4,0.06731,0.015310001,0.321,3.628,,Financial Services,6.0,36496200,0.0304,1110596,1534377600,1163472,,9.85,23.0,17.5,20.67,20.75,,,27621000,0.757,82096000,132268000,0.26,,
ADN.TO,-0.028841078,0.15217936,,,2.0,0.224471,,7.0,16.505,,5.0,18.22,2.896,1537142400,33.48,-0.529,-0.529,23092000,0.27317,16.65,4.548,384471488,CAD,,16680855,0.86,21.186045,13893000,92.0,,,0.35741,28091000,,,Lumber & Wood Production,,,1514678400,,,,1,86400,,,1530316800,25924000,1577750400,5,19410000,0.2694,6.0,2.91,2,1.103908,,0.30667,0.30667,2.818,hold,2.8,0.031040002,0.09563,0.124,5.052,,Basic Materials,3.0,16731200,0.0034999999,59300,1534377600,60400,,12.62,22.0,19.5,20.3,20.0,,,22866000,1.367,92456000,84533000,1.549,,
AEM.TO,-0.21595329,0.15217936,,,2.0,0.800187,,5.0,21.144,,5.0,44.12,4.018,1537142400,34.933,-0.913,-0.909,866889984,0.38022,13.328,5.067,11553597440,USD,,232654939,0.8,55.149998,-477038624,5514.0,,,0.49719003,1187262000,,,Gold,,,1514678400,,,,1,86400,,,1530316800,162963008,1577750400,16,688788992,0.15187,4.0,10.88,2,2.086644,,0.07147,0.07147,2.268,buy,2.1,0.0271,0.03332,0.012,9.821,,Basic Materials,1.0,233260992,0.0056,1298202,1534377600,1109740,,1.88,60.0,45.0,51.76,50.35,,,794427008,3.406,1722967040,2279979008,0.69,,
AEZS.TO,-0.12643677,0.15217936,,,,3.457892,,,0.578,,,2.25,4.044,1537142400,,,,7779000,0.30813998,2.149,0.662,16716895,USD,,16436321,-0.37,-6.081081,4614000,,,,0.9922,923000,,,Biotechnology,,,1514678400,1447977600,1/100,,1,86400,,,1530316800,1707000,1577750400,1,1879000,0.3039,,,2,3.8927336,,0.06762,0.06762,3.637,buy,2.0,0.17082001,0.24384001,-0.309,1.55,,Healthcare,,16440800,0.0001,1000,1534377600,300,0.0001,0.23,4.0,4.0,4.0,4.0,,,19946000,1.213,0,25245000,0.092,,
