Year,payoutRatio,debtEquityRatio,netMargin,roic,issuanceOfStock,dividendsPaid,Underlying
2017,0.430672658,7.765281034,0.234639376,0.582098091,,-1.12621E+12,CIB
2016,0.293244613,8.171312368,0.265716589,0.526233385,,-8.40242E+11,CIB
2015,0.311777013,8.950719909,0.280850813,0.443374485,,-7.85332E+11,CIB
2014,0.298974985,7.839268021,0.292610712,0.66386403,2.62559E+12,-7.13679E+11,CIB
2017,0.539117682,1.94816978,0.046102077,0.340306397,1215223000,-539632000,CIG
2016,2.017730772,2.250645752,0.017809627,0.293838247,1215223000,-674596000,CIG
2015,0.322618189,2.146492702,0.112882652,0.284085257,1215223000,-796383000,CIG
2014,0.354957647,2.102228357,0.160527469,0.56235251,1215223000,-1113374000,CIG
2017,1.268258438,10.22763314,0.102871881,0.01529382,92625,-4697056,CIZN
2016,0.695645791,11.05289442,0.193426159,0.015291567,92625,-4686325,CIZN
2015,0.598340656,10.26411058,0.212819256,0.021340386,27000,-4540748,CIZN
2014,0.582713615,10.2519618,0.212985424,0.019257336,27000,-4341076,CIZN
2017,0.69416996,-207.2166667,0.130969328,65.18333333,507000000,-1405000000,CL
2016,0.565342073,-49.81893004,0.160644949,64.09677419,446000000,-1380000000,CL
2015,0.979046243,-40.06354515,0.086316577,38.66666667,347000000,-1355000000,CL
2014,0.596330275,10.54497817,0.126179314,7.339823009,371000000,-1300000000,CL
2017,-0.157987581,0.199939894,-0.339010621,-0.217901519,130000,-2239000,CLRO
2016,0.743453355,0.137832638,0.05024981,0.159840879,773000,-1817000,CLRO
2015,0.209120425,0.132737468,0.117239947,0.408040963,463000,-1417000,CLRO
2014,0.163330951,0.168964429,0.096634375,0.363549472,1337000,-914000,CLRO
2017,0.303256012,18.2648266,0.304122711,0.062193265,194000000,-1425000000,CM
2016,0.41005848,21.25685297,0.305706522,0.066580428,101000000,-1753000000,CM
2015,0.490212528,21.69724951,0.273290027,0.055356792,29000000,-1753000000,CM
2014,0.513983841,22.52217421,0.258973121,0.066728041,82000000,-1654000000,CM
2017,0.126926125,1.69289858,0.26872205,2.528097983,,-2883000000,CMCSA
2016,0.299137435,2.277960069,0.108142731,2.410599801,23000000,-2601000000,CMCSA
2015,0.298542203,2.13080411,0.109555764,4.930046225,36000000,-2437000000,CMCSA
2014,0.268973747,1.992980592,0.121846601,4.051645705,35000000,-2254000000,CMCSA
2017,,2.381754254,1.11487914,,,,CME
2016,1.164982726,2.410374274,0.426707833,1.700832506,51800000,-1787200000,CME
2015,1.077305533,2.2775426,0.374834676,6.970741902,64000000,-1343400000,CME
2014,1.328009937,2.452648935,0.362120482,3.520426288,53300000,-1496800000,CME
2017,0.222397038,8.034502518,0.293468592,0.202890527,417000,-9612000,CNOB
2016,0.29242005,7.33536962,0.30663444,0.131953919,39206000,-9089000,CNOB
2015,0.220473966,7.5919557,0.363983189,0.153485015,1424000,-9108000,CNOB
2014,0.381362779,6.902452818,0.225813122,0.094991579,878000,-7080000,CNOB
2017,-1.526315789,1.39056425,-0.028616373,0.200061557,,-1305000000,COP
2016,-0.346611342,1.559615715,-0.152242577,-0.239882984,,-1253000000,COP
2015,-0.827461608,1.443639656,-0.146530329,,,-3664000000,COP
2014,0.513175135,1.238003506,0.124770676,,35000000,-3525000000,COP
2017,0.288609086,1.01418,0.146395569,0.570721383,587000,-106792000,CPA
2016,0.257413076,1.087702081,0.150569885,0.582837247,56000,-86116000,CPA
2015,-0.656040254,1.340572324,-0.099823846,0.643597703,56000,-147592000,CPA
2014,0.472163774,0.965975747,0.133700521,1.211036018,56000,-170767000,CPA
2017,1.727332892,11.72039012,0.019392182,0.080587887,2112000000,-2610000000,CRESY
2016,0.049760566,11.8915892,0.140307315,0.02268678,6000000,-239000000,CRESY
2015,0.025796662,2.041963861,0.233191791,-0.063170682,1000000,-34000000,CRESY
2014,-0.228464419,5.832350217,-0.231972198,-0.091545284,1000000,-244000000,CRESY
2017,54.25454545,1.517915008,0.00222988,0.330069749,623000000,-5968000000,CSCO
2016,0.57352482,0.962864962,0.200166649,0.212513989,708000000,-5511000000,CSCO
2015,0.442313065,0.913204164,0.218064045,0.216559653,1127000000,-4750000000,CSCO
2014,0.454960472,0.898958089,0.182685462,0.20677091,2016000000,-4086000000,CSCO
2017,0.208392971,1.306697837,0.130096322,,41848000,-175589000,CTAS
2016,0.296298377,1.972067832,0.090301258,19.82647202,31870000,-142433000,CTAS
2015,0.166214385,1.224402345,0.144610711,8.807525342,28226000,-115273000,CTAS
2014,0.234420066,1.169499419,0.098546872,2.80210925,40230000,-100945500,CTAS
2017,0.446293671,6.793930269,0.292623743,0.122382752,1513000,-22981000,CTBI
2016,0.468677396,6.854676748,0.276930636,0.115629904,2985000,-22190000,CTBI
2015,0.459381461,7.208733281,0.276667501,0.116669039,2082000,-21330000,CTBI
2014,0.47559594,7.314258156,0.258157899,0.10509722,1992000,-20570000,CTBI
2017,0.290380129,0.561436592,0.019297152,0.391108146,,-4232000,CTRN
2016,0.263521116,0.487152882,0.019176466,0.297479797,,-3513000,CTRN
2015,0.115733883,0.481892628,0.022707231,0.381004075,70000,-1797000,CTRN
2014,0.200423823,0.511584735,0.013365333,0.336997676,28000,-1797000,CTRN
2017,0.176196809,0.426656669,0.101553005,0.758467023,189000000,-265000000,CTSH
2016,0.170637476,0.329418345,0.11514792,0.715983735,176000000,-265000000,CTSH
2015,0.16317734,0.407738737,0.130798969,,131000000,-265000000,CTSH
2014,0.184155664,0.483036614,0.140212414,,101000000,-265000000,CTSH
2017,0.203238013,0.33424738,0.064489922,0.800092097,111000,-4243000,CULP
2016,0.164771201,0.38352957,0.072151294,0.888212443,37000,-3680000,CULP
2015,0.185414821,0.359671459,0.054129643,,200000,-3140000,CULP
2014,0.177758609,0.434349017,0.04859011,,94000,-2679000,CULP
2017,0.546369635,6.734825572,0.321834014,0.062954472,2683000,-57047000,CVBF
2016,0.508976723,7.148164931,0.342438791,0.050824004,5151000,-51625000,CVBF
2015,0.492833728,7.307568018,0.339508604,0.050641766,5144000,-48862000,CVBF
2014,0.406629431,7.40205487,0.359901877,0.051633553,5522000,-42298000,CVBF
2017,0.884393692,0.705402231,0.072126132,0.107641666,1117000000,-8132000000,CVX
2016,-16.16096579,0.778779301,-0.004810764,-0.199253213,650000000,-8032000000,CVX
2015,1.742315239,0.724573719,0.037424734,-0.114770241,211000000,-7992000000,CVX
2014,0.412036796,0.708484919,0.10005304,0.733962402,211000000,-7928000000,CVX
2017,0.728496067,0.063953538,0.098610028,,17777,-4475925,CWCO
2016,1.122426178,0.06524871,0.068431147,,568849,-4445370,CWCO
2015,0.589119716,0.092264576,0.131638672,0.831359002,456763,-4429415,CWCO
2014,0.705271271,0.116045545,0.095568123,0.632903346,52551,-4418777,CWCO
2017,,0.947522097,-0.040231621,,,,CY
2016,-0.206061631,1.046141087,-0.356844753,,43850000,-141410000,CY
2015,-0.337836233,0.474696124,-0.235635347,,52857000,-127995000,CY
2014,3.860838537,2.606006055,0.024722363,0.433270752,31755000,-69248000,CY
2017,0.829611434,5.77636739,0.233403409,0.057099749,127000,-11145000,CZNC
2016,0.704986677,5.678701991,0.282205074,0.053514349,263000,-11112000,CZNC
2015,0.682715075,5.52534309,0.286896239,0.058322459,381000,-11245000,CZNC
2014,0.666744703,5.593490194,0.300096601,0.044649013,123000,-11392000,CZNC
2017,2.233728875,0.815642458,0.009110117,0.314543206,519000,-12424000,DAKT
2016,1.149640398,0.792526956,0.017632246,0.436303595,343000,-11889581,DAKT
2015,8.518195051,0.740454674,0.003614724,0.092114007,610000,-17556000,DAKT
2014,0.832152093,0.789666052,0.033902543,1.116284878,2513000,-17377000,DAKT
2017,-0.96804261,20.73181624,-0.02896706,0.014860653,15725000000,-727000000,DB
2016,-0.237517832,23.653582,-0.048829758,0.025396418,5185000000,-333000000,DB
2015,-0.191786871,23.18356742,-0.210028441,0.031037006,8758000000,-1303000000,DB
2014,0.460012026,22.41304646,0.053967224,0.02931806,22390000000,-765000000,DB
2017,-0.131274131,9.045319149,-0.05057167,0.835955056,300000,-30600000,DBD
2016,-1.957575758,7.104159621,-0.009950849,1.564137931,300000,-64600000,DBD
2015,1.02578019,4.3814258,0.030463357,,3500000,-75600000,DBD
2014,0.65472028,3.362746943,0.041831213,,14600000,-74900000,DBD
2017,0.525235718,1.304266729,0.065942506,,19200000,-94700000,DCI
2016,0.396907216,1.323608987,0.098149163,,22700000,-92400000,DCI
2015,0.477987421,1.323429763,0.085934333,,13200000,-91200000,DCI
2014,0.438250841,1.330407847,0.087761471,6.478165939,13100000,-91200000,DCI
2017,0.353851142,5.881556507,0.074270657,15.50662427,528700000,-764000000,DE
2016,0.499573463,7.87940184,0.057399525,9.239403454,36000000,-761300000,DE
2015,0.420773196,7.591126138,0.067406048,7.664419695,172100000,-816300000,DE
2014,0.248600436,5.767759804,0.087703433,5.084122507,149500000,-786000000,DE
2017,2.082889785,2.873266923,0.009629018,0.013627907,15511457,-14822052,DGICA
2016,0.457318637,2.7005799,0.044741585,0.045462888,13822228,-14085934,DGICA
2015,0.688668141,2.765615728,0.032983113,0.038280258,15516870,-14455167,DGICA
2014,0.933761001,2.505246844,0.024787442,0.021369819,10700637,-13575968,DGICA
2017,0.282747446,0.182386081,0.186602481,0.465180984,69998000,-57059000,DLB
2016,0.260394921,0.168186774,0.181196368,0.452013741,71111000,-48397000,DLB
2015,0.22613154,0.175580554,0.186877085,0.464319571,28627000,-41018000,DLB
2014,0.199016996,0.147579819,0.214651272,0.534593389,33373000,-41018000,DLB
2017,0.252429884,1.176156364,0.117094094,,9033000,-58098000,DLX
2016,0.255992188,1.479469221,0.124053169,,9114000,-58720000,DLX
2015,0.273316898,1.472459598,0.123322937,16.24936205,5895000,-59755000,DLX
2014,0.288311961,1.607565749,0.119345408,12.4254445,9148000,-57603000,DLX
2017,,0.073186143,-1.02213144,,30958000,,DMRC
2016,,0.073713225,-0.994447758,-0.448371789,40621000,,DMRC
2015,,0.095432617,-0.808238316,-0.499000722,14410000,,DMRC
2014,-0.104551201,0.100567877,-0.616571829,-0.462003035,17476000,-1654000,DMRC
2017,-0.322243549,3.339761391,-0.144230572,-0.777332254,,-13599000,DS
2016,0.487694443,6.09577337,0.2578928,-1.216385435,,-37591000,DS
2015,1.715430036,8.453587462,0.073843356,-0.467771576,,-37477000,DS
2014,4.538260242,7.643666533,0.114036983,-0.141326383,198702000,-150879000,DS
2017,0.948279448,0.487457845,0.024038911,1.389836344,1299000,-63823000,DSW
2016,0.522527803,0.523727237,0.045929401,0.937585819,6279000,-65073000,DSW
2015,0.512518929,0.512954679,0.05191646,0.672100587,7504000,-69720000,DSW
2014,0.436480342,0.422425627,0.061415605,0.598244749,5120000,-66912000,DSW
2017,2.324657534,0.899401973,0.023365982,0.82836495,519000000,-3394000000,DWDP
2016,0.570171376,2.01185208,0.089663192,,398000000,-2462000000,DWDP
2015,0.29316851,1.953541686,0.157550535,,508000000,-2253000000,DWDP
2014,0.53552492,2.449709602,0.064847766,,948000000,-2020000000,DWDP
2017,0.099371788,1.489137688,0.071306402,,138000000,-174000000,DXC
2016,-0.634146341,3.441207627,-0.016169318,,54000000,-78000000,DXC
2015,0.414342629,2.816790123,0.035322263,,82000000,-104000000,DXC
2014,64,2.470548178,0.000246396,,196000000,-128000000,DXC
2017,1.630144605,8.79272248,0.344895937,0.014471057,59103000,-17586000,EARN
2016,1.30278851,9.087268929,0.770016815,0.008028381,59103000,-15511000,EARN
2015,640.2333333,9.746498222,0.001437746,0.011901752,59103000,-19207000,EARN
2014,1.215734785,8.310892786,-12.12903226,-0.005034499,59103000,-19656000,EARN
2017,0.178274537,7.198426978,0.263887182,0.601777784,501000,-7656000,EBSB
2016,0.17981866,6.304501751,0.263882993,0.32563598,205000,-6148000,EBSB
2015,0.059413988,4.992778758,0.225206838,0.153243337,232000,-1462000,EBSB
2014,0.065481256,4.675037649,0.221258758,0.11819576,302350000,-1462000,EBSB
2017,0.131734466,1.49955386,0.128293058,1.884332197,,-9.45661E+11,EC
2016,0.281948755,1.794054554,0.050486804,1.153433297,,-6.90177E+11,EC
2015,-0.763623529,1.952345768,-0.137425674,1.561419933,3000000,-5.4934E+12,EC
2014,2.480238549,1.326791031,0.076494961,2.949878371,41000000,-1.25166E+13,EC
2017,0.068923821,1.269173603,0.20878566,,,-57000000,ECA
2016,-0.054025424,1.39193601,-0.295646727,-12.18918919,1129000000,-51000000,ECA
2015,-0.029428848,1.531863143,-1.348563969,1.318435754,1088000000,-152000000,ECA
2014,0.059551887,1.532885906,0.443572643,12.2642487,1088000000,-202000000,ECA
2017,0.212678979,8.641788787,0.239537924,0.132171023,,-10249000,EFSC
2016,0.168130721,9.543397279,0.305404949,0.145777985,,-8211000,EFSC
2015,0.136775033,9.285589276,0.273418334,0.127328341,,-5259000,EFSC
2014,0.153718765,9.362359719,0.213116554,0.10843857,2000,-4177000,EFSC
2017,,3.052020682,0.126610784,0.056316988,,,EIG
2016,0.107778819,3.488936474,0.136829956,0.05637653,9000000,-11500000,EIG
2015,0.081567797,3.936645636,0.125515224,,4800000,-7700000,EIG
2014,0.075471698,4.488788585,0.13018746,,1600000,-7600000,EIG
2017,0.492779783,1.675981229,0.080976394,1.639796659,182000000,-546000000,EL
2016,0.389111289,1.634580292,0.105632612,1.169834457,141000000,-486000000,EL
2015,0.379372197,1.577827548,0.099005505,1.110336081,85000000,-423000000,EL
2014,0.321395776,1.255105402,0.101020408,1.738095238,101000000,-350000000,EL
2017,0.458688007,1.785379054,0.059524297,0.026014007,7527000,-17998000,EMCI
2016,0.350540008,1.871303823,0.071746908,0.042089527,11070000,-16196000,EMCI
2015,0.282564491,1.925974115,0.080646173,0.049047672,9078000,-14174000,EMCI
2014,0.419711923,1.978448396,0.050639323,0.028210493,7392000,-12588000,EMCI
2017,,,0.06853982,1.293093026,,,ENIA
2016,1.125979484,1.447139138,0.076031018,1.803581287,,-637864000,ENIA
2015,0.925117892,1.204640919,0.126564475,2.328185672,,-6.12046E+11,ENIA
2014,1.106552928,1.232204625,0.113651453,2.198706211,8783766000,-6.32808E+11,ENIA
2017,5.109403255,1.650439147,0.019255545,,108200000,-565100000,ENLK
2016,-0.860426658,1.411687336,-0.141831828,0.80954142,169000000,-520300000,ENLK
2015,-0.30373311,0.868282127,-0.323181849,,52200000,-436100000,ENLK
2014,1.416957027,0.458762622,0.049401842,,518100000,-244000000,ENLK
2017,,7.474034062,0.209647288,0.055071022,1336000,,EQBK
2016,0.004480478,7.498053992,0.153707408,0.036680031,23755000,-42000,EQBK
2015,0.01592233,9.402655425,0.196850394,0.038023799,39918000,-164000,EQBK
2014,0.089462557,10.42503699,0.183817062,0.044101185,39918000,-804000,EQBK
2017,0.818838671,-1.382173816,0.314104132,1.243564685,3052000,-214530000,EQGP
2016,0.648990729,-1.006152632,0.318344947,2.778841972,26118000,-151980000,EQGP
2015,0.688607583,-1.066990755,0.327999987,,1748000,-142957000,EQGP
2014,1.970593303,-1.437663637,0.249126156,,382000,-240170000,EQGP
2017,0.704080437,0.651797313,0.501516612,1.250054892,3052000,-294526000,EQM
2016,0.584013141,0.538850192,0.561914265,2.794566243,243220000,-241403000,EQM
2015,0.544972964,0.528273628,0.518057118,,1183783000,-178695000,EQM
2014,0.5604087,0.790095401,0.402513808,,1009029000,-110354000,EQM
2017,-0.09725615,1.611091019,-0.174890588,-0.307486496,,-3424000000,ERIC
2016,7.026806527,1.021728402,0.007708618,0.538396748,131000000,-12058000000,ERIC
2015,0.814303639,0.934973554,0.054872023,0.815044636,169000000,-11033000000,ERIC
2014,0.838692946,1.027323881,0.050740625,0.457224076,169000000,-9702000000,ERIC
2017,0.217448617,1.905771156,0.042525842,0.267653033,19060000,-173043000,ERJ
2016,0.17047382,2.006745512,0.027311126,0.428567296,6493000,-99801000,ERJ
2015,0.754810618,2.091460682,0.011900489,0.536310113,23477000,-182363000,ERJ
2014,0.288675204,1.73881679,0.053300067,10.99536196,46654000,-229810000,ERJ
2017,0.469881232,0.397913495,0.079291502,,311000,-6607000,ESCA
2016,0.546593579,0.482219579,0.068553534,,691000,-6282000,ESCA
2015,0.523177667,0.48981136,0.074616502,,1040000,-6072000,ESCA
2014,0.447998646,0.424397688,0.08564595,0.760037257,1468000,-5294000,ESCA
2017,0.521869465,8.769864333,0.145707592,0.024892994,779000,-3830000,ESSA
2016,0.484922997,9.051257769,0.145331779,0.031928203,18000,-3747000,ESSA
2015,0.362169339,8.379635684,0.197359403,0.038419864,18000,-3546000,ESSA
2014,0.32925682,8.412613786,0.189124875,0.032999356,18000,-2800000,ESSA
2017,,0.887381905,0.146294844,,,,ETN
2016,0.539542144,1.039001141,0.09733124,7.864111498,74000000,-1037000000,ETN
2015,0.518443658,1.038127222,0.094893311,8.750915751,52000000,-1026000000,ETN
2014,0.518126046,1.120613202,0.079505144,7.911854103,54000000,-929000000,ETN
2017,0.450531669,1.449577546,0.076717512,2.335097939,,-56521000,EVR
2016,0.479484413,1.667017512,0.074690584,1.352054974,,-51558000,EVR
2015,1.076266244,1.529981052,0.035039603,0.784789666,6416000,-46132000,EVR
2014,0.446094344,1.324749084,0.094855316,0.674448385,6416000,-38754000,EVR
2017,,8.669631133,0.38731719,0.154679694,,,EWBC
2016,0.26832099,9.149203222,0.390788417,0.095773732,2982000,-115828000,EWBC
2015,0.300618441,9.359090603,0.355036756,0.101856939,2835000,-115641000,EWBC
2014,0.299579621,9.063891775,0.369561733,0.112436129,6794000,-103618000,EWBC
2017,0.465057519,2.734146409,0.037571557,0.507845761,229081000,-175775000,EXPE
2016,0.532765888,2.440394105,0.032124687,0.977422933,141043000,-150159000,EXPE
2015,0.141964642,2.034668656,0.114572644,0.767884359,120291000,-108527000,EXPE
2014,0.21275468,3.680355014,0.069072271,0.925486492,128525000,-84697000,EXPE
2017,0.305448458,0.193278087,0.109876719,0.094070872,288220000,-137216000,FANH
2016,0.8737257,0.253882438,0.038464722,-0.002737664,1144000,-137216000,FANH
2015,0.653142047,0.175093069,0.085431721,0.012164345,1518000,-137216000,FANH
2014,0.848269041,0.129012144,0.075236824,0.033557455,3183000,-137216000,FANH
2017,0.363820818,1.649388293,0.092448322,16.12742424,3259000,-394842000,FBR
2016,0.185138454,1.499711804,0.172114352,0.78136532,3259000,-306376000,FBR
2015,6.276838552,1.303182123,0.033944678,1.988974377,3259000,-2147840000,FBR
2014,13.80501851,0.753793402,0.021963964,12.64302692,3259000,-2147840000,FBR
2017,0.538189434,5.810278461,0.194091874,,378000,-11563000,FCBC
2016,0.413754676,6.038338686,0.227968462,,921000,-10396000,FCBC
2015,0.416177669,6.178291455,0.221176725,0.089352061,63000,-10213000,FCBC
2014,0.396626128,6.711503972,0.211226756,,53000,-10110000,FCBC
2017,0.001100715,3.260122853,0.11077242,12.39490446,,-2000000,FCX
2016,-0.001444391,4.637250041,-0.280107889,3.03021148,1515000000,-6000000,FCX
2015,-0.040045767,4.313873275,-0.837680564,0.171830986,1936000000,-490000000,FCX
2014,-0.997706422,1.938480888,-0.06539673,12.88405797,9000000,-1305000000,FCX
2017,,8.559758409,0.280723482,0.057759994,,,FFBC
2016,0.441960554,8.752349681,0.266538605,0.068920157,801000,-39125000,FFBC
2015,0.520496117,9.066286868,0.240537968,0.06035523,744000,-39070000,FFBC
2014,0.536123077,8.205500225,0.223320117,0.056259951,1056000,-34848000,FFBC
2017,0.226427619,6.26195201,0.264218644,0.019439813,356000,-44001000,FFG
2016,0.39079302,7.068732587,0.147605911,0.020098431,1840000,-41902000,FFG
2015,0.350991394,7.068540055,0.157063623,0.022565236,1840000,-39847000,FFG
2014,0.316069528,6.2500008,0.158658987,0.02170105,1840000,-34749000,FFG
2017,0.40670095,6.861905701,0.374784385,0.048566316,2934000,-48955000,FFIN
2016,0.428608243,7.12752466,0.347213155,0.04876994,1260000,-44907000,FFIN
2015,0.386198583,7.279734057,0.356869618,0.049506296,1545000,-38767000,FFIN
2014,0.38609185,7.580901697,0.349134755,0.051165516,1437000,-34578000,FFIN
2017,0.443366522,11.15719911,0.203759255,,,-5210000,FGBI
2016,0.345561626,11.0704308,0.260296997,,,-4870000,FGBI
2015,0.319269218,11.3473491,0.275954569,0.039171394,9344000,-4631000,FGBI
2014,0.393888097,13.77254663,0.23233285,0.025580324,9344000,-4421000,FGBI
2017,0.520218711,8.794244949,0.123206595,0.061986749,6132000,-86104000,FHN
2016,0.307003867,11.17105576,0.179443853,0.066371131,22479000,-69704000,FHN
2015,0.700369124,10.47486159,0.074569104,0.060816155,7219000,-60147000,FHN
2014,0.240725511,10.53925046,0.193017944,0.037909804,1864000,-53566000,FHN
2017,0.616557894,1.745886228,0.009803662,0.386872096,9380000,-117995000,FLR
2016,0.419312653,1.911430693,0.014782162,0.665587578,3658000,-117995000,FLR
2015,0.303516019,1.505300187,0.022773043,1.225910997,1780000,-125204000,FLR
2014,0.247045951,1.597815853,0.02372836,1.904729243,24189000,-126218000,FLR
2017,0.270873932,8.226854438,0.231158391,0.069016743,4399000,-7228000,FMBH
2016,0.238149725,9.277208709,0.229195089,0.051804516,195000,-5201190,FMBH
2015,0.332424903,10.75108806,0.220224599,0.043786245,28222000,-5489000,FMBH
2014,0.451911261,10.48741237,0.223353847,,488000,-6987000,FMBH
2017,0.229704451,1.343870155,0.07196462,,47591000,-293973000,FMS
2016,0.222941653,1.317065422,0.067786154,2.681301559,49065000,-277176000,FMS
2015,0.255714487,1.39988745,0.060035872,2.311562906,94166000,-263244000,FMS
2014,0.304135981,1.538438046,0.064785494,2.57967723,107047000,-317903000,FMS
2017,0.293576684,1.005345778,0.092100005,0.138558214,1215000000,-12450000000,FMX
2016,0.395222327,1.224389346,0.052915218,0.282512847,1215000000,-8355000000,FMX
2015,0.415653452,0.922610784,0.056751041,0.307179258,1215000000,-7350000000,FMX
2014,0.440093408,0.856739777,0.063393674,0.293183594,1215000000,-7350000000,FMX
2017,0.360570687,0.975938835,0.100547731,0.305259654,31000000,-278000000,FNF
2016,0.367692308,1.213975984,0.08953168,0.31562693,19000000,-239000000,FNF
2015,0.417457306,1.21637122,0.079271961,0.194817432,26000000,-220000000,FNF
2014,0.348198971,1.177344011,0.07253048,0.127817746,40000000,-203000000,FNF
2017,0.646122239,0.017617681,0.289430653,,366500000,-125800000,FNV
2016,0.966448445,0.01811166,0.200426439,,936400000,-118100000,FNV
2015,3.825203252,0.161650332,0.055782313,0.478873239,10500000,-94100000,FNV
2014,0.85004686,0.018029658,0.241184448,,486100000,-90700000,FNV
2017,0.900330251,1.444949677,0.044836277,0.489908061,18506000,-13631000,FORR
2016,0.735765679,1.23802954,0.054128398,0.497286816,16734000,-12987000,FORR
2015,1.015255085,1.505781527,0.038237188,0.452749392,3347000,-12179000,FORR
2014,1.100966406,1.34959252,0.034816799,0.341313794,8969000,-11962000,FORR
2017,0.158158158,7.896336907,0.17883081,0.147145035,38249000,-1106000,FRBA
2016,0.17265064,11.08582753,0.23013364,0.098222058,13613000,-1106000,FRBA
2015,0.284538204,11.45009671,0.170504891,0.062105755,177000,-1106000,FRBA
2014,0.189513365,9.461217746,0.274402859,0.087819052,65000,-1106000,FRBA
2017,,11.71041025,0.296918616,,,,FRC
2016,0.242847045,11.50418772,0.311083518,0.054551147,535928000,-163540000,FRC
2015,0.274567409,11.29639889,0.292309088,0.064491232,435675000,-143364000,FRC
2014,0.267000817,11.20400741,0.305788435,0.093835571,244075000,-130031000,FRC
2017,0.331216821,6.187201632,0.283266991,0.08873855,3908000,-31820000,FRME
2016,0.273938631,6.999145898,0.283376279,0.087965355,3899000,-22203000,FRME
2015,0.239416371,6.950382415,0.255067488,0.070795207,2652000,-15654000,FRME
2014,0.177753399,7.014291966,0.245111979,0.072834861,1505000,-10694000,FRME
2017,-0.194067832,1.639085225,-0.41090605,3.235082978,,-51401000,FRO
2016,1.402905735,0.977958804,0.155575233,18.7440951,98200000,-164154000,FRO
2015,0.253699296,0.993668593,0.341726356,12.04204625,98200000,-39228000,FRO
2014,0.247335568,0.938444971,0.622240447,,98200000,-36969000,FRO
2017,,11.62000657,0.261349042,0.04131926,1765000,,FSB
2016,0.00081976,9.889912602,0.306687508,0.042521407,73432000,-23000,FSB
2015,0.006218905,11.06710809,0.239139811,0.035773429,52336000,-100000,FSB
2014,0.011884954,11.03791626,0.185846181,0.031489894,265000,-100000,FSB
2017,0.094497693,7.047269717,0.221776098,0.197682174,26287000,-1331000,FSBW
2016,0.103819411,9.217146101,0.190800712,0.173754532,186000,-1090000,FSBW
2015,0.093059937,7.993376692,0.204553835,0.206818213,187000,-826000,FSBW
2014,0.155066079,6.742785102,0.149430584,0.123177458,187000,-704000,FSBW
2017,0.131966069,8.5702411,0.254752852,0.063264207,62000,-1229000,FSFG
2016,0.148148148,8.199769,0.304339463,0.02262128,169000,-1172000,FSFG
2015,0.172715153,8.488017401,0.236918758,0.041831172,159000,-1166000,FSFG
2014,0.201298701,8.948670669,0.196271211,0.039685464,146000,-1085000,FSFG
2017,,2.370971482,-0.067774413,,62000000,,FTEO
2016,-0.123979438,2.260903424,-0.077184496,-1.601374296,184375000,-107253000,FTEO
2015,-0.25494215,1.905776969,-0.039663844,0.448310728,21197000,-106472000,FTEO
2014,0.48739088,0.467023769,0.034787642,0.70750858,1157102000,-106472000,FTEO
2017,0.534863195,1.109531741,0.007524789,3.675525701,,-60600000,FTI
2016,0.283498602,2.696942126,0.042751859,,,-111500000,FTI
2015,6.854166667,2.011308527,0.001255241,,,-98700000,FTI
2014,0.472972973,2.072833112,0.043339719,,11700000,-206500000,FTI
2017,0.46792778,7.985735408,0.227507607,0.087176519,8538000,-80368000,FULT
2016,0.429277649,7.931268224,0.231631431,0.076695428,16167000,-69382000,FULT
2015,0.437191476,7.773578844,0.219990788,0.074918177,10607000,-65361000,FULT
2014,0.405512559,7.576685122,0.235752061,0.078391467,8201000,-64028000,FULT
2017,0.17743842,1.419076236,0.096133659,58.93702052,15528000,-46686000,G
2016,0.173113718,1.239431453,0.104904549,45.21100427,18228000,-46686000,G
2015,0.194673438,1.141661479,0.097445231,39.23561257,16088000,-46686000,G
2014,0.243153717,1.134044179,0.084232166,130.3812278,30144000,-46686000,G
2017,0.291129905,7.624822051,0.312861022,,,-11842000,GABC
2016,0.302125966,7.950315956,0.279866685,,55000,-10630000,GABC
2015,0.299693986,8.406458541,0.291894831,,496000,-9010000,GABC
2014,0.29812306,8.776505087,0.288853107,0.067019782,50000,-8450000,GABC
2017,-0.998124163,4.054229601,-0.03780779,,998000,-11174000,GCAP
2016,0.288954411,3.838807269,0.087500992,0.065508964,1317000,-10192000,GCAP
2015,0.92713299,3.618055828,0.024369196,0.047206393,3175000,-9530000,GCAP
2014,0.327169675,3.689352593,0.068827087,,2827000,-8139000,GCAP
2017,0.094224924,0.528835307,0.192229039,-0.160027009,1000000,-62000000,GG
2016,0.598765432,0.602459933,0.046153846,0.082255083,3000000,-97000000,GG
2015,-0.089006495,0.667808219,-0.950171429,-1.404211608,20000000,-370000000,GG
2014,-0.225821379,0.630365566,-0.628928987,-0.532544379,5000000,-488000000,GG
2017,0.028813361,7.627879413,0.239694818,0.639062592,11004383000,-240000000,GGAL
2016,0.024925734,10.830787,0.246124473,,11004383000,-150000000,GGAL
2015,0.023049988,10.09027775,0.235232347,1.56364776,11004383000,-100000000,GGAL
2014,0.01156304,9.397134844,0.25540415,1.011179727,11004383000,-38595000,GGAL
2017,0.31883191,0.907447899,0.171156485,,60685000,-80477000,GGG
2016,1.805428529,1.166374473,0.03059822,,35796000,-73434000,GGG
2015,0.200828433,1.189205902,0.268726802,,20165000,-69429000,GGG
2014,0.294193011,1.591770241,0.184724804,0.722418656,30199000,-66362000,GGG
2017,,2.428271792,0.177270464,,,,GILD
