Year,payoutRatio,debtEquityRatio,netMargin,roic,issuanceOfStock,dividendsPaid,Underlying
2014,0.452425373,0.674377224,0.118165785,1.428310502,107000000,-485000000,AMAT
2017,0.065119652,0.866438177,0.299132321,0.227117689,41900000,-44900000,AMG
2016,0.094966159,1.008150072,0.215437893,0.193859601,465800000,-44900000,AMG
2015,0.088125613,1.194106658,0.205071443,0.365218913,57800000,-44900000,AMG
2014,0.103480065,1.297830225,0.172806563,0.383930674,41400000,-44900000,AMG
2017,1.700353714,2.167624104,0.086612106,0.26843597,,-3365000000,AMGN
2016,0.388241388,1.598359833,0.335870558,0.275738284,,-2998000000,AMGN
2015,0.345294711,1.54420824,0.320330533,0.310205989,,-2396000000,AMGN
2014,0.358860023,1.677050198,0.257090166,0.284040811,186000000,-1851000000,AMGN
2017,0.404315197,7.52331613,0.15600761,0.025240519,351000,-1293000,AMRB
2016,0.201905059,6.769230769,0.27098849,0.039995218,13000,-1293000,AMRB
2015,0.245444191,6.37310485,0.23921533,0.031039069,13000,-1293000,AMRB
2014,0.29649163,5.890961215,0.203632798,0.024951462,13000,-1293000,AMRB
2017,,2.568768026,0.123214324,,,,AMSF
2016,0.177274847,2.329729256,0.196300134,0.104033845,837000,-13803506,AMSF
2015,0.162170148,2.308607629,0.175445324,0.097240401,1844000,-11426833,AMSF
2014,0.167446465,2.260233395,0.132830387,0.072563815,2674000,-8986182,AMSF
2017,0.434633028,4.330067614,0.241886269,0.127840178,423000000,-379000000,AMTD
2016,0.429928741,4.70540487,0.257177764,0.12940338,423000000,-362000000,AMTD
2015,0.40098401,4.379359576,0.253745318,0.189161099,15000000,-326000000,AMTD
2014,0.336073698,4.018744735,0.254034861,0.231065469,8000000,-264490000,AMTD
2017,0.566969697,5.816248601,0.150623032,0.086212013,8326000,-9355000,ANCX
2016,0.387100707,10.87014021,0.223506009,0.127350117,1567000,-6350000,ANCX
2015,0.404122057,9.79869523,0.23554123,0.132361974,1146000,-6231158,ANCX
2014,0.37443447,9.645474399,0.255373386,,1065000,-5214000,ANCX
2017,0.183433954,1.661595524,0.042674733,0.204937978,225300000,-704900000,ANTM
2016,0.276945502,1.59291087,0.029103447,0.252312458,119400000,-684000000,ANTM
2015,0.256484375,1.67824736,0.032340219,0.257986603,186000000,-656600000,ANTM
2014,0.187064638,1.54321624,0.034779396,0.239636202,301300000,-480700000,ANTM
2017,0.26259832,0.821092185,0.366456593,0.953051121,68400000,-787900000,APD
2016,1.142766598,1.52765693,0.084105175,,141300000,-721200000,APD
2015,0.53016668,1.373072148,0.163324515,,121300000,-677500000,APD
2014,0.632953514,1.353620788,0.094999521,,141600000,-627700000,APD
2017,0.138365201,1.096271156,0.021131049,1.034299075,,-8264000,ARCB
2016,0.445957538,1.14016743,0.006907588,0.669429906,,-8318000,ARCB
2015,0.152427877,1.145148524,0.016818747,,,-6837000,ARCB
2014,0.088832103,1.01044068,0.017674101,,1136000,-4102000,ARCB
2017,,3.816178491,0.028352404,,,,ARGO
2016,0.181322427,3.019077369,0.093273143,0.044700876,1000000,-26600000,ARGO
2015,0.139093137,2.971944128,0.109434721,0.03953155,1800000,-22700000,ARGO
2014,0.099344978,2.860023076,0.122920021,0.044535006,4600000,-18200000,ARGO
2017,0.232203847,0.649308721,0.245802404,1.236384649,50600000,-516700000,ASML
2016,0.286402466,0.697099386,0.2291311,1.54651069,582700000,-445900000,ASML
2015,0.18666255,0.529296078,0.257578649,1.803490483,33200000,-302300000,ASML
2014,0.188929156,0.561979481,0.242187998,3.383044337,39679000,-267962000,ASML
2017,0.244106363,0.295788657,0.031901541,3.433084008,289000,-9226000,ASTE
2016,0.167098751,0.300634426,0.048071736,5.814597371,289000,-9217000,ASTE
2015,0.280300027,0.275452578,0.033358863,3.821928282,2156000,-9193000,ASTE
2014,0.266034012,0.348183848,0.035319984,3.884363964,282000,-9167000,ASTE
2017,0.610613567,0.545037439,0.065437361,2.281535178,1030000,-19227000,ATNI
2016,1.732501446,0.574619492,0.026479038,6.417104209,649000,-20965000,ATNI
2015,1.125737898,0.26941095,0.047668761,,1998000,-19070000,ATNI
2014,0.363183253,0.275903618,0.143161675,,1129000,-17488000,ATNI
2017,0.363332273,1.391874749,0.089106838,,73905000,-79944000,ATR
2016,0.372873194,1.220275991,0.088200696,,55347000,-76659000,ATR
2015,0.357400124,1.119998852,0.086031585,9.206097774,64759000,-71247000,ATR
2014,0.370827203,1.208324761,0.073776787,,36015000,-71072000,ATR
2017,0.827838828,0.978123018,0.038905515,,178000000,-226000000,ATVI
2016,0.198757764,0.913806338,0.146186441,,106000000,-192000000,ATVI
2015,0.187219731,0.889687655,0.191252144,,106000000,-167000000,ATVI
2014,0.176047904,1.024332919,0.189428312,62.94736842,175000000,-147000000,ATVI
2017,-0.097222222,1.000602773,-0.10777248,-7.023333333,,-18900000,AUY
2016,-0.090938616,0.935618989,-0.172232477,-10.84868421,,-28000000,AUY
2015,-0.026101759,0.961208766,-1.229106126,-15.88155803,228200000,-55200000,AUY
2014,-0.103318632,0.856585395,-0.753691897,-3.063537221,228200000,-142900000,AUY
2017,0.976950355,1.539659847,0.095940122,,257000000,-1653000000,AVGO
2016,-0.41173088,1.48687275,-0.131344411,,295000000,-716000000,AVGO
2015,0.299120235,1.230589733,0.199882767,,241000000,-408000000,AVGO
2014,1.079847909,2.234967623,0.061606934,11.94594595,124000000,-284000000,AVGO
2017,,-5.441103448,0.003849115,,,,AVP
2016,,-4.493396226,-0.018818756,,,,AVP
2015,-0.092175124,-4.603195366,-0.186494603,,,-105900000,AVP
2014,-0.270715389,18.25914424,-0.050810669,12.2543554,200000,-105200000,AVP
2017,15.42321792,0.191367911,0.003142452,,5955000,-75728000,AVX
2016,0.572500696,0.117724553,0.095824436,,10118000,-72012000,AVX
2015,0.694332004,0.106890983,0.084928931,0.291813965,708000,-70499000,AVX
2014,0.297740746,0.153404163,0.166912745,0.347668851,5676000,-67251000,AVX
2017,0.457236842,8.93904647,0.089805029,1.787470449,129000000,-1251000000,AXP
2016,0.22318787,6.750499976,0.180815139,1.774414063,177000000,-1207000000,AXP
2015,0.226999806,6.796836453,0.167918821,1.853988283,193000000,-1172000000,AXP
2014,0.176890399,6.696173753,0.183900503,1.730454632,362000000,-1041000000,AXP
2017,,4.252691697,-0.08062163,-0.011541966,,,AXS
2016,0.335494226,2.825589706,0.128160749,0.034468568,224000,-172232000,AXS
2015,0.247400765,2.694198115,0.166644028,0.027631365,3986000,-158740000,AXS
2014,0.194521089,2.710387543,0.186527254,0.05815027,5550000,-157707000,AXS
2017,-0.889798218,4.887765812,-0.108598393,1.497657208,,-99483000,AY
2016,-7.313903193,4.549907351,-0.004962944,1.284882016,,-35509000,AY
2015,-0.65628095,4.550602305,-0.263935526,0.980087148,664120000,-137166000,AY
2014,-7.012725658,3.496435834,-0.009162644,0.576001669,681916000,-23696000,AY
2017,1.17260913,3.122459893,0.133585578,1.580422596,43000000,-3519000000,AZN
2016,1.017719348,3.087181904,0.152117207,2.110985915,47000000,-3561000000,AZN
2015,1.233982301,2.246998378,0.114335438,3.17550702,43000000,-3486000000,AZN
2014,2.855636659,1.984460182,0.046445926,5.664420485,279000000,-3521000000,AZN
2017,,2.640803075,0.067916966,,1231275000,,AZUL
2016,-1.046210238,7.383750488,-0.018937941,,1473108000,-132151000,AZUL
2015,-0.122942027,-20.98924953,-0.171768619,,312989000,-132151000,AZUL
2014,-2.031841943,13.98024946,-0.011207894,,32000,-132151000,AZUL
2017,0.416859827,258.9323944,0.08776983,4.121771218,311000000,-3417000000,BA
2016,0.563023493,109.0820073,0.051760053,2.66129666,321000000,-2756000000,BA
2015,0.481066461,13.89281768,0.053852717,3.525073746,399000000,-2490000000,BA
2014,0.388358428,9.709290248,0.060003085,2.907474747,343000000,-2115000000,BA
2017,,0.767274795,0.25609951,0.372931576,399000000,,BABA
2016,,0.66601028,0.275947256,0.307002843,14607000000,,BABA
2015,,0.528630747,0.706524426,0.227832977,693000000,,BABA
2014,0.004286715,0.673966405,0.318369114,0.351615531,61831000000,-104000000,BABA
2017,0.799840579,12.5337463,0.189598357,,2043000,-46158000,BANC
2016,0.359343592,14.1311392,0.317888237,0.032046138,175078000,-41474000,BANC
2015,0.425328651,16.42601077,0.230504144,0.038099666,501000,-26401000,BANC
2014,0.4741268,12.91330018,0.104177445,0.088133248,159015000,-14321000,BANC
2017,0.439330544,0.876260412,0.067891298,,347000000,-315000000,BAX
2016,0.053977845,0.876477684,0.488536849,,286000000,-268000000,BAX
2015,0.940082645,1.367510739,0.097110754,0.141509434,193000000,-910000000,BAX
2014,0.438526231,2.21453202,0.232950835,,369000000,-1095000000,BAX
2017,0.190362427,1.437422195,0.034403405,1.957512904,10313000,-80877000,BBBY
2016,0.081172603,1.508995957,0.056083958,,20424000,-55612000,BBBY
2015,0.066087614,1.535641951,0.069522212,13.3499047,9109000,-55612000,BBBY
2014,0.058081995,1.463917191,0.080587477,7.503152275,41197000,-55612000,BBBY
2017,0.289074295,6.682700317,0.027345855,15.98558462,163000,-7276000,BBSI
2016,0.338262674,7.349303373,0.02236416,4.581446889,72000,-6359000,BBSI
2015,0.247509218,8.10665249,0.034412242,,702000,-6310000,BBSI
2014,-0.213066625,12.78430835,-0.040144259,-0.848271661,434000,-5443000,BBSI
2017,-0.25862069,6.14511041,-0.002541296,0.220354809,621000000,-15000000,BBU
2016,-0.53125,3.445273632,-0.004020101,0.032094595,712000000,-17000000,BBU
2015,2.211538462,2.546726357,0.030801125,0.186418109,638000000,-460000000,BBU
2014,2.11827957,1.513333333,0.02012116,0.479318735,49000000,-197000000,BBU
2017,0.413934426,1.26461663,0.032461197,18.41886792,6200000,-60600000,BC
2016,0.200724638,1.280883272,0.066443583,8.342657343,14900000,-55400000,BC
2015,0.20008285,1.46039179,0.063859055,11.30540541,4500000,-48300000,BC
2014,0.16971917,1.672215109,0.064006044,3.528375734,10700000,-41700000,BC
2017,0.717090763,10.82256315,0.148940615,0.172305277,43316000,-7158000,BCBP
2016,0.868674247,13.6409611,0.130862058,0.143263748,336000,-6952000,BCBP
2015,0.765007112,12.75983501,0.120591464,0.632115706,25978000,-5378000,BCBP
2014,0.686693017,13.49040775,0.148689417,0.707416671,467000,-5212000,BCBP
2017,-12.14285714,2.424092169,-0.010666667,0.864238411,422000000,-340000000,BEP
2016,-5.6,4.369199536,-0.020391517,1.406403941,657000000,-280000000,BEP
2015,58.25,3.800495225,0.002457002,1.695473251,657000000,-233000000,BEP
2014,2.131578947,3.463214398,0.066901408,,285000000,-243000000,BEP
2017,1.75625,1.782904924,0.003493907,0.494089835,59000000,-281000000,BG
2016,0.344966443,1.835295941,0.017455892,1.137931034,59000000,-257000000,BG
2015,0.304677623,1.951834464,0.018202738,1.614890886,25000000,-241000000,BG
2014,0.429126214,1.638086643,0.009009639,0.527722772,74000000,-221000000,BG
2017,3.887634774,6.737763573,0.015834311,0.413819532,26678000,-200116000,BGCP
2016,0.923106441,2.840134003,0.065223668,0.621077328,15701000,-170795000,BGCP
2015,0.821210435,4.245788587,0.059140753,-0.092248657,701000,-131360000,BGCP
2014,-34.4695082,5.254346029,-0.001741231,-0.19280591,701000,-105132000,BGCP
2017,-4.756613757,14.44106097,-0.055271238,-0.006873614,293000000,-1798000000,BHF
2016,-0.611772712,13.9327143,-0.985580148,-0.067933316,1833000000,-1798000000,BHF
2015,1.606791778,12.46427935,0.125885926,0.024042716,406000000,-1798000000,BHF
2014,1.55133736,12.21654779,0.122697438,0.025939561,476000000,-1798000000,BHF
2017,44.45454545,3.221864304,0.00311174,0.185845129,692000000,-489000000,BIP
2016,1.368421053,2.522446324,0.134751773,0.081101053,505000000,-390000000,BIP
2015,2.023668639,2.751172486,0.091105121,0.112203112,582000000,-342000000,BIP
2014,2.851485149,2.879422587,0.052494802,0.185905612,2000000,-288000000,BIP
2017,,8.751544724,0.262735273,0.022000456,,,BK
2016,0.253735551,8.332785165,0.232620672,0.026718066,465000000,-900000000,BK
2015,0.273907536,9.998731859,0.210057204,0.018294436,352000000,-865000000,BK
2014,0.324503311,9.660246941,0.163087675,0.020945946,396000000,-833000000,BK
2017,0.542671742,0.375383389,0.098214325,2.346810894,,-48681454,BKE
2016,0.494949153,0.346793206,0.100485909,2.777757574,,-48485714,BKE
2015,0.308480809,0.388059412,0.131547781,3.996866404,,-45433979,BKE
2014,0.264170967,0.528360889,0.140974832,4.647393931,70000,-42944689,BKE
2017,2.499816764,0.73991214,0.104985737,,240000,-47749000,BKEP
2016,-8.704532524,0.743000552,-0.029724793,,26269000,-45899000,BKEP
2015,6.933755563,0.561995772,0.032450327,,186000,-40507000,BKEP
2014,1.334670083,0.464918871,0.144304652,1.486331256,71182000,-35944000,BKEP
2017,,0.601077403,-496.1027027,-1.422661783,66639000,,BLCM
2016,,0.367210636,-178.4561856,,1142000,,BLCM
2015,,0.055184618,-172.1560284,-0.613236983,829000,,BLCM
2014,-0.001846007,0.021697385,-47.17134831,,160859000,-155000,BLCM
2017,-0.04224474,0.203180613,-0.228193327,,3978336,-106250,BLFS
2016,-0.015453543,1.503557644,-0.835718085,,278503,-106250,BLFS
2015,-0.025213957,0.295029624,-0.653433836,,368753,-106250,BLFS
2014,-0.033019967,0.181006876,-0.519771761,,9207703,-106250,BLFS
2017,0.084619053,4.195114335,0.32936923,,12389816000,-794469000,BMA
2016,0.147172562,6.003387105,0.32432195,,12389816000,-962631000,BMA
2015,0.192146173,5.602004339,0.330153683,,12389816000,-962631000,BMA
2014,0.172001916,5.517910353,0.313112085,0.685770145,12389816000,-598486000,BMA
2017,0.375841436,16.58338735,0.248906265,0.048954457,149000000,-2010000000,BMO
2016,0.480095197,16.78470778,0.227999211,0.045205018,137000000,-2219000000,BMO
2015,0.488558352,16.63722293,0.232731533,0.042955506,51000000,-2135000000,BMO
2014,0.432779986,17.69113932,0.242158306,0.047625507,133000000,-1851000000,BMO
2017,2.559086395,1.848564858,0.048469388,1.287295476,,-2577000000,BMY
2016,0.571460624,1.073128516,0.229422968,1.058151398,,-2547000000,BMY
2015,1.582747604,1.214355811,0.094504831,0.581416328,,-2477000000,BMY
2014,1.196606786,1.263533531,0.126204421,0.545797923,288000000,-2398000000,BMY
