,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
JJSF,0.18064511,0.15247464,,,5.0,0.317283,,8.0,39.476,,6.0,148.17,3.093,1534291200,0.158,0.037,0.033,163896000,0.14199,16.164,2.295,2649189120,USD,,14917512,5.24,28.276718,46246500,4200.0,,,0.29834998,331023000,0.20232001,0.72011,Packaged Foods,,,1506729600,1136505600,2/1,,1,86400,,,1530316800,104554000,1569801600,3,127298000,0.10248999,8.0,5.24,2,3.7534196,,0.090579994,0.090579994,2.093,buy,2.0,0.08307999,0.14793,0.037,61.765,,Consumer Defensive,10.0,18716100,0.0392,733501,1531440000,626911,0.056599997,11.75,180.0,135.0,161.67,170.0,,,125899000,6.727,1169000,1154275968,5.57,,
JMP,-0.03296703,0.15247464,,,,0.581519,,,4.126,,,5.28,4.07,1534291200,1066.194,,,,0.0,,8.313,1145411840,USD,,10875647,0.47,11.234043,,216.0,,,0.88665,104942000,0.50233,0.1279,Capital Markets,,,1514678400,,,,1,86400,,,1530316800,-4879000,1577750400,3,12986000,0.013150001,,-1.35,2,1.2796898,,-0.03541,-0.03541,3.913,buy,1.7,-0.00354,-0.036170002,0.545,6.387,,Financial Services,,21452200,0.0004,19629,1531440000,18232,,0.49,8.0,5.5,6.92,7.25,,,71857000,3.35,1090386048,137783008,-0.239,,
JNJ,0.03453219,0.15247464,,,2.0,0.532799,,4.0,23.446,,3.0,138.51,1.653,1534291200,51.015,0.036,0.033,26759999488,0.33166,14.288,4.739,382340071424,USD,,2673661518,8.59,16.124563,17968750592,134000.0,,,0.66472,51684000000,0.00071000005,0.68776,Drug Manufacturers - Major,,,1514678400,992390400,2/1,,1,86400,,,1530403200,1372000000,1577750400,20,22055999488,0.24437,3.0,2.17,2,5.9076176,,0.017,0.017,1.173,buy,2.3,0.07998,0.020350002,0.106,30.067,,Healthcare,4.0,2682759936,0.0052,14034703,1531440000,16686830,0.0052,2.22,160.0,119.0,143.35,143.5,,,18139000832,6.761,32082999296,80683999232,0.503,,
JNPR,0.003632307,0.15247464,,,5.0,1.152823,,6.0,12.644,,6.0,27.5,2.27,1534291200,48.389,-0.298,-0.352,919200000,0.19214001,9.248,1.777,8500310528,USD,,337250895,2.04,13.480392,438812512,9341.0,,,0.59424996,3072100000,0.013839999,0.96454,Communication Equipment,,,1514678400,961113600,2/1,,1,86400,,,1530316800,168500000,1577750400,21,856200000,0.14634,6.0,1.15,2,2.1749446,,0.03522,0.03522,2.115,hold,2.9,0.04637,0.03546,-0.08,13.161,,Technology,4.0,344795008,0.0545,18793389,1531440000,20220806,0.0713,4.48,33.0,20.0,26.79,26.5,,,3122700032,9.057,2137699968,4784000000,0.462,,
JRVR,0.011130333,0.15247464,,,1.0,0.623385,,10.0,23.038,,6.0,41.22,2.147,1534291200,29.359,0.167,0.168,67447000,0.07619,17.198,1.31,1159946240,USD,,28944998,2.66,15.496241,22894124,760.0,,,0.30266002,262248000,0.03145,1.02162,Insurance - Property & Casualty,,,1514678400,,,,1,86400,,,1530316800,43192000,1577750400,5,306576000,0.07379,10.0,,2,1.7892178,,0.04879,0.04879,1.201,buy,2.5,0.0149300005,0.06131,0.127,29.806,,Financial Services,7.0,29928100,0.016900001,506098,1531440000,566902,0.0197,5.2,47.0,38.0,43.4,45.0,,,292507008,9.774,202355008,885214016,1.429,,
KDP,Infinity,0.15247464,,,2.0,0.722416,,10.0,906.986,,2.0,23.18,0.485,1534291200,64.776,,0.493,1156423936,0.27493998,4.635,1.274,5360224768,USD,,7027109,1.51,15.350994,,,,,0.47292,2030464000,0.14239,0.11884,Beverages - Soft Drinks,,,1506729600,,,,1,86400,,,1522454400,875739008,1569801600,12,1537394048,0.21896,9.0,1.29,2,0.025557175,,0.20820999,0.20820999,0.264,hold,2.6,,,-0.021,512.878,,Consumer Defensive,4.0,1386530048,0.0033000002,4651232,1531440000,12497594,0.033099998,1.42,33.0,20.0,24.92,25.5,,,120161000,14.652,5004728832,4206114048,106.784,,
KEY,0.19759452,0.15247464,,,1.0,0.903849,,4.0,13.292,,3.0,21.16,,1534291200,,0.215,0.17,,0.0,,6.147,37454483456,USD,,1047817425,1.92,11.020834,,18458.0,,,0.0,6026000000,0.0033500001,0.81004,Banks - Regional - US,,,1514678400,889401600,2/1,,1,86400,,,1530316800,1396000000,1577750400,24,2812000000,0.39488,3.0,1.29,2,1.591935,,0.23962,0.23962,,buy,2.0,0.010629999,0.095790006,0.01,5.762,,Financial Services,5.0,1052040000,0.0117,12322485,1531440000,12770583,0.013200001,1.3,27.0,20.0,23.67,24.0,,,2366000128,2.249,16584999936,6093000192,1.304,,
KMPR,0.7318549,0.15247464,,,2.0,1.075642,,1.0,39.677,,2.0,84.95,1.082,1534291200,47.016,0.028,0.027,349700000,0.123900004,16.007,1.983,5597553152,USD,,62105353,5.1,16.656862,176312496,5550.0,,,0.34491003,886000000,0.17033,0.53319,Insurance - Diversified,,,1514678400,922665600,2/1,,1,86400,,,1530316800,173600000,1577750400,2,328000000,0.11316,1.0,1.9,2,2.141039,,0.06236,0.06236,1.082,buy,2.3,0.02341,0.0857,0.084,54.839,,Financial Services,4.0,64743700,0.0196,1591519,1531440000,1546785,,3.88,95.0,82.0,88.5,88.5,,,818899968,12.648,961800000,2822500096,3.381,,
KNSL,0.49712586,0.15247464,,,2.0,0.133,,8.0,11.712,,7.0,59.99,0.336,1534291200,,0.175,0.19,38210500,0.18761998,31.729,5.953,1212378752,USD,,19595508,2.2,27.268183,103570496,164.0,,,0.13701001,29151000,0.07811,0.83822995,Insurance - Property & Casualty,,,1514678400,,,,1,86400,,,1530316800,27524000,1577750400,3,87039000,0.18539,6.0,2.19,2,5.122097,,0.13515,0.13515,0.216,buy,2.4,0.03491,0.11614,0.207,9.681,,Financial Services,2.0,21181100,0.023599999,499472,1531440000,510680,0.0257,6.61,70.0,61.0,65.33,65.0,,,79670000,3.761,0,203654000,1.271,,
KO,-0.014126718,0.15247464,,,1.0,0.483774,,7.0,4.308,,2.0,46.02,1.147,1534291200,232.216,0.688,0.689,10986000384,0.33146998,20.371,6.752,223794610176,USD,,3821761169,2.24,20.544643,2286625024,61800.0,,,0.6357,22154000000,0.0075499997,0.67646,Beverages - Soft Drinks,,,1514678400,1344816000,2/1,,1,86400,,,1530230400,2163000064,1577750400,23,6449999872,0.29575002,2.0,3.01,2,10.682451,,0.071779996,0.071779996,0.762,buy,2.3,0.06779,0.10609,-0.08,7.776,,Consumer Defensive,2.0,4252920064,0.0069,29320452,1531440000,28673755,0.0069,2.9,61.0,45.0,50.72,50.0,,,19353999360,4.551,46852001792,33142999040,0.558,,
