,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
GWPH,0.3005414,0.15987647,,,,3.029944,,,17.878,,,141.18,8.67,1534291200,3.371,,,-229581664,0.0,-15.596,210.235,3580530432,GBP,,25108883,-4.49,-31.443207,-141760704,618.0,,,0.65862,4697000,0.00035,0.7886,Drug Manufacturers - Major,,,1506729600,,,,1,86400,,,1530316800,-235411584,1569801600,8,-193473088,-13.97695,,0.37,2,7.896856,,0.0,0.0,8.207,buy,2.1,-0.28002,-0.51063,0.087,0.632,,Healthcare,,28200900,0.0705,1988869,1531440000,2121121,,6.03,211.0,61.0,169.0,181.0,,,441547936,15.648,17004628,17031068,-8.743,,
TDC,0.20756435,0.15987647,,,2.0,0.965248,,1.0,4.807,,5.0,39.86,1.787,1534291200,86.888,,,147000000,0.06676,28.801,1.923,4233698048,USD,,117803001,1.57,25.388535,104875000,10615.0,,,0.46957,1028000000,0.0001,0.26704,Data Storage,,,1514678400,,,,1,86400,,,1530316800,-64000000,1577750400,16,305000000,0.03497,3.0,2.14,2,8.292074,,-0.029059999,-0.029059999,1.629,hold,3.0,0.021189999,-0.088640004,0.06,18.138,,Technology,3.0,119100000,0.1286,15315181,1531440000,15772454,0.1469,12.67,55.0,30.0,41.06,40.0,,,882000000,7.406,497000000,2201999872,-0.527,,
WIFI,0.5938804,0.15987647,,,1.0,0.289699,,7.0,2.532,,8.0,34.58,0.425,1534291200,14.028,,,73477000,0.32119,18.999,6.102,1396024320,USD,,38220321,-0.27,-128.07408,9537750,332.0,,,0.34335998,66934000,0.02639,0.98094004,Telecom Services,,,1514678400,,,,1,86400,,,1530316800,-5583000,1577750400,9,83139000,-0.02431,7.0,-0.35,2,13.657188,,-0.02441,-0.02441,0.369,buy,1.6,-0.00903,-0.04381,0.216,5.56,,Communication Services,4.0,42276800,0.0454,1918695,1531440000,3077514,0.0471,2.5,38.0,9.75,29.97,31.0,,,12948000,0.306,15226000,228763008,-0.144,,
ROG,0.15262747,0.15987647,,,1.0,1.733702,,3.0,43.786,,3.0,147.46,4.916,1534291200,17.021,-0.177,-0.171,161308000,0.19088,15.482,2.955,2497339904,USD,,18189581,6.79,21.717232,33942752,3400.0,,,0.36796,318575000,0.00986,0.98429,Electronic Components,,,1514678400,959644800,2/1,,1,86400,,,1530316800,75996000,1577750400,3,97311000,0.13805,2.0,1.27,2,3.3677433,,0.08993,0.08993,3.555,buy,2.0,0.06489,0.09979,0.066,46.245,,Technology,4.0,18385900,0.03,551014,1531440000,443513,0.0349,4.51,150.0,140.0,146.67,150.0,,,174700000,9.502,136986000,845076992,4.074,,
IBP,-0.1757679,0.15987647,,,2.0,1.077655,,7.0,6.842,,3.0,48.2,2.797,1534291200,215.426,0.374,0.363,142368992,0.11581001,12.473,1.444,1775795072,USD,,17887174,3.31,14.561934,31345124,6900.0,,,0.27863002,324026000,0.30366,0.7246,Building Materials,,,1514678400,,,,1,86400,,,1530316800,45512000,1577750400,9,73471000,0.06751,4.0,0.63,2,7.044724,,0.037019998,0.037019998,2.356,buy,2.0,0.06716,0.22746,0.179,38.962,,Basic Materials,3.0,31606300,0.041500002,1310532,1531440000,1322366,0.060399998,6.94,75.0,61.0,66.22,65.0,,,160058000,5.092,463302016,1229373952,1.44,,
PJT,0.45911276,0.15987647,,,1.0,-0.134183,,8.0,-7.817,,7.0,54.9,2.726,1534291200,,28.816,31.302,,0.0,,3.017,1609706496,USD,,18715923,2.87,19.128922,,473.0,,,0.94122005,474895000,0.65456,0.0,Capital Markets,,,1514678400,,,,1,86400,,,1530316800,-22077000,1577750400,4,135874000,0.04237,8.0,0.82,2,,,-0.04109,-0.04109,2.726,hold,2.8,-0.02417,-0.03075,0.195,26.643,,Financial Services,10.0,20536000,0.0433,890256,1531440000,547005,0.0481,5.07,62.0,51.0,59.25,62.0,,,95534000,4.652,0,533515008,-1.102,,
LKSD,-0.26638603,0.15987647,,,1.0,,,3.0,6.687,,2.0,12.29,1.326,1534291200,413.575,0.917,0.6,291000000,0.07646,4.463,0.341,1298795136,USD,,32915033,2.1,5.852381,11250000,24000.0,,,0.14976,576000000,0.02388,0.87333,Business Services,,,1514678400,,,,1,86400,,,1530316800,-64000000,1577750400,4,101000000,0.03783,2.0,-0.47,2,1.8378944,,-0.01681,-0.01681,0.925,hold,2.6,0.04772,-0.26446,0.112,110.64,,Industrials,3.0,33371200,0.048800003,1629286,1531440000,1589177,0.0627,4.36,22.0,14.0,17.25,16.5,,,22000000,0.659,914000000,3806000128,-1.86,,
RIGL,0.27600002,0.15987647,,,1.0,0.987442,,6.0,0.742,,7.0,3.21,8.008,1534291200,,,,-94418000,0.0,-4.211,147.982,397627008,USD,,166118877,-0.5,-6.42,-54313876,103.0,,,0.0,-41785000,0.00287,0.95623,Biotechnology,,,1514678400,1056499200,1/9,,1,86400,,,1530316800,-93473000,1577750400,7,-87713000,-35.32378,4.0,-0.08,2,4.3261456,,0.0,0.0,7.867,buy,1.7,-0.52336,-0.96777,,0.019,,Healthcare,3.0,166443008,0.1074,17868240,1531440000,14786829,0.1706,9.24,10.0,7.0,8.14,8.0,,,134992000,0.811,0,2687000,-0.647,,
SRLP,0.051689863,0.15987647,,,,1.989183,,,7.015,,,26.65,1.788,1534291200,357.184,,,108288000,0.03097,10.542,0.326,1141558144,USD,,8975004,2.16,12.337962,-5199625,,,,0.07926,252208000,0.60201,0.20594,Oil & Gas Refining & Marketing,,,1514678400,,,,1,86400,,,1530316800,28350000,1577750400,3,39014000,0.0218,,0.07,2,3.7990022,,0.00987,0.00987,0.804,buy,2.3,0.05136,0.19931,0.444,154.435,,Energy,,22727300,0.0026,59726,1531440000,65058,0.0058999998,2.81,30.0,25.0,27.67,28.0,,,8607000,0.379,569483008,3496367104,1.239,,
CVBF,0.093735576,0.15987647,,,2.0,1.237155,,2.0,9.822,,4.0,23.84,,1534291200,,0.242,0.247,,0.0,,8.636,2867313920,USD,,104208124,1.47,16.217688,,,,,0.0,324425000,0.06938,0.72753,Banks - Regional - US,,,1514678400,1167782400,11/10,,1,86400,,,1530316800,117453000,1577750400,7,143408000,0.58252,1.0,1.83,2,2.4272044,,0.35485,0.35485,,hold,3.0,0.01427,0.1099,0.019,3.023,,Financial Services,1.0,140300000,0.0365,5118022,1531440000,6142669,0.0571,12.0,26.0,24.0,24.86,25.0,,,190044000,1.723,411232992,332030016,1.069,,
AROC,0.034188032,0.15987647,,,5.0,3.62098,,1.0,6.42,,3.0,12.0,1.348,1534291200,175.613,,,289316000,0.3421,10.324,3.532,2986966784,USD,,117766034,0.5,24.0,1518500,1700.0,,,0.47407,375733000,0.043920003,0.91339,Oil & Gas Equipment & Services,,,1514678400,,,,1,86400,,,1530316800,34840000,1577750400,6,205832992,0.12769,3.0,-4.03,2,1.8691589,,0.04191,0.04191,0.815,buy,2.3,0.02753,0.05657,0.146,10.558,,Energy,3.0,129415000,0.0088,1141701,1531440000,1844925,,1.7,16.0,14.0,14.97,14.88,,,6348000,0.049,1458862976,845697984,0.434,,
BAM,0.05458629,0.15987647,,,2.0,0.981629,,6.0,25.464,,7.0,42.32,0.994,1534291200,107.577,2.263,2.022,10618000384,0.20222001,16.457,3.328,174739914752,USD,,831568775,1.85,22.875675,4670000128,81200.0,,,0.20883,9611000000,,,Asset Management,,,1514678400,1466380800,1016/1000,,1,86400,,,1530316800,2593999872,1577750400,7,4502000128,0.15318,9.0,5.7,2,1.661954,,0.053540003,0.053540003,0.659,buy,2.0,0.02664,0.08607,0.405,54.788,,Financial Services,10.0,957481984,0.0054,5124702,1531440000,5545152,,9.22,56.0,44.0,49.71,48.0,,,5912999936,6.174,85168996352,52506001408,2.647,,
MDU,0.020645738,0.15987647,,,1.0,0.360309,,2.0,12.504,,1.0,27.09,1.394,1534291200,75.596,0.073,0.063,638419968,0.14255,11.348,1.618,7244878848,USD,,193977773,1.53,17.705883,3541125,10140.0,,,0.18003,802871000,0.00973,0.66125,Building Materials,,,1514678400,1153958400,3/2,,1,86400,,,1530316800,290979008,1577750400,4,485100000,0.09548,1.0,2.91,2,2.1665068,,0.06451,0.06451,0.98,buy,2.4,0.04188,0.12241,-0.003,22.925,,Basic Materials,2.0,196018000,0.0101,1985223,1531440000,1247483,0.0116,2.49,30.5,28.0,28.88,28.5,,,41659000,0.213,1852909952,4478675968,1.479,,
SPPI,0.9326732,0.15987647,,,2.0,2.982316,,7.0,3.354,,7.0,19.58,3.276,1534291200,11.457,,,-80614000,-0.67388,-25.475,17.167,2053601536,USD,,85778323,-0.68,-28.794117,-11722375,215.0,,,0.69088995,,0.105979994,0.84474,Biotechnology,,,1514678400,1031270400,1/25,,1,86400,,,1530316800,-48924000,1577750400,4,-58648000,-0.90796995,5.0,,2,5.8378053,,-0.40897,-0.40897,3.178,strong_buy,1.5,-0.15795,-0.18024,-0.295,1.236,,Healthcare,1.0,104953000,0.0856,9070506,1531440000,10170556,0.1106,8.79,35.0,25.0,31.75,33.5,,,269657984,2.628,39427000,119627000,-0.505,,
NS,-0.3374666,0.15987647,,,,2.390868,,,17.887,,,27.81,0.697,1534291200,121.795,-0.212,0.12,632990016,0.34157002,11.871,4.055,7514385920,USD,,87250438,1.36,20.448528,-68452128,1694.0,,,0.63354,1162420000,0.18406999,0.54045,Oil & Gas Midstream,,,1514678400,,,,1,86400,,,1530316800,112017000,1577750400,7,441660992,0.18635,,0.39,2,1.5547605,,0.093030006,0.093030006,0.523,hold,2.9,0.03319,0.082320005,0.116,19.893,,Energy,,107043000,0.0279,2985052,1531440000,3640535,0.0377,3.4,28.0,24.0,26.29,27.0,,,20344000,0.19,3443365888,1853186048,1.202,,
HA,-0.015209198,0.15987647,,,1.0,1.473005,,2.0,18.134,,1.0,38.75,0.749,1534291200,75.211,0.091,0.034,593768000,0.21205,3.538,0.75,2100481792,USD,,49577950,5.27,7.352941,-58525500,7142.0,,,0.30665,880102000,0.02369,0.86187,Airlines,,,1514678400,,,,1,86400,,,1530316800,361523008,1577750400,11,369456000,0.17227,4.0,-5.46,2,2.13687,,0.12911001,0.12911001,0.628,hold,2.6,0.098170005,0.42352,0.068,54.126,,Industrials,10.0,50737800,0.0645,3273559,1531440000,3674931,0.08979999,4.6,74.0,35.0,47.0,45.0,,,593104000,11.69,691979008,2800162048,6.965,,
FELP,-0.09126431,0.15987647,,,,0.903924,,,4.254,,,3.94,0.684,1534291200,238.712,,,329945984,0.32059,5.996,1.922,1978303616,USD,,21864568,-0.25,-15.76,221412128,809.0,,,0.28784,293861000,0.63242,0.12292,Coal,,,1514678400,,,,1,86400,,,1530316800,-138563008,1577750400,1,161975008,0.1091,,-0.05,2,0.9261871,,-0.13463001,-0.13463001,0.421,hold,3.0,0.02654,-0.18619,0.311,7.175,,Basic Materials,,80595600,0.00059999997,90326,1531440000,104737,0.0032,6.47,4.0,4.0,4.0,4.0,,,38760000,0.266,1471250048,1029198976,-0.966,,
FCEL,-0.25850338,0.15987647,,,1.0,1.566936,,4.0,1.035,,10.0,1.06,1.944,1534291200,64.016,,,-31917000,-0.26722,-7.283,1.946,232445936,USD,,90900018,-0.48,-2.2083333,-25000376,458.0,,,0.046880003,2734000,0.01191,0.24027,Utilities - Independent Power Producers,,,1509408000,1449187200,1/12,,1,86400,,,1532995200,-55018000,1572480000,4,15322000,-0.33873,7.0,-0.11,2,1.0241545,,-0.36181998,-0.36181998,1.054,buy,1.8,-0.07487,-0.26485002,0.169,1.593,,Utilities,4.0,92280200,0.1075,9921956,1531440000,10612162,0.1289,8.38,4.0,2.1,3.15,3.25,,,48663000,0.521,106191000,119442000,-0.734,,
MTGE,0.023255706,0.15987647,,,2.0,0.078568,,1.0,19.45,,7.0,19.8,0.261,1534291200,398.267,-0.835,-0.813,,0.0,,31.855,3675948288,USD,,45192700,2.04,9.705882,,7.0,,,0.77331,181805000,0.011569999,0.84603,REIT - Diversified,,,1514678400,,,,1,86400,,,1530316800,62048000,1577750400,3,88074000,0.5944,4.0,-2.32,2,1.0179948,,0.57641,0.57641,0.25,hold,3.0,0.0114,0.06942,-0.575,2.519,,Real Estate,6.0,45797700,0.044,2015202,1531440000,2036746,0.044499997,8.65,19.75,19.5,19.63,19.65,,,1046782016,22.857,3762107904,115398000,1.35,,
NUVA,0.2354672,0.15987647,,,2.0,0.766226,,3.0,15.193,,6.0,70.97,2.802,1534291200,80.595,0.048,-0.052,230014000,0.21634,17.943,3.882,4127192320,USD,,50988957,2.73,25.996338,71732624,2400.0,,,0.72512,761052000,0.00767,1.13685,Medical Devices,,,1514678400,,,,1,86400,,,1530316800,42812000,1577750400,15,189132992,0.10673001,4.0,1.8,2,4.6712303,,0.04027,0.04027,1.323,buy,2.5,0.04326,0.055749997,0.085,20.803,,Healthcare,5.0,51422400,0.1262,6487095,1531440000,5372420,0.1425,8.48,75.0,50.0,61.8,60.0,,,70078000,1.363,629580992,1063193984,0.83,,
AOBC,0.06732118,0.15987647,,,1.0,0.357436,,5.0,7.846,,2.0,15.34,2.599,1534291200,45.615,,,95051000,0.15414,10.188,1.57,968368064,USD,,53420921,0.78,19.666668,88897376,1994.0,,,0.33737,196252000,0.021189999,0.68403,Aerospace & Defense,,,1525046400,910137600,4/1,,1,86400,,,1532995200,29938000,1588204800,6,106774000,0.07296,2.0,1.47,2,1.9551363,,0.04855,0.04855,0.722,buy,2.0,0.03737,0.07326,0.076,11.384,,Industrials,3.0,54389000,0.038399998,2089420,1531440000,2632286,0.044,2.67,17.0,12.0,15.08,15.0,,,25238000,0.464,194631008,616662016,0.547,,
AMP,Infinity,0.15987647,,,1.0,1.97295,,4.0,39.601,,10.0,147.47,2.496,1534291200,89.418,0.24,0.176,3633999872,0.29037002,6.04,1.754,21950760960,USD,,141326188,16.13,9.142592,1670000000,13000.0,,,0.51922,6176000000,0.00312,0.86379,Asset Management,,,1514678400,,,,1,86400,,,1530316800,1740000000,1577750400,10,1526000000,0.27278998,9.0,0.64,2,3.7238958,,0.13903,0.13903,1.685,buy,2.3,0.0149,0.29288,0.063,83.406,,Financial Services,6.0,141864000,0.012999999,1844647,1531440000,2123448,0.0127,1.86,197.0,145.0,167.4,165.0,,,3297999872,23.248,5036000256,12515000320,11.407,,
CBB,-0.26835442,0.15987647,,,1.0,0.973229,,1.0,-6.428,,1.0,14.9,1.899,1534291200,,,,291600000,0.21254,8.643,1.837,2520321792,USD,,49543244,0.16,93.125,-337000000,3500.0,,,0.40962002,527200000,0.01777,0.76646006,Telecom Services,,,1514678400,1475625600,1/5,,1,86400,,,1530316800,-60300000,1577750400,4,170400000,0.06509,1.0,-1.0,2,,,-0.03637,-0.03637,0.738,hold,3.0,0.0306,,0.144,32.397,,Communication Services,3.0,50157200,0.0694,3482025,1531440000,4161704,0.1363,5.84,18.0,11.0,14.38,14.25,,,30300000,0.604,1744099968,1372000000,-1.424,,
