,52WeekChange,debtEquityRatio,earningsGrowth,earningsQuarterlyGrowth,grossMargins,grossProfits,pegRatio,profitMargins,returnOnAssets,returnOnEquity,revenueGrowth,score,sector
TECD,-0.913574348,0.619121712,0.065935779,0.085727556,-2.257780269,-0.11140925,-0.113036928,-0.081543118,-0.031888322,0.133405925,-0.776191444,-0.709971599,Technology
GM,-0.584441093,1.047454846,-0.038177284,-0.06571268,-1.578980935,1.152150709,-0.120586294,-0.754471063,-0.566687281,0.012246921,-0.582114882,-0.710533937,Consumer Cyclical
PIR,-1.518573137,-0.384403134,-0.237508362,-0.235767393,-0.20182879,-0.311891374,-0.1545282,-0.529655794,-0.802057685,0.002152499,-0.929827572,-0.715659246,Consumer Cyclical
JNPR,-0.636625517,0.050690525,-0.442603888,-0.506527888,0.191159371,-0.106096518,-0.112019149,0.042711481,0.122028181,0.115778395,-1.133085062,-0.716995281,Technology
CPA,-1.411763115,-0.054125878,-0.585173039,-0.575747476,-0.083831768,-0.652486254,0.099665306,0.355274852,0.24603188,-0.199130705,-0.110471499,-0.717649027,Industrials
NS,-0.816788001,0.32683031,-0.336348043,-0.297191948,0.679103189,-0.336180131,0.060478098,0.111457633,0.211759336,0.109088051,-0.625568503,-0.722004319,Energy
PPL,-0.730498326,0.255677777,0.037539479,0.019896382,1.098281508,-0.57569774,1.218674952,0.605126449,0.51312666,0.580417685,-0.024993405,-0.730768327,Utilities
FNSR,-0.912841522,-0.239374871,-0.271752907,-0.287312413,-1.251491943,-0.121133169,-0.111037082,-0.241536227,-0.221348931,0.049868054,-1.369527085,-0.734569854,Technology
MAR,-0.158245565,1.743275539,-0.108461653,-0.140304861,1.999250086,-0.083430451,-0.10725941,2.173046411,-0.008243923,0.220417961,-0.315265609,-0.739329652,Consumer Cyclical
KGC,-0.897635733,-0.157854736,-0.355340581,-0.41535523,1.020860303,-0.157538365,-0.123218695,0.333709986,-0.753037305,-0.266132264,-1.248984909,-0.740295931,Basic Materials
NOK,-0.858081079,0.186045156,-0.271752907,-0.287312413,-0.675969469,-0.06988194,-0.111858447,-0.277156134,-0.123137086,0.008008925,-1.017094636,-0.740371777,Technology
UEPS,-0.979853146,-0.049187296,-0.770389489,-0.735968731,0.863168126,-0.782978945,0.097049402,-0.267493178,-0.579821472,-0.461764196,-0.431495367,-0.743200036,Industrials
FIT,-0.637963426,0.019145604,-0.271752907,-0.287312413,-0.535262847,-0.119322813,-0.116679504,-1.033555531,-0.952148699,-0.367029633,-1.45875049,-0.756977641,Technology
CTXS,0.107882607,1.786267871,-0.247099913,-0.298522295,1.43958871,-0.109547909,-0.110804957,0.03112809,0.431804414,0.155001913,-0.459448357,-0.758042859,Technology
WMB,-0.427753808,0.481988024,-0.178142432,-0.194611188,0.184932442,-0.138454139,0.497083793,0.587722031,-0.043789377,0.133896636,-0.703764566,-0.762910875,Energy
BPL,-0.925120399,0.155616988,-0.345907861,-0.35438963,-0.230172816,-0.301948109,0.384890999,0.171842662,0.424152518,0.114793729,-0.504229785,-0.77192201,Energy
P,-0.356328329,1.426107993,-0.237508362,-0.235767393,-0.373197675,-0.323780709,-0.166605688,-2.520473342,-3.214934392,-0.306756445,-0.47294927,-0.775429422,Consumer Cyclical
HEP,-0.518475919,0.470047206,-0.285174901,-0.179983584,0.982663945,-0.392223393,0.370022074,1.225013389,1.404884384,0.224416846,-0.70106815,-0.781596083,Energy
ATUS,-0.401457746,0.998483221,-0.362793807,-0.342585051,0.534767738,-0.48454288,0.388880848,0.174798964,-0.505070476,1.237793829,-0.269137315,-0.806917646,Communication Services
AVP,-0.750118063,0.028152057,-0.225731302,-0.218553541,1.197169361,-0.289496214,0.612201924,-0.811383014,-0.153058922,-0.320180333,-0.810854427,-0.809019258,Consumer Defensive
BERY,-0.829198594,1.274990354,-0.227906672,-0.224945729,-1.173247598,-0.255910435,-0.106634712,0.102067826,-0.099512666,0.240017348,-0.206099997,-0.810520302,Consumer Cyclical
TER,-0.427090849,-0.239374871,-0.502229734,-0.550744645,0.096733275,-0.116362442,-0.111626322,0.270663127,0.513903971,0.178381695,-1.864716981,-0.814345457,Technology
XRX,-0.951895989,0.263979193,-0.463243604,-0.489713064,-0.720338352,-0.100603704,-0.106680274,-0.048413829,0.045839123,0.103211638,-0.874337189,-0.8155919,Technology
FTI,-0.16866369,0.145281172,-0.361278548,-0.387020439,-1.121682144,-0.24539628,0.222684548,-0.147618964,0.049855341,0.083934903,-1.558528426,-0.818812128,Energy
ANW,-1.277787672,0.292856124,-0.296609193,-0.319695954,-1.661837352,-0.393976271,0.049664335,-0.202755938,-0.487473997,0.05999699,-0.558158104,-0.825025143,Energy
KHC,-1.005745181,0.158373325,-0.572414122,-0.606835306,0.016852569,0.051937467,0.170237968,2.96608465,-0.761193035,-0.229362148,-0.569455017,-0.825408538,Consumer Defensive
PCG,-1.072753709,0.248707429,-0.408163366,-0.46215972,-0.469258658,-0.228197184,0.366254183,-0.337071758,-0.183321818,-0.098639493,-0.415515358,-0.837131349,Utilities
UBS,-0.421892393,1.403726151,-0.17281176,-0.154516901,-0.931465748,0.655889473,0.191749974,-0.477713635,-0.650933813,-0.646793852,-0.328758276,-0.839646185,Financial Services
FNV,-0.541981396,-0.199075384,-0.224092702,-0.247204073,3.235243675,-0.245689293,1.180061786,1.574765171,-0.252516606,-0.445418774,-0.806543582,-0.851201361,Basic Materials
EIX,-0.446764725,0.287095101,-0.415696372,-0.466576464,-0.301247824,-0.512768212,0.749452511,-0.190915381,-0.169945727,0.014074458,-0.660242449,-0.853083719,Utilities
MHLD,-1.463636716,0.278210122,-0.200831195,-0.184512981,-0.980854408,-0.661479113,0.004853176,-0.857581682,-0.917199252,-1.470198246,-0.65285728,-0.866796163,Financial Services
OCLR,-0.485287774,-0.175837879,-0.791185757,-0.838464955,-0.813171988,-0.122033376,-0.111197784,0.35803275,0.28161231,0.193453787,-1.623813788,-0.871083886,Technology
NLSN,-1.261570902,0.106502628,-0.827530734,-0.805176729,1.273237773,-0.012502952,0.100944192,-0.329587559,-0.275085191,-0.396981678,-0.336377184,-0.87764188,Industrials
RY,-0.00860883,1.71852322,-0.150769804,-0.148134756,-0.931465748,1.128623212,0.631507145,0.426278502,-0.498431173,0.091637914,-0.142573742,-0.883994247,Financial Services
ELF,-1.130316164,0.162093016,-0.903802111,-0.98395955,1.191806698,-0.464989331,0.197129955,0.105718008,-0.539440514,-0.234807322,-0.259968595,-0.884436614,Consumer Defensive
