,52WeekChange,debtEquityRatio,earningsGrowth,earningsQuarterlyGrowth,grossMargins,grossProfits,pegRatio,profitMargins,returnOnAssets,returnOnEquity,revenueGrowth,score,sector
TDOC,1.438414774,-0.044388612,-0.271752907,-0.287312413,0.741334828,-0.122206942,-0.112644101,-1.589914099,-0.614034381,-0.147141442,4.224780391,1.849491657,Technology
WWE,4.613637125,-0.0148753,0.082419938,0.133715119,0.296514476,-0.335211448,-0.021051133,0.082665211,0.483101701,0.121978931,0.703613437,1.811865644,Consumer Cyclical
HPQ,-0.18748925,-5.793410682,-0.090008742,-0.122900807,-1.675932372,-0.069959703,-0.11192987,0.217885561,0.398446352,0.08024273,-0.254234526,1.791202678,Technology
KMB,-0.450416032,-6.887211632,-0.356247187,-0.378106105,-0.171265398,-0.130150712,0.159715017,-0.004292492,1.03482516,3.3482315,-0.575644746,1.78172955,Consumer Defensive
HCLP,0.716551911,-0.17929163,0.087939721,0.207048193,0.132408593,-0.277788297,-0.903734861,0.986927455,1.379323589,0.477109433,3.251547306,1.71302181,Basic Materials
TROW,0.774053688,-1.045051855,-0.133584551,-0.120372426,0.641969907,-0.523950276,-3.439911331,0.531222373,3.019711997,0.710411865,-0.001211411,1.708073637,Financial Services
DNR,5.241654074,0.604296293,-0.147026163,-0.113596766,0.734614005,-0.369148159,0.055071216,0.292580847,-0.108945908,0.182880246,0.369408987,1.601556463,Energy
ADSK,-0.068498522,-4.834290175,-0.271752907,-0.287312413,1.484184989,-0.1231604,-0.10868012,-0.828889269,-0.537116613,-11.17782874,0.200804838,1.601174568,Technology
W,0.892511538,-2.567458831,-0.237508362,-0.235767393,-0.920221991,-0.277314841,-0.180557269,-1.029751348,-3.531799618,0.027538373,1.358607109,1.587208795,Consumer Cyclical
PBR,-0.226857767,0.285689607,5.490642017,5.470022176,-0.49570826,5.656912591,0.063181539,-0.063105471,0.283967376,0.09492389,-0.237284605,1.5592095,Energy
CEQP,0.340349534,0.231993386,-0.296609193,-0.319695954,-1.379098016,-0.379668742,-5.781657555,-0.30614976,-0.351237732,0.056514304,-0.970709746,1.540898255,Energy
APO,0.186125103,-0.480519265,-0.361475957,-0.282159797,1.587079014,-0.543118336,-4.20948638,0.045181952,2.05272827,1.214130387,0.102224441,1.538959745,Financial Services
CTRP,-0.946707807,-0.11771792,6.602351297,7.256302159,2.532249624,1.297566941,1.064048709,0.586951002,-0.690580331,0.046391117,-0.100977555,1.536111715,Consumer Cyclical
BFR,-2.021032334,-1.070959887,-0.200831195,-0.184512981,-0.931465748,0.12737668,-0.185708265,0.420024304,-0.046403514,0.828554203,5.356765735,1.463856786,Financial Services
SQ,3.536303694,0.383599276,-0.271752907,-0.287312413,-0.757198912,-0.118462153,-0.107805188,-0.187295919,-0.343526734,0.011035369,1.356247929,1.448334876,Technology
AMRS,5.07728192,-0.279573662,-0.242668951,-0.049145813,-0.134925741,-0.290019304,-0.399122084,-5.171781091,-4.114375298,-0.673086544,-1.196653139,1.438885192,Basic Materials
GFN,4.310351854,-0.129734549,-0.379267518,-0.378552085,0.59877726,-0.823121293,-0.035431597,-0.718266627,-0.712955764,-0.565003107,0.212930325,1.436393602,Industrials
MX,-0.81411132,-5.116181396,-0.271752907,-0.287312413,-1.255405514,-0.122116755,-0.118393658,0.071768793,0.165506962,0.08024273,0.107120263,1.418610363,Technology
I,3.783376731,-1.336584668,-0.362793807,-0.342585051,2.057253387,-0.654245174,0.252453423,-0.950647236,0.38094298,-0.782703217,-0.286093814,1.406206785,Communication Services
SFLY,0.738178552,0.391154246,-0.237508362,-0.235767393,0.562405732,-0.318466179,-0.109549968,-0.251460543,-0.212971265,0.058047595,3.974538626,1.397868179,Consumer Cyclical
TAL,-0.370676798,0.134640617,0.859181993,1.254239363,0.648000824,-0.429977721,-0.006313771,0.261739692,-0.489235744,-0.222891372,3.788113811,1.382764053,Consumer Defensive
CHGG,3.259361323,0.158392342,-0.225731302,-0.218553541,1.840157686,-0.464440026,0.087223574,-1.363896831,-1.643235863,-0.345080133,1.35555053,1.381188212,Consumer Defensive
AGNC,-0.859714676,1.693295212,3.930498622,0.976814395,1.301966228,-0.206534352,0.012412093,2.063322775,-0.608500891,0.224286535,2.729281426,1.364786022,Real Estate
RDUS,-0.633448692,0.128284792,-0.259239748,-0.256282599,0.952649287,-0.524480601,-0.156271322,0.328515861,-1.508216247,-1.007298338,4.955065783,1.363454624,Healthcare
GRUB,2.003920714,-0.16555658,0.267746334,0.360992441,-0.186591064,-0.121175506,-0.109572909,0.502765817,0.146156071,0.185567,1.499005377,1.348600638,Technology
CALM,0.691113182,0.134640617,-0.225731302,-0.218553541,-0.726008927,-0.454699252,-0.464646762,-0.096693706,0.45170466,-0.24606246,3.187710152,1.327699392,Consumer Defensive
LNG,0.322247851,-4.261712585,-0.296609193,-0.319695954,-0.380184665,-0.276033543,0.115898635,-0.105218212,0.405818445,0.381697179,-0.213016861,1.319478583,Energy
VNOM,1.45588169,0.119837946,0.632005256,0.334420485,1.887277604,-0.402569748,0.080753904,2.632718299,2.119913085,0.186296243,1.911758917,1.266351337,Energy
CLF,0.23080034,-0.796625625,0.290214436,0.365738941,-0.346920269,-0.248414085,-0.745816474,0.701602006,1.844777258,-0.673086544,1.719653676,1.261036851,Basic Materials
NTNX,2.570106368,-0.239374871,-0.271752907,-0.287312413,0.216324725,-0.120719,-0.110251428,-1.462852682,-1.841965914,-1.498408744,1.039504842,1.229161534,Technology
OKTA,1.666942089,-0.239374871,-0.271752907,-0.287312413,0.672164918,-0.122164845,-0.124000369,-1.624941008,-1.343862557,-0.462933839,1.891588357,1.216717593,Technology
ZBRA,1.221118802,0.099480769,2.606855133,2.577482673,0.63717549,-0.47430666,0.104432064,-0.423983236,0.571204124,-0.210126945,-0.034376952,1.196561383,Industrials
BEAT,0.136332868,0.119850553,3.526696483,3.673051097,0.38993561,-0.508030878,-0.067519221,0.32173504,0.648138917,0.286655661,-0.069288236,1.180469927,Healthcare
FANH,4.334017788,-1.070959887,-0.132837366,-0.113032959,-0.179201613,-0.612238865,1.140892535,-0.09058629,0.188681104,-0.024371745,-0.601139354,1.176702807,Financial Services
GWW,2.670930765,0.026565879,1.090641751,0.967685682,0.202190961,0.054467835,0.104490195,-0.207754866,2.410140319,0.275569767,-0.117605363,1.17097036,Industrials
TWLO,2.341750826,0.113293444,-0.271752907,-0.287312413,-0.094349105,-0.121959941,0.12389125,-0.819598875,-0.885918452,-0.149005391,1.637301654,1.15670496,Technology
NFLX,1.462395804,0.778365735,1.554935067,1.642177717,-0.054394755,-0.0585832,-0.08685262,0.191702439,-0.280861494,0.155302802,1.071541981,1.132453246,Consumer Cyclical
FIVE,1.923509459,-0.384403134,0.376999777,0.381840404,-0.161377156,-0.326507664,-0.094140759,0.328887121,1.308483098,0.165996503,0.541886604,1.106979911,Consumer Cyclical
WPX,0.823331707,0.138742051,-0.296609193,-0.319695954,1.148272083,-0.347341558,0.178077774,-0.814990758,-1.340713541,0.030201498,3.095485524,1.101796071,Energy
ENLC,-0.45058675,0.414185356,0.453180431,0.382804098,-0.926168348,-0.321608378,-3.51076725,-0.067297545,0.009802415,0.109658615,0.16717779,1.088784455,Energy
AVGO,-0.917150155,-0.239374871,3.70597901,4.35233328,0.404722214,-0.061816852,-0.112786947,2.108943314,0.148423096,0.499515495,0.102659093,1.081216588,Technology
TLRD,0.993626668,-0.384403134,2.13065238,2.30075324,0.202629595,-0.255447637,-0.110174666,-0.161097212,0.176803179,0.027538373,-0.375913171,1.080981226,Consumer Cyclical
QNST,2.402679043,-0.107177238,-0.271752907,-0.287312413,-1.855729106,-0.122835958,-0.11378687,0.05919705,0.14761346,0.200087913,0.865519203,1.072469816,Technology
DIN,1.381933771,-2.799694003,-0.405729965,-0.400024785,0.805753025,-0.335647076,-0.046871969,-5.619061754,-0.183252807,-11.74969927,-0.646805615,1.058654721,Consumer Cyclical
OLLI,2.295545252,0.134640617,0.371786735,0.457592292,0.12946849,-0.450998732,0.057993154,0.280295673,0.139831808,-0.222156543,0.693249586,1.055982601,Consumer Defensive
AAL,-0.696663284,-4.857794477,-0.677781264,-0.705630979,-0.428243491,1.958035713,0.099142125,-0.494741975,-0.315055532,1.511581367,-0.253148774,1.043686344,Industrials
SODA,1.947314258,-0.316542063,0.062448423,0.07999329,0.958113119,-0.339534031,-0.088102015,0.879994244,0.516782703,0.11635454,0.707656608,1.040687789,Consumer Cyclical
ETSY,2.952024816,0.000706795,-0.517877701,-0.510173861,1.576246539,-0.339505059,0.021220076,1.138331401,-0.182064041,0.153387082,0.663181729,1.025133991,Consumer Cyclical
AES,1.2159524,0.598013106,2.406669814,2.359508979,-1.046941589,-1.016204437,-0.576100886,-0.48675717,0.365395164,0.441411208,-0.545689343,1.018340217,Utilities
SEDG,0.670902144,-0.059054998,-0.019489712,0.045870197,-0.84539078,-0.121967489,-0.112876226,0.490470818,0.868859231,0.367965369,2.208331444,1.010558367,Technology
RH,3.299068565,-0.384403134,-0.237508362,-0.235767393,-0.127706213,-0.296921042,-0.116005177,-0.332077058,0.108516704,0.079832879,-0.590201224,0.990589097,Consumer Cyclical
TEAM,2.048559148,-0.088125221,-0.271752907,-0.287312413,1.138380261,-0.119265274,-0.106251736,-0.63635987,-0.400122019,-0.053622304,0.99935431,0.99017917,Technology
TEO,-0.455510034,-0.304568564,-0.362793807,-0.342585051,0.448541363,0.148082132,0.342379269,-0.644508052,1.829828083,-0.908063522,3.797031068,0.980305507,Communication Services
EXC,0.900570028,0.252822128,2.463167358,2.486963602,-0.664114097,0.737030727,0.186385581,0.216498192,-0.085824976,0.57315113,-0.113511714,0.937005988,Utilities
TTGT,1.62995246,-0.145244467,0.89095109,1.112677321,0.94297475,-0.122714821,-0.110269284,0.308141129,0.25027844,0.176858451,0.026819199,0.934412166,Technology
BP,-0.057238277,0.245321228,3.150361154,3.138044559,-1.234793973,2.074877724,0.026685087,-0.102498167,0.135602418,0.105323784,-0.037749823,0.927788913,Energy
S,-0.271798156,0.18890452,-0.436875356,-0.376118779,-0.066008935,0.003374902,-3.96995829,0.296949922,-0.356075072,0.452652681,-0.306441612,0.921979549,Communication Services
DWDP,-0.002153815,-0.200019399,-0.277878835,-0.22233235,-0.371217448,0.968105288,0.067372461,-0.1918253,0.021699419,-0.500133336,2.847165447,0.899926578,Basic Materials
LULU,1.631733015,-0.384403134,0.140798211,0.137579999,0.883121121,-0.255648638,-0.080813876,0.632497045,1.926759674,0.15391266,0.432720992,0.890156409,Consumer Cyclical
ABC,-0.18423487,0.263400393,3.238807582,3.227296156,-0.533658902,-0.054540957,-0.078679665,0.339273896,0.495174962,0.622431376,-0.205728978,0.888041001,Healthcare
CTL,0.007041656,0.221028224,2.600468146,3.372768204,-0.399011335,-0.342069699,0.182701055,-0.264565436,-0.189251059,-0.42885855,0.451513879,0.885098134,Communication Services
AMTD,0.805798372,-0.496891666,0.100284335,0.119277112,1.403099319,-0.508396015,-0.039122541,0.271263748,0.006887372,0.227347205,1.212435922,0.884844279,Financial Services
ONDK,1.960416205,-0.621073809,-0.200831195,-0.184512981,0.813986514,-0.652733177,-0.167385049,-0.569963045,-0.642052001,-0.758145111,0.095328718,0.881124195,Financial Services
IAC,0.602849924,0.069727395,1.068681977,1.141947569,1.104250281,-0.108406449,-0.112126283,0.421089074,0.087860515,0.304309819,0.919053246,0.877661345,Technology
XPO,1.444288396,0.046736651,1.276843395,1.395258381,-1.219188405,-0.348846682,0.09937465,-0.529779331,-0.611978062,-0.294552802,0.03933964,0.871453376,Industrials
SSW,0.43967169,0.069168806,1.769440335,0.95346486,1.715667162,-0.734043387,0.097746976,1.22619264,-0.702737872,-0.328635008,0.555355784,0.865850676,Industrials
BX,0.06863652,-0.73347563,0.241502289,0.1980966,1.092260525,-0.413042517,0.528897138,0.191448312,1.849769363,0.818732394,2.070953496,0.861890266,Financial Services
BURL,2.054699668,0.134640617,0.430926745,0.425235478,0.214262172,-0.340395206,-0.033205758,-0.263602866,0.694567914,5.916939203,0.179502125,0.85456456,Consumer Defensive
WLL,2.00216775,0.121216843,-0.296609193,-0.319695954,1.26849846,-0.347535601,0.051016055,-2.202247275,-2.509581201,-0.00994202,0.943745587,0.825690415,Energy
ENDP,0.436305586,-2.345399431,-0.259239748,-0.256282599,0.179062801,-0.396223241,-0.187095405,-0.237421934,0.486749306,-1.840815481,-0.275945471,0.811205068,Healthcare
ICHR,-0.426886495,-0.239374871,0.783739232,0.861077742,-1.715341122,-0.122571677,-0.11344761,0.266749285,0.717290777,0.456403658,1.717602718,0.809092645,Technology
ANDV,0.347918399,0.229904672,1.587799579,1.907262968,-1.135670427,0.017217355,0.0672367,-0.027264837,0.879119587,0.144504006,0.736121558,0.791566054,Energy
STX,0.489987585,-0.239374871,1.512435869,1.608403223,-1.143868785,-0.104469614,-0.111912014,0.32130587,0.684013688,0.862368086,0.017896858,0.790535732,Technology
MTCH,1.266616026,0.550774893,0.674807398,0.694175052,1.012782208,-0.117321754,-0.111608466,1.205794625,0.842545258,0.911993752,0.834291012,0.778849336,Technology
CYBR,0.671945602,-0.122257971,0.620341481,0.697288908,1.333740266,-0.121939234,-0.110787101,0.172184537,-0.006545942,0.134608492,0.794140479,0.773157545,Technology
EXEL,-0.537245422,0.108264388,2.860213959,2.820437807,1.004066076,-0.479249678,-0.121195641,1.112043046,1.449189013,0.909336074,-0.026078087,0.769940568,Healthcare
CAR,-0.728048694,4.112820763,7.462875769,6.890183798,-0.484697682,-0.336448233,0.098502682,-0.414330862,-0.991846561,2.5691421,-0.24601491,0.759162907,Industrials
ADI,-0.393292012,-0.239374871,2.658513427,2.835262554,0.587840796,-0.104162375,-0.11146562,0.810575652,0.229470159,0.216252331,-0.343457931,0.757534658,Technology
MU,0.444466031,-0.239374871,0.42426418,0.535368387,0.07243273,-0.075708577,-0.113947572,1.617459641,1.529866245,0.604859751,1.012737821,0.744930158,Technology
AEO,1.235561843,-0.384403134,0.468407863,0.475756984,0.308510878,-0.235179962,-0.109341736,0.133039135,0.857950861,0.133797509,0.016274398,0.737996325,Consumer Cyclical
HQY,1.429870573,-0.221368736,0.052175968,0.091955268,0.201034494,-0.122411014,-0.109287216,0.809310572,0.57535722,0.243159624,0.388173988,0.733625494,Technology
ARWR,2.633280857,0.107333291,-0.259239748,-0.256282599,1.051109902,-0.521232856,-0.318363483,0.328515861,-0.784988651,-0.192572409,-0.449255742,0.71193852,Healthcare
NVCR,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,-0.707106781,-0.707106781,-0.707106781,-0.707106781,-0.707106781,0.707106781,0.707106781,
HAL,-0.392791288,0.271929254,3.1398641,2.915254901,-1.339786189,-0.263110622,0.063181539,-0.172771409,1.211953525,0.08316797,-0.291212924,0.706916365,Energy
NVDA,0.495946607,-0.239374871,0.251693222,0.266331214,0.327224588,-0.090816731,-0.110197861,1.335109625,1.754061299,0.663965634,1.008276651,0.701829737,Technology
NTAP,1.569926664,-0.239374871,0.435730689,0.435102218,0.367088223,-0.102614422,-0.111965582,0.052120516,0.315456128,0.177680196,-0.258695696,0.699434036,Technology
WTW,0.613355347,-1.085919455,-0.042786095,-0.017015194,0.945189459,-0.309305675,-0.119961596,0.904862383,1.342692377,0.027538373,0.246735135,0.674395146,Consumer Cyclical
OAS,0.714024008,0.153347285,-0.296609193,-0.319695954,0.9501455,-0.361306265,0.019926485,-0.68423648,-0.72750932,0.053079783,1.725706216,0.656615754,Energy
PE,-0.209955017,0.067998711,0.010617105,0.041118275,1.52048814,-0.359921591,0.051016055,0.354181904,0.044214116,0.095683412,2.267685824,0.649777715,Energy
MDXG,-0.805411526,0.109359545,2.895707111,3.055373221,0.85848021,-0.502330932,-0.103126351,0.518297363,0.798881563,0.532391587,-0.159231101,0.64161043,Healthcare
MA,1.481515673,-0.569274372,-0.064843536,-0.07825027,1.587079014,-0.093555424,0.29435998,0.603331744,3.640683292,3.88414724,0.226347464,0.639311331,Financial Services
LC,-1.544745072,-0.527158827,-0.200831195,-0.184512981,1.24642065,-0.636726627,-2.094987316,-1.682689029,-1.483556667,-1.955564016,1.040042835,0.638870904,Financial Services
UIS,1.830344346,-1.011552648,-0.271752907,-0.287312413,-1.456453848,-0.119948251,-0.112215562,-0.020226264,0.241453138,0.08024273,-0.767269103,0.638363515,Technology
GLUU,1.431274262,-0.022661,-0.271752907,-0.287312413,0.041533721,-0.122293875,-0.110554976,-0.842765618,-1.07643162,-0.272217773,0.62015484,0.637630724,Technology
SHAK,1.061885978,-0.384403134,-0.093483017,-0.01972061,0.014859717,-0.350741702,-0.010431272,-0.375983444,-0.284427712,0.053027401,0.545929775,0.636389047,Consumer Cyclical
PAM,-2.075384237,0.074580711,-0.408163366,-0.46215972,-0.319894864,2.09857585,-0.986670523,-0.122180637,1.939018121,0.488116497,3.468876336,0.632472848,Utilities
MOMO,-0.383820923,-0.107360037,0.225320251,0.296847004,-0.298764931,-0.119444483,-0.112965505,0.90767056,1.325588845,0.461474475,1.824670804,0.628831891,Technology
GLNG,0.099228816,-0.001571518,-0.379267518,-0.378552085,-0.311524596,-0.845093195,0.095189204,-1.624981649,-1.942719926,-0.551900796,2.250837402,0.625727005,Industrials
SHOP,-0.146844057,-0.21422945,-0.271752907,-0.287312413,0.056459899,-0.121048297,-0.100377188,-0.33839394,-0.49841483,0.040498103,1.967428251,0.621145975,Technology
ASUR,-0.019411735,0.272707181,-0.271752907,-0.287312413,0.763496562,-0.122928096,-0.112554822,-0.564882837,-0.14175929,-0.023027159,2.302016019,0.616899673,Technology
URBN,1.369592198,-0.241891531,0.111993142,0.096225785,-0.318083773,-0.272203939,-0.111840526,-0.028558253,0.543859493,0.091956014,-0.003941456,0.610458647,Consumer Cyclical
FTNT,1.525207964,0.387627125,0.389864653,0.424515107,0.895511324,-0.116996907,-0.110751389,0.118181424,0.076363316,0.184554844,0.178498987,0.605565289,Technology
KKR,0.784741453,-0.598004859,-0.002453594,0.027374227,1.587079014,-0.427161978,0.899026091,0.148785713,0.585339078,-0.018927656,1.329663221,0.603643283,Financial Services
VALE,0.244756793,-0.141358736,0.255125965,0.351700913,0.435894379,-0.292089101,-0.277506775,0.401644544,0.570131468,-0.129845851,0.868073056,0.595607108,Basic Materials
Z,1.038791008,-0.858816708,-0.306608281,-0.309021841,0.873689518,-0.060847568,-0.424673814,-1.34455753,-2.017995187,-1.061635925,-0.238591178,0.59236069,Real Estate
SNH,-0.48754838,-0.502828046,1.83207015,0.460093624,-0.806905728,-0.380825243,-0.200273008,0.293919277,-0.466633914,0.039702189,-0.316907524,0.5769051,Real Estate
HFC,1.381137761,0.108479377,0.632005256,0.614407826,-1.284395962,-0.311147373,0.046960894,0.089729198,2.095937759,0.173821556,-0.148302878,0.569799956,Energy
PYPL,1.150769905,-0.797541978,-0.090995009,-0.095162954,0.243284321,-0.386639488,0.503244637,-0.133211587,-0.022592693,-0.041602005,0.329783316,0.561285185,Financial Services
FE,0.831188676,0.341933822,-0.583933502,-0.009127938,1.815942265,0.526494438,-1.975947837,-0.547022228,0.295542244,-1.523927371,-0.222857861,0.552803776,Utilities
DVAX,-0.46857716,0.106728498,-0.259239748,-0.256282599,-0.580653695,-0.531166937,-0.149893925,0.328515861,-1.088273892,-0.51596539,2.33709436,0.550814293,Healthcare
LEN,-0.509734197,-0.074133992,-0.216768712,-0.061074824,-1.148559352,-0.163085581,-0.12516741,0.133494596,-0.317184087,0.073697633,2.167241272,0.546679921,Consumer Cyclical
SVU,1.396320165,0.134640617,-0.225731302,-0.218553541,-1.494515739,-0.396416673,0.962966968,-0.882009352,-0.836766295,-0.304648357,1.566001298,0.546327525,Consumer Defensive
PXD,0.058736753,0.060828229,-0.431571325,-0.45415739,-0.025695249,-0.235674267,0.044257453,0.178370797,-0.263234183,0.108213671,2.113990114,0.54535662,Energy
ABR,2.491801456,0.748723191,-0.237927794,-0.265541119,0.601912052,-0.811346711,-0.403946029,-0.220255284,0.194706173,0.002954127,-0.279786482,0.543103339,Real Estate
LE,1.484410954,-0.384403134,-0.237508362,-0.235767393,0.184026596,-0.316465846,-0.081438573,-0.246177221,-0.532610098,0.085157625,-0.084804872,0.542646476,Consumer Cyclical
JOE,-0.648322763,-0.929058673,0.251460609,-0.144506391,-1.425870088,-0.988882374,-1.139331803,0.803875753,-0.657907231,-0.084436172,-0.045290141,0.542079394,Real Estate
SPLK,0.835546083,-0.000694705,-0.271752907,-0.287312413,1.104659841,-0.1231604,-0.108251582,-0.872732245,-1.025989717,-0.220567776,0.950281438,0.541006967,Technology
AA,-0.133652806,-0.071886046,-0.245704286,-0.273906843,-0.52852695,-0.066967334,-1.466432562,-0.279269351,0.49755087,-0.289179917,0.463691198,0.540884238,Basic Materials
STLD,0.634459634,-0.144757481,-0.069169211,-0.067151109,-0.93712574,-0.154368379,-0.241203697,0.237265997,1.351188413,0.799777642,0.658745977,0.53666586,Basic Materials
ADM,0.248706491,0.164365865,0.878555445,0.954102021,-1.682739897,-0.289857874,-0.367601766,-0.600829438,-0.898324794,-0.263270281,0.266158323,0.53221872,Consumer Defensive
DNKN,0.148868346,-1.833100872,-0.118831478,-0.164653604,2.561690068,-0.307009845,-0.092058434,3.324268199,0.286563451,0.027538373,-0.359740488,0.531818562,Consumer Cyclical
ABMD,1.016396778,0.107523897,0.827639445,0.840601288,0.777397795,-0.473277258,-0.001088007,0.74755759,0.931700578,0.523360707,-0.148428563,0.529723923,Healthcare
ABMD,1.016396778,0.107523897,0.827639445,0.840601288,0.777397795,-0.473277258,-0.001088007,0.74755759,0.931700578,0.523360707,-0.148428563,0.529723923,Healthcare
MOS,1.125316475,-0.146739462,-0.286863427,-0.319988195,-1.276696767,-0.21871995,-0.108697464,-0.409680581,-0.515927092,-0.716420084,0.487478366,0.52712278,Basic Materials
APTI,1.384035349,0.22968027,-0.271752907,-0.287312413,0.640264581,-0.122438508,-0.107662342,-0.561048062,-0.618406549,-0.143102833,0.588926649,0.526397054,Technology
FOSL,2.564987495,0.112635745,-0.237508362,-0.235767393,0.606044815,-0.259300065,-0.058949457,-0.925086541,-0.435001371,-0.088520462,-0.695323665,0.526156393,Consumer Cyclical
ABMD,1.016396778,0.107523897,0.827639445,0.840601288,0.777397795,-0.473277258,0.011135336,0.74755759,0.931700578,0.523360707,-0.148428563,0.525649475,Healthcare
ABMD,1.016396778,0.107523897,0.827639445,0.840601288,0.777397795,-0.473277258,0.011135336,0.74755759,0.931700578,0.523360707,-0.148428563,0.525649475,Healthcare
EDU,-0.411645534,0.159500849,-0.051370237,-0.024412658,0.995990072,-0.401202647,-0.075297563,0.255586017,-0.571018038,-0.240136202,2.11688713,0.523222691,Consumer Defensive
CLR,0.88178278,0.22940427,-0.296609193,-0.319695954,1.64770864,-0.248874931,0.030740249,0.948240402,0.712138493,0.178382393,1.226869263,0.517299444,Energy
ZTO,0.452259511,-0.119097084,0.680801097,0.645347061,-0.167487383,0.106104625,0.342886235,1.238505117,0.920418679,-0.258405007,0.640962149,0.516744536,Industrials
YEXT,0.90864382,0.127507968,-0.271752907,-0.287312413,0.871438312,-0.122459949,-0.114161841,-1.568605404,-2.122027477,-0.667078518,0.910130906,0.511225231,Technology
BSX,-0.065162196,0.127175909,1.912152428,1.92270447,0.580982557,0.141660869,-0.016500049,0.417905348,0.587129508,0.361881305,-0.208547032,0.50925578,Healthcare
TWTR,1.314552041,-0.078457579,-0.271752907,-0.287312413,0.551526816,-0.114370693,-0.111358485,0.242277889,-0.068080156,0.125208474,0.285567073,0.506060757,Technology
DISH,-0.391818785,0.341323227,2.838269918,1.93954588,-2.384294261,-0.546667281,0.210738771,0.113556256,0.197564046,0.682282427,-0.384441506,0.503315876,Communication Services
NVS,-0.285641032,0.117635153,2.097505556,2.017612153,0.516152524,2.906220356,-0.027660493,0.760825832,0.553426884,0.465302453,-0.214887651,0.502334071,Healthcare
THC,0.316823805,-1.73441632,-0.259239748,-0.256282599,0.010273174,0.180748338,0.047805366,0.287619028,0.543277798,0.268472297,-0.247295263,0.498966583,Healthcare
NLY,-1.013382671,1.543414718,-0.306608281,4.251176639,1.301966228,0.891555922,-0.926646702,1.817976384,0.215174543,0.645655653,3.390217058,0.48448603,Real Estate
WB,-1.140293904,0.034451117,0.232200157,0.283146037,1.237584736,-0.11805696,-0.113090495,1.169739759,1.01297884,0.481587301,2.275248998,0.481931543,Technology
KSS,1.15317247,-0.384403134,-0.07543184,-0.079626247,-0.148105949,-0.361289851,-0.106010015,-0.010613103,0.104818456,0.116575586,-0.141409264,0.475581505,Consumer Cyclical
DPZ,0.593149528,-0.384403134,-0.103852842,-0.16735902,-0.563807281,-0.296291542,-0.100804201,0.470535315,4.355089861,0.027538373,0.412505138,0.462336387,Consumer Cyclical
PAYC,1.14405441,0.660617563,0.181174192,0.201563006,1.398086654,-0.121101864,-0.109215793,0.617729983,0.162835057,0.460081509,0.6112325,0.461686444,Technology
ADBE,0.572833602,-0.239374871,0.17142766,0.192844208,1.435811659,-0.088217162,-0.111304918,0.958431905,0.667658542,0.343362984,0.290028243,0.461656431,Technology
KORS,0.702189289,-0.113349063,-0.035872879,-0.048320721,1.275988781,-0.146680617,-0.092266666,0.738983603,1.645292598,0.204561614,0.505498067,0.459143402,Consumer Cyclical
ASML,-0.1169664,-0.239374871,0.149641293,0.157346248,-0.562657936,-0.102123962,-0.11159061,0.915577312,0.506778956,0.302265476,0.99043197,0.458024115,Technology
RHP,2.727705652,1.163720888,-0.251025003,-0.288944991,-2.25634948,-0.668921146,-0.339059049,-0.609979707,1.840645431,2.297046027,-0.280691873,0.457108979,Real Estate
CPB,-0.624202974,0.134640617,-0.941529359,-1.004043089,-0.279952239,-0.32602392,-1.61398689,-0.605468405,-0.886793663,-0.228743618,1.454586186,0.456066709,Consumer Defensive
CROX,1.594319977,-0.062326278,0.050542328,-0.017015194,0.679124343,-0.32246902,-0.026048714,-0.214841534,0.020153741,0.061623624,-0.367826829,0.455136823,Consumer Cyclical
V,0.935118954,-0.878146844,-0.140309215,-0.142709933,1.503463328,0.143489881,0.363988199,1.128200569,1.707471359,0.847187691,0.047058653,0.452009013,Financial Services
AMD,0.869304066,0.759924509,-0.271752907,-0.287312413,-0.872740179,-0.113034605,0.054700151,0.097979682,0.379014494,0.567389998,1.5703841,0.451103533,Technology
ASNA,1.724263194,-0.384403134,-0.237508362,-0.235767393,1.074889684,-0.071601536,-0.196591176,-0.582671397,-0.600500313,-0.027138515,-0.715539519,0.450736541,Consumer Cyclical
CZR,-0.762632893,1.568976486,-0.237508362,-0.235767393,0.765417124,-0.169069991,-0.193884153,1.624216772,-0.537365042,0.027538373,3.707689352,0.444151921,Consumer Cyclical
HUBS,0.983674335,0.403555946,-0.271752907,-0.287312413,1.137606648,-0.12149471,-0.109965736,-0.596193572,-0.585048552,-0.178999266,0.901208565,0.439846594,Technology
FANG,0.037316068,0.061266255,-0.225566626,-0.247870668,1.422489885,-0.348927101,0.057774657,0.890959294,0.767140712,0.123893169,1.609760329,0.434156287,Energy
REI,-0.431388157,2.99E-06,-0.107099866,-0.044021881,1.2140731,-0.41006287,0.094271108,0.115105679,0.177629754,0.087454638,1.927937413,0.431725097,Energy
PSTG,0.733503478,0.184203886,-0.271752907,-0.287312413,0.472072041,-0.1231604,-0.098609468,-0.720922577,-0.984373196,-0.262677469,0.901208565,0.425788239,Technology
FCX,-0.235135606,-0.061084733,0.02529041,0.068346376,0.705848355,0.267668424,-0.286582544,0.519514008,0.954849313,0.704110518,1.13448934,0.424103807,Basic Materials
MDR,-0.363938676,0.317095769,-0.323039277,-0.262310739,-1.180167471,-0.377738588,0.033443689,-0.024992797,0.286788003,0.10640564,2.294649984,0.419044191,Energy
